Site,Dispersal.unit.dry.mass,Dispersal.unit.length,Dispersal.unit.thickness,Dispersal.unit.width,Germination.efficiency,Leaf.area,Leaf.carbon..C..content.per.area,Leaf.carbon..C..content.per.dry.mass,Leaf.carbon.nitrogen..C.N..ratio,Leaf.density,Leaf.dry.mass,Leaf.dry.mass.per.plant,Leaf.dry.mass.per.plant.dry.mass..leaf.weight.ratio..LWR.,Leaf.dry.matter.content..LDMC.,Leaf.fresh.mass,Leaf.lamina.thickness,Leaf.lifespan,Leaf.nitrogen..N..content,Leaf.nitrogen..N..content.per.area,Leaf.nitrogen..N..content.per.dry.mass,Leaf.nitrogen.phosphorus..N.P..ratio,Leaf.phosphorus..P..content.per.area,Leaf.phosphorus..P..content.per.dry.mass,Leaf.porosity,Leaf.potassium..K..content.per.area,Leaf.potassium..K..content.per.dry.mass,Leaf.respiration.per.dry.mass,Leaf.specific.area..SLA.,Leaf.thickness,pH..Maximum,pH..Minimum,Photosynthesis.leaf.intercellular.CO2.concentration,Photosynthesis.net.assimilation.rate..NAR.,Photosynthesis.per.leaf.area,Photosynthesis.per.leaf.dry.mass,Plant.height.generative,Plant.height.vegetative,Plant.lifespan,Plant.relative.growth.rate..RGR.,Plant.tolerance.to.frost,Plant.tolerance.to.planting.density,Reproductive.dry.mass.per.plant,Root.nitrogen..N..content.per.dry.mass,Rooting.depth,Seed.length,Seed.mass,Seed.number.per.reproduction.unit,Seed.protein.content.per.mass,Seed.thickness,Seed.width,Species.distribution..number.of.floristic.zones,Stem.dry.mass.per.plant,Stem.nitrogen..N..content.per.dry.mass,Stem.specific.density..SSD.,Stomata.conductance.per.leaf.area,Wood.dry.mass.per.plant.dry.mass
I1UH,1155.268103,16.52006418,8.942428875,9.87496323,89.5988806,30.44923784,22.26683561,469.2503489,24.1214452,0.53910834,0.197085331,24.31400506,0.5857869,40.19968515,0.58536571,0.201956082,8.926771689,7.309723982,1.771545082,20.84297149,11.98938834,0.109817652,1.787953767,20.90668348,0.571013212,8.29080614,14.68853305,187.391114,0.133461,7.273693252,4.722625767,160.8319386,0.000627855,9.975315876,125.5568685,1630.487269,1601.610042,330.484644,0.101896927,35.40981595,1372.963443,0.322522022,13.71319425,87.03478773,5.882213592,411.7358756,117108.5764,22.31612903,0.6392,1.2245,2.69667688,0.359699245,10.50844299,0.526239796,0.916524909,61.85079911
I1UL,2547.181493,15.34670934,10.7033821,11.45887392,76.16197183,15.079159,39.74619975,454.0855132,25.49423303,0.367102867,0.102076015,32.175,0.66301736,54.56308769,0.660650831,0.222373866,47.79630013,2.514949898,1.199525719,17.5567769,10.5168314,0.135257946,1.789895185,20.90668348,0.591896782,9.024103347,5.046042756,178.4402116,0.128661229,6.5271814,4.519239879,144.0768383,0.001434151,6.776503961,66.93883676,1518.636432,1818.488103,771.9346502,0.199136855,33.73624458,1827.96167,0.547911267,12.19111164,68.48201245,1.25,181.440507,5684.845324,24.15716767,0.65,1.25,3.78666888,3.257914004,2.323031418,0.471960513,0.170478816,64.38015151
I2GH,1.732481481,5.891975309,0.989259259,1.958888889,74.17171717,44.62098024,38.55050505,436.6201499,27.53490646,0.384108822,0.171631789,0.816983051,0.664472281,50.73993845,0.655944004,0.190271625,11.55555556,11.84646667,1.181447845,19.66806341,12.5250291,0.112370273,1.81243724,14.8,0.484365641,8.65,6.849183492,233.7145684,0.128935863,7.151724138,4.230248479,228.3680255,0.000493843,7.258415057,110.5145551,1547.298011,2319.141413,418.1818182,0.091764576,37.94396552,1154.440433,0.44200678,10.59055426,87.13024341,2.722271468,38.71897148,8560.858234,22.39259259,0.698387097,1.25,3.185185185,2.361932203,3.866861516,0.60837074,1.263682215,53.30941471
I2GL,2.451137931,7.482666667,2.211111111,4.031578947,86.54208754,38.9006287,22.2,432.4234916,21.86640842,0.347166528,0.148683277,2.377087692,0.523816354,30.96878706,1.321142278,0.269982456,NA,1.44119017,1.55635617,22.006116,10.46158707,0.107726798,2.282992529,15.84,0.766102302,12.76519758,40.07835936,193.280886,0.154649102,7.333466633,5.338015496,309.3385924,0.002169189,8.773539239,129.1999296,295.2398701,1613.870635,200,0.198418869,39.30492377,2516.439979,0.713604027,19.97601096,79.68273932,1.462619048,10.93605504,68927.56091,19.22548077,0.48952381,0.856904762,3.898734177,3.033309918,22.46114256,0.554018586,41.38077674,42.96849791
I2UH,0.174666667,1.73,0.33,1.156666667,100,34.23161457,37.4952381,436.523797,27.50187034,0.396372744,0.13275247,1.39,0.664033269,51.75956357,0.68,0.190824032,23.5311415,8.8994,1.153767464,18.0020805,12.39280432,0.1015777,1.624190074,30.25,0.418302514,7.55,5.50878512,213.1330252,0.128321168,6.724607379,4.05186598,204.6879629,0.000741909,6.799131036,93.38441453,1961.033666,2351.77767,600,0.119196498,37.72649572,1209.507576,0.114,10.97527478,83.07392619,2.722271468,36.92480834,5030.215385,17.8,0.698387097,1.25,3.5,7.264,4.055168186,0.603972021,1.012145595,86.11444554
I2UL,2100.998875,16.24736842,11.864375,12.798125,87.75,52.00697285,25.35707481,434.5226085,24.37979885,0.443529749,0.330476674,2.263201465,0.67545205,49.52953073,1.145132721,0.214973713,6.329528158,13.28637032,1.406955288,19.36640145,10.65733544,0.148804535,1.960817621,14,0.455367025,7.828027832,10.39766164,230.2397519,0.113214754,7.229599536,4.416289418,137.9864527,0.000474615,9.357967762,112.839098,825.3521127,1429.995804,303.4637588,0.14568,35.36757593,1305.203107,0.594811656,16.52607481,84.18412071,2.722271468,1063.34198,548792.2116,25.10812744,0.698387097,1.25,3.567567568,3.586520913,3.85556,0.69529755,0.3387107,64.38015151
K1GH,1.045318526,3.245246407,0.991890496,2.515003422,95.5358568,20.00455566,29.6876808,434.7476116,18.75880289,0.413966243,0.052521711,0.366944785,0.45068529,58.51909485,0.27103779,0.172806633,2.925571726,0.057189964,1.78041155,18.55908555,5.386499356,0.0816,2.762672628,26.97093023,0.600742421,50.43224273,10.32521631,607.6660918,0.102120635,7.341243523,6.711606218,281.875,0.000437022,13.62197043,276.6155457,83.83323201,178.2703641,251.4106477,0.248931302,32.14300518,5261.235955,1.415253742,22.58624787,36.49703627,3.654177215,15.98066999,30319.9343,22.61040474,1.443291139,1.680759494,4.044083527,3.276329923,23.1346,0.174061137,137.375,65.27994707
K1GL,0.579122137,3.016492943,1.772846715,2.175251799,94.64074074,44.90064998,22.54503632,447.1228279,21.29472981,0.366457662,0.415000562,2.021378797,0.576479777,22.91635552,1.143922652,0.244044134,4.964472901,17.8535663,1.980029109,23.32504073,12.69079472,0.151963957,1.987560524,16.67164179,0.777038047,11.25349025,12.25921724,204.6105531,0.218796543,7.485281899,4.888308605,154.7484922,0.001967043,13.8951097,155.5386334,38.93487624,1679.686054,68.8034188,0.230795954,36.98338279,9986.638706,0.385702569,13.37081412,51.05023145,6.151036907,2.972065172,49388.14326,23.00235294,0.840619469,2.787434095,4.347285808,2.520320917,1.325250812,0.407887852,2.152591606,48.33605684
K1UH,31.15937775,22.26560561,1.938610839,9.308609675,96.89494275,22.81789471,44.4,441.7162609,15.50643614,0.715137125,0.12225758,0.36,0.550932372,55.86669123,0.256938776,0.196759286,3.160424862,0.080401251,1.381364761,25.2947179,11.73898175,0.06306433,2.539697777,12.68255534,0.393724721,17.89821525,10.32521631,298.0108652,0.139301552,7.12320348,5.517057489,281.875,0.001039328,11.53455317,275.7576687,876.8968371,877.2333351,100,0.16248636,39.80030257,2357.195033,1.428333333,17.86905865,83.84593797,2.933309859,19.41007735,22220.10017,40.41670823,1.070422535,2.047746479,3.168322196,3.200956369,23.1346,0.378866426,137.375,65.14376464
K1UL,13.51414286,5.090809674,5.556731518,3.28533123,83.85409253,37.33889823,39.9,472.581254,22.92023231,0.503203645,0.11695154,1.598619002,0.505610261,23.99069191,0.660650831,0.252143102,4.80625,14.30339754,1.676848698,25.85042348,7.973657337,0.093663462,2.74321853,22.64070681,0.502308055,7.931581919,10.58129678,229.2519672,0.186432814,7.100323415,5.717076326,312.3628568,0.002207528,10.7764944,138.3973796,166.5543173,1061.336963,139.1666667,0.204026544,36.44631307,1216.608696,0.148509002,10.38139524,46.99492885,3.896486486,13.72812937,28601.99113,20.71558074,1.540675676,2.363783784,2.7875,7.063080031,13.32446848,0.337599725,37.49103548,83.72624328
K2GH,337.5543225,20.64757129,3.692759239,8.060115054,94.975247,55.15097502,51.58347538,459.3459657,20.7585049,0.331412491,0.373103147,16.67975904,0.558879352,34.56546584,0.383088789,0.18697487,5.55257353,9.952628686,1.307889309,23.30414404,10.59117507,0.148496936,2.363494126,19.96721311,0.660136631,12.32089423,12.55983226,200.9196037,0.133309017,7.363461539,5.088592233,142.4305473,0.000588546,9.001474447,134.9138036,1488.893249,1736.436844,203.7182205,0.101663038,32.74595469,3430.43977,1.272814458,14.94495482,72.97958924,1.429714286,954.1950959,46012.79625,21.2546277,0.545714286,0.633142857,2.643772894,0.649421104,2.707415121,0.455081427,5.736187349,60.24553079
K2GL,28.07417134,3.157684631,5.3228125,2,91.57964602,27.90817326,28.26666667,449.3178393,23.27970712,0.445824967,0.116129223,4.492,0.565090909,62.18120787,0.585708333,0.37,6.7,7.213900595,1.217917936,20.41515909,11.49835332,0.162627382,1.889890059,22.80120482,0.442405866,7.140506329,10.30827414,248.7699459,0.113306622,7.42276796,4.605210007,156.61302,0.001481045,10.27494897,130.4053305,328.976526,1115.162741,61.66666666,0.223403846,34.36561854,2205.743812,0.609313,14.87893,66.19390406,1.104545455,27.20116193,32810.39432,24.1377867,0.364545455,0.558181818,3.182917002,6.096,4.270499,0.608362828,0.362127938,56.32526145
K2UH,7.750861893,5.350075188,3.20875188,4.463443609,94.42416084,85.15625657,26.75,444.7781564,22.26352847,0.427447366,0.581662215,0.608402685,0.434367726,49.34296728,0.450690842,0.16065283,5.227896996,10.71348792,1.431038426,21.57157138,10.64011761,0.187915214,2.373955772,22.0078125,0.65721314,14.47694491,9.721423126,261.0785313,0.131615242,7.372625969,5.050096899,154.6960495,0.000402682,11.02459788,153.2246305,195.2455003,1099.774178,200.7627119,0.243109778,35.28003876,2842.450025,1.130494407,14.87893,74.16209302,3.064424779,24.60040792,474964.5559,25.43550059,1.034336283,1.115929204,4.477710843,3.472061377,21.292075,0.557931823,2.064483918,67.73904304
K2UL,1446.473197,22.44082071,9.15435639,12.39850681,98.19802985,106.486044,28.1517757,455.8682184,20.82027935,0.461121527,0.571080487,18.57738023,0.610950922,52.39567396,2.644069115,0.220887756,5.419135602,11.55774688,1.552904101,24.24501236,12.54491933,0.141007707,2.066284134,13.21878312,0.617314686,11.58538189,12.39634871,207.6821593,0.159322967,7.226523258,4.915594778,156.6646005,0.000816836,11.14133866,159.5679873,1204.426793,1716.918042,226.727921,0.113628176,36.60029417,1709.388621,0.8527,15.01234115,88.55769075,5.5,304.1822939,115279.7559,34.07753434,1.63,3.25,2.693375944,3.239498085,0.681,0.563594905,0.350244113,42.99842814
