Code,Cover,Species
K1GL,0.228,Ludwigia palustris
I1GL,0.015,Lycopus uniflorus
I1UH,0.00525,Lycopus uniflorus
K1GL,0.003,Lycopus uniflorus
B2GL,0.00525,Lysimachia ciliata
I1GH,0.0015,Lysimachia ciliata
I1UH,0.0105,Lysimachia ciliata
I2UL,0.006,Lysimachia ciliata
K1UL,0.0015,Lysimachia ciliata
K2GH,0.0015,Lysimachia ciliata
K2GL,0.0015,Lysimachia ciliata
B1GL,0.02875,Lysimachia nummularia
B2GL,0.0135,Lysimachia nummularia
B2UL,0.00975,Lysimachia nummularia
I1GH,0.02025,Lysimachia nummularia
I1GL,0.10825,Lysimachia nummularia
I1UH,0.0485,Lysimachia nummularia
I1UL,0.003,Lysimachia nummularia
I2GL,0.003,Lysimachia nummularia
K2GH,0.0015,Lysimachia nummularia
K2UH,0.003,Lysimachia nummularia
K2GL,0.0015,Lysimachia vulgaris
B1GL,0.03575,Lythrum salicaria
B2GL,0.027,Lythrum salicaria
I1UH,0.0015,Lythrum salicaria
I2GL,0.01425,Lythrum salicaria
K1GL,0.03275,Lythrum salicaria
K1UL,0.015,Lythrum salicaria
K2GL,0.00675,Lythrum salicaria
I2GH,0.003,Maianthemum canadense
B1UH,0.012,Maianthemum racemosum
B1UL,0.0015,Maianthemum racemosum
B2GH,0.0005,Maianthemum racemosum
B2UH,0.003,Maianthemum racemosum
I2GH,0.00525,Maianthemum racemosum
I2UL,0.01025,Maianthemum racemosum
K2GH,0.003,Maianthemum racemosum
I1UL,0.025454545,Malus pumila
K2UH,0.146,Malus pumila
I1UL,0.0015,Marrubium vulgare
B1GL,0.0015,Matteuccia struthiopteris
K2GH,0.0015,Matteuccia struthiopteris
K2UL,0.11325,Matteuccia struthiopteris
I2UL,0.0015,Menispermum canadense
K1GH,0.28325,Menispermum canadense
K1UH,0.031,Menispermum canadense
K1GL,0.024,Mimulus ringens
I1UH,0.003,Mitchella repens
I1UL,0.019,Mitchella repens
I2UL,0.0015,Muhlenbergia mexicana
I2GH,0.003,Muhlenbergia schreberi
I2GL,0.003,Muhlenbergia schreberi
I2UL,0.003,Muhlenbergia schreberi
B1GL,0.0075,Myosotis laxa
B1GL,0.0015,Myosoton aquaticum
K2GH,0.0015,Oenothera biennis
B1GL,0.02775,Onoclea sensibilis
B2GL,0.15475,Onoclea sensibilis
I1GH,0.0665,Onoclea sensibilis
I1GL,0.003,Onoclea sensibilis
I1UH,0.0345,Onoclea sensibilis
I2GH,0.01025,Onoclea sensibilis
I2UL,0.12325,Onoclea sensibilis
K2UH,0.0165,Onoclea sensibilis
K2UL,0.0105,Onoclea sensibilis
B2GH,0.025633803,Ostrya virginiana
B2UH,0.000427273,Ostrya virginiana
I2GH,0.0015,Oxalis stricta
K1GH,0.0005,Oxalis stricta
K1UL,0.0015,Oxalis stricta
K2GH,0.0045,Oxalis stricta
I2GL,0.0015,Panicum capillare
I2GL,0.0015,Panicum dichotomiflorum
K2GH,0.0015,Panicum dichotomiflorum
K2GL,0.04375,Panicum dichotomiflorum
K2UL,0.017,Panicum dichotomiflorum
B1GH,0.02825,Parthenocissus quinquefolia
B1UH,0.0515,Parthenocissus quinquefolia
B2GH,0.0015,Parthenocissus quinquefolia
B2GL,0.01325,Parthenocissus quinquefolia
B2UL,0.04125,Parthenocissus quinquefolia
I1GH,0.015,Parthenocissus quinquefolia
I1UH,0.006,Parthenocissus quinquefolia
I1UL,0.00675,Parthenocissus quinquefolia
I2GL,0.02425,Parthenocissus quinquefolia
I2UL,0.0015,Parthenocissus quinquefolia
K1GH,0.006,Parthenocissus quinquefolia
K1UH,0.04775,Parthenocissus quinquefolia
K1UH,0.019,Parthenocissus quinquefolia
K2GH,0.14425,Parthenocissus quinquefolia
K2GL,0.034,Parthenocissus quinquefolia
K2UH,0.034,Parthenocissus quinquefolia
K2UL,0.039,Parthenocissus quinquefolia
I2UL,0.0015,Pastinaca sativa
K1GL,0.0015,Pastinaca sativa
K1UL,0.0015,Pastinaca sativa
K2GH,0.0105,Pastinaca sativa
B2GL,0.00525,Peltandra virginica
K1GL,0.003,Penthorum sedoides
B1UH,0.00525,Petasites frigidus
K1UH,0.019,Phytolacca americana
B1GH,0.0045,Pilea pumila
B1GL,0.05375,Pilea pumila
B1UH,0.0015,Pilea pumila
B2GL,0.02,Pilea pumila
B2UL,0.0015,Pilea pumila
I1GH,0.0015,Pilea pumila
I1GL,0.0005,Pilea pumila
I2GH,0.0015,Pilea pumila
I2GL,0.0045,Pilea pumila
K1UH,0.0015,Pilea pumila
K1UL,0.02925,Pilea pumila
I1UH,0.2075,Pinus strobus
I2GL,0.01125,Plantago major
K1GL,0.0075,Plantago major
I2UL,0.0015,Polygonum hydropiper
I2GL,0.0015,Polygonum hydropiperoides
I2GL,0.006,Polygonum lapathifolium
K1GL,0.01275,Polygonum lapathifolium
K1UL,0.01175,Polygonum lapathifolium
B1GL,0.0005,Polygonum persicaria
B2GL,0.006,Polygonum persicaria
I2GL,0.009,Polygonum persicaria
I2UL,0.0015,Polygonum persicaria
K1GL,0.0045,Polygonum persicaria
I1GH,0.003,Polygonum sagittatum
I1GL,0.0015,Polygonum sagittatum
I1UH,0.0015,Polygonum sagittatum
I1GH,0.00525,Polygonum virginianum
I1GL,0.0015,Polygonum virginianum
I1UH,0.034,Polygonum virginianum
I2GL,0.0045,Polygonum virginianum
I2UL,0.00675,Polygonum virginianum
K2UL,0.0015,Polygonum virginianum
I2GH,0.02575,Polystichum acrostichoides
I2UH,0.07925,Polystichum acrostichoides
I1UL,0.025454545,Populus deltoides
K1GL,0.396,Populus deltoides
K2GH,0.093333333,Populus deltoides
K2UL,0.125714286,Populus deltoides
I1GH,0.07,Populus tremuloides
I1GL,0.131666667,Populus tremuloides
I1UH,0.2075,Populus tremuloides
I1GH,0.006,Potentilla simplex
I1UH,0.0165,Potentilla simplex
I1UL,0.0075,Potentilla simplex
I1GH,0.006,Prunella vulgaris
I1GL,0.00975,Prunella vulgaris
I1UH,0.003,Prunella vulgaris
I2GH,0.00525,Prunella vulgaris
I2GL,0.00525,Prunella vulgaris
I1UH,0.0015,Prunus serotina
B2GH,0.038450704,Prunus virginiana
B2UH,0.23,Prunus virginiana
B2UL,0.21,Prunus virginiana
I1GL,0.02,Prunus virginiana
I1UL,0.050909091,Prunus virginiana
K2GH,0.05,Prunus virginiana
K2UH,0.07,Prunus virginiana
B1UL,0.02875,Quercus alba
B2GH,0.012816901,Quercus alba
B2UH,0.000854545,Quercus alba
B2UL,0.0015,Quercus alba
I1GH,0.0005,Quercus alba
I1UH,0.006,Quercus alba
I1UL,0.0015,Quercus alba
B2UL,0.003,Quercus macrocarpa
B1GH,0.043809524,Quercus rubra
B1UH,0.16,Quercus rubra
B1UL,0.0025,Quercus rubra
B2GH,0.076901408,Quercus rubra
B2UL,0.004,Quercus rubra
I1GL,0.0005,Quercus rubra
I1UH,0.2075,Quercus rubra
I1UL,0.050909091,Quercus rubra
I2UL,0.005,Quercus rubra
K2GH,0.03,Quercus rubra
K2UL,0.125714286,Quercus rubra
B1GH,0.006,Ranunculus recurvatus
I1GL,0.0015,Ranunculus recurvatus
I2GH,0.00675,Ranunculus recurvatus
B2UL,0.04,Rhamnus alnifolia
I2GL,0.02,Rhamnus alnifolia
I2UL,0.01,Rhamnus alnifolia
B1UH,0.0045,Rhamnus cathartica
I1GH,0.18,Rhamnus cathartica
I1GL,0.131666667,Rhamnus cathartica
I1UH,0.22,Rhamnus cathartica
K2GH,0.01,Rhamnus cathartica
K2UL,0.01,Rhamnus cathartica
K2GH,0.08,Ribes americanum
B2GL,0.01,Ribes rubrum
B2UL,0.141538462,Ribes rubrum
K2UL,0.125714286,Robinia pseudoacacia
I1GH,0.19,Rosa multiflora
I1GL,0.01,Rosa multiflora
I1UH,0.12,Rosa multiflora
K2GL,0.02,Rosa multiflora
K2UL,0.02,Rosa multiflora
B1UH,0.04775,Rubus allegheniensis
I1UL,0.0015,Rubus hispidus
B1GH,0.012,Rubus occidentalis
K2UH,0.0315,Rubus occidentalis
B1UH,0.00525,Rubus odoratus
I1GH,0.02525,Rubus pubescens
I1UH,0.0155,Rubus pubescens
K1UL,0.00525,Rumex obtusifolius
K2GH,0.01,Salix alba
K1GL,0.1,Salix nigra
K2GH,0.093333333,Salix nigra
K2GL,0.01,Salix nigra
K2GH,0.01,Sambucus nigra
K2UH,0.01,Sambucus nigra
I1GH,0.0015,Scutellaria lateriflora
I1UH,0.0015,Scutellaria lateriflora
I2GL,0.0015,Solanum dulcamara
K1GH,0.0015,Solanum dulcamara
K1UH,0.00525,Solanum dulcamara
K1UL,0.0015,Solanum dulcamara
B2UL,0.00525,Solidago altissima
K2GH,0.0395,Solidago altissima
B1UL,0.0015,Solidago canadensis
B2GH,0.01025,Solidago flexicaulis
I2GH,0.064,Solidago flexicaulis
I2GL,0.0205,Solidago flexicaulis
I2UH,0.0045,Solidago flexicaulis
I2UL,0.038,Solidago flexicaulis
K2GH,0.03225,Solidago flexicaulis
K2UH,0.02075,Solidago flexicaulis
I1UH,0.047,Solidago gigantea
I2GL,0.0015,Solidago gigantea
K1UL,0.0045,Solidago gigantea
K2GH,0.021,Solidago gigantea
K2UL,0.012,Solidago gigantea
B1GH,0.02875,Thalictrum pubescens
I2GH,0.00825,Thalictrum pubescens
K2UH,0.0315,Thelypteris noveboracensis
K1GH,0.0205,Thelypteris palustris
B1GH,0.043809524,Tilia americana
B1UH,0.16,Tilia americana
B1UL,0.0025,Tilia americana
B2GL,0.06,Tilia americana
B2UL,0.141538462,Tilia americana
I1GH,0.36,Tilia americana
I1UL,0.076363636,Tilia americana
I2GH,0.0725,Tilia americana
K2GH,0.28,Tilia americana
B1GH,0.00525,Toxicodendron radicans
B2GH,0.0015,Toxicodendron radicans
I1GH,0.0015,Toxicodendron radicans
I1UH,0.00975,Toxicodendron radicans
I2GH,0.0015,Toxicodendron radicans
I2GL,0.01175,Toxicodendron radicans
I2UL,0.00825,Toxicodendron radicans
K2UL,0.017,Toxicodendron radicans
I1GH,0.0015,Trifolium pratense
K2GH,0.0015,Trifolium repens
I1UL,0.381818182,Tsuga canadensis
I2GH,0.0725,Tsuga canadensis
I2UH,0.250909091,Tsuga canadensis
B1GH,0.043809524,Ulmus rubra
B1UH,0.08,Ulmus rubra
B1UL,0.31625,Ulmus rubra
B2GL,0.205714286,Ulmus rubra
B2UL,0.141538462,Ulmus rubra
I1GH,0.0015,Ulmus rubra
I1GL,0.395,Ulmus rubra
I1UH,0.0035,Ulmus rubra
I1UL,0.025454545,Ulmus rubra
I2GH,0.0725,Ulmus rubra
I2GL,0.68,Ulmus rubra
K2UH,0.146,Ulmus rubra
K2UL,0.125714286,Ulmus rubra
I2UH,0.00525,Urtica dioica
K1GH,0.03875,Urtica dioica
K1UH,0.1045,Urtica dioica
K1UL,0.0015,Urtica dioica
K2UH,0.0045,Urtica dioica
I2GL,0.00525,Veronica americana
B2GH,0.5,Viburnum acerifolium
B2UH,0.28,Viburnum acerifolium
B1GL,0.0155,Vitis riparia
B2GL,0.00525,Vitis riparia
I2GL,0.01025,Vitis riparia
K1GH,0.00525,Vitis riparia
K2GL,0.00525,Vitis riparia
I2GL,0.00525,Xanthium strumarium
K1GL,0.0045,Xanthium strumarium
