V1,B1GH,B1GL,B1UH,B1UL,B2GH,B2GL,B2UH,B2UL,I1GH,I1GL,I1UH,I1UL,I2GH,I2GL,I2UH,I2UL,K1GH,K1GL,K1UH,K1UL,K2GH,K2GL,K2UH,K2UL
11,0.681725553,0.739526468,0.435272016,0.519148079,0.39267769,0.418878296,0.598299252,0.643594322,0.642541716,0.415555948,0.6421342,0.60403053,0.519475902,0.526521565,0.693251743,0.552010921,0.573597987,0.525759133,0.654911475,0.348927027,0.445375718,0.442685251,0.386445323,0.586272489
12,0.462103981,0.639833977,0.378699085,0.777640523,0.49722256,0.577336164,0.451146475,0.41551653,0.584253781,0.480075454,0.512967757,0.571955901,0.690649411,0.657650678,0.484869472,0.398316512,0.533064262,0.53118556,0.484726442,0.421516617,0.687133701,0.569416899,0.496682323,0.643057574
13,0.518824033,0.410258236,0.690511336,0.717778377,0.597210464,0.527562257,0.393087979,0.64177596,0.517926482,0.390305279,0.579844338,0.538294741,0.643164209,0.493243169,0.450183667,0.512952577,0.70199005,0.618608878,0.230266762,0.465103618,0.337106545,0.657208591,0.485453614,0.524082568
14,0.493606247,0.5344735,0.625587546,0.431247243,0.446919816,0.33108487,0.419594428,0.588423607,0.567345747,0.484246646,0.55165992,0.474970939,0.713641042,0.46854239,0.686786047,0.659241628,0.529993944,0.540863695,0.521102679,0.402892937,0.518407094,0.671852234,0.476888173,0.555771672
15,0.388067315,0.492331831,0.849802369,0.482335683,0.47184977,0.432591447,0.684815423,0.618066764,0.431359436,0.471980742,0.627892436,0.526076434,0.455391618,0.405098008,0.519891406,0.511088114,0.471839267,0.630435612,0.560519953,0.554282907,0.456016996,0.497408358,0.695360067,0.424796005
16,0.608764626,0.403752327,0.475516346,0.764533663,0.471771298,0.482934225,0.616117431,0.580911379,0.514566903,0.471665117,0.647779664,0.488308576,0.548431471,0.516159129,0.350435159,0.510121449,0.524362746,0.439369604,0.364616957,0.589865478,0.503223058,0.540515744,0.511548325,0.596926174
17,0.606496351,0.4573737,0.611736495,0.745471425,0.588099146,0.605941926,0.689744637,0.413281603,0.60245474,0.566636706,0.44063504,0.469548692,0.775537743,0.506672542,0.760165641,0.481496913,0.45642574,0.591431313,0.31368727,0.500202699,0.639688403,0.40823433,0.521986541,0.652825598
18,0.686340345,0.40115605,0.41267157,0.685473654,0.289731474,0.56040858,0.721653519,0.600151733,0.650535419,0.615355861,0.439427165,0.443267978,0.621256975,0.469440465,0.594601285,0.576404147,0.494479927,0.47275854,0.407991911,0.302028768,0.569261206,0.678524831,0.558365841,0.383074011
19,0.601105661,0.589047268,0.511468139,0.676560206,0.366440318,0.441590795,0.4530875,0.502223852,0.705818457,0.514960852,0.422974382,0.434421799,0.472346318,0.55109667,0.371848221,0.438924625,0.716602677,0.64744528,0.637678866,0.665236911,0.655292044,0.431141554,0.56948645,0.387937641
20,0.647040508,0.497440859,0.619473643,0.584829377,0.557670357,0.438139746,0.582441683,0.498034808,0.396135702,0.532891285,0.586791348,0.659681005,0.483625051,0.55435177,0.549505678,0.558568654,0.45391988,0.566929025,0.635846556,0.565438065,0.356186236,0.658807073,0.541044934,0.45649627
21,0.477357894,0.51740151,0.400684589,0.609024221,0.481797253,0.515012372,0.449469811,0.645559063,0.527288021,0.543531672,0.582079964,0.375739299,0.559349081,0.549696602,0.935102247,0.650470728,0.825625859,0.518203547,0.635332263,0.568066726,0.46393392,0.547284646,0.559993567,0.554089347
22,0.503491914,0.658032412,0.408773525,0.444042499,0.416595441,0.46982791,0.471607091,0.477648643,0.595666806,0.594627962,0.564030593,0.530952684,0.528690386,0.467337212,0.581182865,0.591241123,0.573080696,0.398258134,0.43159776,0.49522935,0.419021372,0.537404295,0.712613425,0.469699724
23,0.547611854,0.651751572,0.454748537,0.55824274,0.257649486,0.401904853,0.617642821,0.495001264,0.556598423,0.541276408,0.532466818,0.636620324,0.601415028,0.703677249,0.438465484,0.433403189,0.716237044,0.427031052,0.550664334,0.579881319,0.53305014,0.759969495,0.628208276,0.643665921
24,0.533990616,0.532673992,0.393975932,0.409787602,0.749292956,0.496046476,0.32786561,0.581470903,0.45018936,0.399512202,0.493347804,0.536841919,0.471860146,0.501008724,0.797698829,0.506411858,0.641199609,0.479928028,0.580660875,0.58985269,0.624590338,0.672521887,0.593888589,0.580645903
25,0.411933768,0.466134874,0.488221464,0.538620415,0.385686313,0.630534614,0.548794391,0.54396027,0.488372315,0.631393409,0.411771989,0.557743043,0.597592643,0.539673885,0.473821529,0.379897676,0.235411507,0.548500419,0.421225621,0.498323504,0.690444476,0.564593391,0.659486939,0.500541481
26,0.593896776,0.490122813,0.416434626,0.649831571,0.668239316,0.517558258,0.536421971,0.531654396,0.463574854,0.826277869,0.460759631,0.570537304,0.496854537,0.438174821,0.669069907,0.461664383,0.595921433,0.517663605,0.590511699,0.652920744,0.592644789,0.366030778,0.857407319,0.6576529
27,0.577167419,0.49083994,0.486694088,0.31392268,0.461849887,0.416659404,0.650761907,0.575604328,0.626349762,0.571960857,0.561408319,0.571869966,0.650852352,0.598934414,0.679253127,0.477022423,0.529533338,0.533068502,0.745203106,0.568292692,0.547848087,0.592331914,0.321663355,0.531031069
28,0.526646147,0.518390169,0.472540426,0.589075739,0.411886498,0.463973686,0.570127921,0.327750639,0.521897939,0.531488556,0.655087183,0.786622207,0.60076818,0.558027368,0.460291046,0.39292623,0.621421796,0.468955871,0.657525728,0.551341707,0.463832011,0.738620587,0.493283179,0.620333229
29,0.526646147,0.518390169,0.472540426,0.589075739,0.411886498,0.463973686,0.570127921,0.327750639,0.521897939,0.531488556,0.655087183,0.786622207,0.60076818,0.558027368,0.460291046,0.39292623,0.621421796,0.468955871,0.657525728,0.551341707,0.463832011,0.738620587,0.493283179,0.620333229
30,0.557328681,0.436595601,0.502918672,0.415157935,0.29158806,0.505185427,0.532040872,0.619066682,0.484041481,0.49163621,0.665970532,0.587734234,0.569220222,0.58565182,0.281393457,0.671164957,0.551913015,0.664582013,0.464981104,0.555839665,0.496698605,0.398626411,0.5332356,0.687245184
31,0.42994229,0.51920086,0.708054584,0.668179025,0.530722075,0.555366725,0.579790541,0.533759707,0.506294523,0.412666137,0.530048495,0.644985835,0.419009479,0.487720859,0.33956483,0.481702124,0.408049685,0.567748847,0.734436645,0.600707551,0.536093268,0.513249468,0.684214293,0.247327604
32,0.652599854,0.51135436,0.537460831,0.250245022,0.62824553,0.650002679,0.484730924,0.597699423,0.397192594,0.450929783,0.498646518,0.618700063,0.37853819,0.445585701,0.525019783,0.585187102,0.496834917,0.598672073,0.350940459,0.480387611,0.424646632,0.581425546,0.716893182,0.561451419
33,0.397173099,0.554838549,0.51764181,0.584221785,0.382388792,0.551480033,0.569941284,0.558578595,0.676665575,0.422686554,0.520495777,0.624495679,0.472023812,0.525848519,0.633795059,0.561664307,0.562421233,0.486628846,0.483520973,0.479757052,0.424868529,0.753722634,0.510756334,0.568150577
34,0.51906391,0.480437763,0.511484551,0.658015035,0.494784579,0.570521117,0.605577342,0.553438376,0.44960716,0.59856136,0.644397935,0.564246966,0.417675282,0.495005259,0.578930389,0.595383133,0.816359244,0.505251941,0.780976862,0.672514366,0.489533181,0.351509455,0.670029617,0.437965851
35,0.316530992,0.460661765,0.653166506,0.594715413,0.581074474,0.531621965,0.335630246,0.499601959,0.430767615,0.498705551,0.594131486,0.656727421,0.659517169,0.581000838,0.791246779,0.602404339,0.409850644,0.499286381,0.525097083,0.415338053,0.606416997,0.730096063,0.708743836,0.509473844
36,0.537072591,0.592450836,0.539823983,0.513281687,0.640387369,0.449816701,0.37829371,0.667615536,0.576744254,0.562874675,0.565596584,0.439511262,0.461431464,0.379906498,0.720178104,0.608800293,0.487462366,0.417783523,0.400610071,0.557100964,0.592139008,0.704425551,0.566045741,0.508309656
37,0.511949444,0.388987385,0.467046486,0.399593999,0.518448117,0.571624681,0.447674796,0.714349698,0.492476835,0.491457638,0.599901871,0.475811264,0.442909803,0.686856804,0.347481608,0.433868291,0.62855916,0.63477735,0.624002968,0.49489191,0.574364592,0.304315346,0.522433312,0.54404469
38,0.656048112,0.422840988,0.459758699,0.294324818,0.659241275,0.492709127,0.413670941,0.524897254,0.510762874,0.558267407,0.711513992,0.469369607,0.460041435,0.491288854,0.447905498,0.459167372,0.373407973,0.391725833,0.446291695,0.609561816,0.602793886,0.689169074,0.357921584,0.517620318
39,0.486275064,0.384459962,0.663895187,0.609640754,0.392323361,0.649647397,0.311957445,0.514397378,0.587820457,0.51989325,0.563876008,0.594046452,0.443859346,0.559552525,0.854694206,0.516953127,0.693195878,0.614972453,0.699869532,0.586279368,0.537559149,0.673036487,0.3973635,0.496090528
40,0.466269045,0.565056839,0.495484282,0.642472259,0.369754641,0.555304936,0.780508547,0.586027431,0.525513486,0.730685799,0.492694684,0.405764343,0.429978297,0.424178508,0.655037337,0.548369226,0.420702187,0.568827223,0.708405512,0.58217939,0.526435132,0.663292495,0.617451393,0.400689506
41,0.568225012,0.45957318,0.346978156,0.509799745,0.519506983,0.584556907,0.667680078,0.566102043,0.478591304,0.583857972,0.625130689,0.589565783,0.523776927,0.47485801,0.629369014,0.405838682,0.283767719,0.347152899,0.512786925,0.475235206,0.636066112,0.669549404,0.637417365,0.400458329
42,0.511975648,0.579663697,0.266940568,0.59208073,0.437900266,0.444423246,0.565800411,0.497614354,0.459869658,0.596862192,0.590127865,0.573898838,0.60653675,0.650672232,0.497508846,0.56624209,0.516145133,0.442942687,0.670857018,0.330022195,0.646361525,0.642391065,0.563884512,0.400897406
43,0.511975648,0.579663697,0.266940568,0.59208073,0.437900266,0.444423246,0.565800411,0.497614354,0.459869658,0.596862192,0.590127865,0.573898838,0.60653675,0.650672232,0.497508846,0.56624209,0.516145133,0.442942687,0.670857018,0.330022195,0.646361525,0.642391065,0.563884512,0.400897406
44,0.427073884,0.532270959,0.330004034,0.699202367,0.70654758,0.521603313,0.495542303,0.452416299,0.55625015,0.648284684,0.685801731,0.571385139,0.493609123,0.390093235,0.519862437,0.574570938,0.394110017,0.644230778,0.816317285,0.530665514,0.474320683,0.50223195,0.594606513,0.569599514
45,0.594475498,0.584523178,0.613622228,0.458804119,0.537623971,0.516140047,0.466423001,0.595288489,0.566120142,0.513260974,0.528599582,0.557186833,0.464738639,0.517777203,0.794890785,0.542914838,0.654784753,0.592258538,0.552184749,0.65801849,0.584762445,0.56897576,0.515985425,0.418450835
46,0.659341394,0.36488818,0.551228397,0.56203036,0.577722918,0.521898704,0.609201708,0.475968347,0.547438069,0.366760538,0.660142561,0.669614119,0.50668067,0.531590288,0.316100238,0.47135656,0.785767445,0.435181329,0.610903116,0.659124886,0.580455746,0.654187932,0.552261837,0.681007593
47,0.468388433,0.557661935,0.531636299,0.603527709,0.393338709,0.526866772,0.557535286,0.595271392,0.529111364,0.417706446,0.527257678,0.652929969,0.580279996,0.510246885,0.810269099,0.547125102,0.542288524,0.636334299,0.565891913,0.548748663,0.461677113,0.42601006,0.730536919,0.524377389
48,0.549309698,0.592340424,0.552249574,0.411420052,0.681061992,0.518055686,0.590645665,0.310443653,0.456402627,0.478801452,0.612089873,0.482757405,0.508501514,0.582043972,0.391360203,0.509524435,0.622949041,0.482774455,0.562701684,0.463629563,0.498214804,0.786507238,0.600527171,0.341670301
49,0.677466279,0.334524001,0.649210114,0.518261208,0.47950077,0.41653256,0.67122594,0.524371342,0.560608796,0.510857258,0.460994435,0.470342907,0.38867501,0.625896428,0.319264919,0.485934612,0.545254722,0.534202212,0.470155115,0.556903465,0.388762074,0.389968975,0.555683919,0.566965037
50,0.386911346,0.57589197,0.503819945,0.526568808,0.513442504,0.658773718,0.770968741,0.608871942,0.572282883,0.438124006,0.604912099,0.450669827,0.477906547,0.462794535,0.631846016,0.529062115,0.346824957,0.725581359,0.403542285,0.604216125,0.470435897,0.706785751,0.575540101,0.463460813
51,0.597311583,0.360183115,0.461252087,0.375233418,0.672523378,0.466418369,0.584866879,0.732871541,0.464429261,0.499752844,0.596826934,0.579558428,0.633959018,0.553192592,0.44231952,0.618600413,0.593113709,0.454198914,0.44854202,0.687720303,0.707090618,0.599367246,0.547093001,0.563453827
52,0.566168263,0.531365178,0.490590102,0.754851265,0.722603706,0.587780938,0.645427786,0.463586762,0.499590562,0.424378946,0.56814134,0.438053552,0.592638481,0.415254245,0.502031895,0.638324149,0.542338321,0.619680667,0.842750033,0.476491133,0.520717995,0.550736125,0.453665723,0.324950801
53,0.667540474,0.567256427,0.419068468,0.631915006,0.669223159,0.518559802,0.779122173,0.421216353,0.685559188,0.601202686,0.485377838,0.386824458,0.656536712,0.471934468,0.679479726,0.704331305,0.315730204,0.374383293,0.554048141,0.536384412,0.420248043,0.548354719,0.712473464,0.362881009
54,0.610881914,0.578483341,0.667306174,0.534464581,0.508117907,0.471382427,0.714752849,0.602265376,0.539192696,0.593260524,0.621652695,0.627337494,0.436204631,0.492681784,0.402025383,0.418674168,0.679954002,0.754744211,0.436358471,0.34749676,0.689658411,0.534191593,0.430966459,0.587523828
55,0.641373434,0.44557092,0.32509602,0.617995269,0.404211221,0.556364394,0.593002531,0.521396877,0.681577364,0.480442442,0.364855276,0.368573063,0.492531907,0.553769786,0.380697831,0.65221141,0.614207358,0.517664606,0.69309102,0.495172012,0.6115385,0.411479358,0.458970369,0.596617968
56,0.701811647,0.349143465,0.44343486,0.274890658,0.441899397,0.638545194,0.746999329,0.543695381,0.566425502,0.616815737,0.627220334,0.456961084,0.524647841,0.415332455,0.456053526,0.603040254,0.39140194,0.611004963,0.63840131,0.592909342,0.567281174,0.57512124,0.473610578,0.448305063
57,0.477942741,0.51937925,0.437641168,0.543603803,0.43823618,0.677385822,0.428777736,0.654212804,0.630275232,0.465617577,0.427764197,0.565056986,0.639024211,0.732400781,0.485263107,0.678923741,0.467698157,0.412394729,0.794024889,0.539032471,0.53472383,0.683670763,0.617219646,0.533724505
58,0.51671247,0.532260722,0.51578042,0.508676303,0.41269154,0.718246656,0.725256456,0.487390052,0.722609054,0.678369409,0.365788127,0.616188851,0.414415085,0.600791356,0.35948506,0.4678938,0.434348728,0.444643214,0.458728642,0.583342824,0.595991992,0.514131501,0.61962884,0.59821867
59,0.739639216,0.538317796,0.468245836,0.48668689,0.441264191,0.682079109,0.542603635,0.528392635,0.648301516,0.563758879,0.539468432,0.493777445,0.413662852,0.431241246,0.45052355,0.508983613,0.60621646,0.492678888,0.649944309,0.548634254,0.448975867,0.513295105,0.525102036,0.525057122
60,0.479198814,0.62923094,0.650672196,0.485396109,0.582870159,0.549488382,0.505969287,0.278919555,0.519258354,0.514035304,0.515618605,0.422759376,0.662564355,0.612755167,0.408218643,0.452899135,0.560373831,0.382154459,0.742473451,0.620204025,0.455358488,0.536105522,0.543811122,0.385440261
61,0.587535733,0.647009386,0.57599841,0.557515889,0.567016737,0.602502059,0.418314707,0.600566097,0.567949533,0.615220008,0.507276063,0.348985682,0.476921041,0.370494969,0.401939679,0.461947117,0.579345986,0.487570945,0.545082108,0.527971383,0.550833782,0.659688349,0.479962637,0.479659052
62,0.587535733,0.647009386,0.57599841,0.557515889,0.567016737,0.602502059,0.418314707,0.600566097,0.567949533,0.615220008,0.507276063,0.348985682,0.476921041,0.370494969,0.401939679,0.461947117,0.579345986,0.487570945,0.545082108,0.527971383,0.550833782,0.659688349,0.479962637,0.479659052
63,0.577205735,0.659580938,0.487984196,0.505737812,0.785446784,0.575243107,0.316122367,0.57273905,0.71244954,0.499110257,0.597299733,0.554050956,0.658119307,0.519435982,0.424506918,0.61004847,0.43573228,0.645459559,0.622227034,0.589819768,0.498776308,0.597648029,0.432228753,0.342315205
64,0.432639987,0.441836105,0.862620975,0.587055148,0.253862598,0.640949063,0.401485473,0.581942956,0.535315899,0.516706509,0.509248495,0.412472443,0.458945403,0.436102106,0.609176062,0.553783108,0.750304289,0.505149619,0.505512485,0.681445087,0.560218324,0.454217886,0.452665234,0.421569691
65,0.496776352,0.529662542,0.62274277,0.376232847,0.481013007,0.532710293,0.668010883,0.644851126,0.570351796,0.413016063,0.561827237,0.612567574,0.663002599,0.593590974,0.561813806,0.682512381,0.591359086,0.408409914,0.491925324,0.521695732,0.482802804,0.555230451,0.519498428,0.421034144
66,0.300288939,0.541374316,0.500819628,0.444767266,0.500187576,0.671350641,0.48698959,0.407238469,0.583987212,0.447108555,0.519948199,0.665179046,0.27833571,0.57520329,0.711897472,0.478786999,0.371535546,0.598517686,0.471028562,0.527307706,0.613767106,0.650930374,0.567339861,0.418899832
67,0.694624643,0.417695509,0.61617451,0.615436553,0.630796964,0.347340791,0.499746173,0.545415573,0.516100867,0.500473273,0.573324948,0.726792769,0.451023047,0.562967422,0.443814878,0.616684423,0.702614375,0.623825064,0.573237349,0.617797459,0.55565375,0.616150974,0.527583816,0.437792033
68,0.504809583,0.454872461,0.423053733,0.462411674,0.56481585,0.564333509,0.536668403,0.533330053,0.519745196,0.44476027,0.572424821,0.483778932,0.398903646,0.727821415,0.591303996,0.469202633,0.602148278,0.420891252,0.532255282,0.725400077,0.536700638,0.386619268,0.453755371,0.547608605
69,0.491005049,0.645229135,0.460127302,0.466556678,0.696564889,0.629074737,0.543374868,0.597322613,0.572128188,0.453450235,0.491653038,0.722618329,0.501877943,0.605751284,0.388487291,0.498908742,0.417347646,0.521481959,0.568838469,0.47365624,0.656449589,0.648137422,0.474096943,0.580974392
70,0.470740467,0.628894968,0.618578371,0.506606907,0.453472984,0.48698405,0.804275912,0.487718925,0.52738822,0.501520241,0.636179012,0.443935731,0.505931436,0.521155205,0.607915389,0.502382578,0.582583032,0.382118806,0.510249606,0.560439924,0.52967154,0.534789567,0.420037543,0.514005445
71,0.470740467,0.628894968,0.618578371,0.506606907,0.453472984,0.48698405,0.804275912,0.487718925,0.52738822,0.501520241,0.636179012,0.443935731,0.505931436,0.521155205,0.607915389,0.502382578,0.582583032,0.382118806,0.510249606,0.560439924,0.52967154,0.534789567,0.420037543,0.514005445
72,0.707486755,0.607788129,0.348061588,0.493525546,0.636601169,0.498974822,0.791126578,0.469235954,0.609860244,0.468224504,0.463271009,0.593699949,0.862745549,0.560480577,0.401188732,0.360858294,0.655799094,0.467748168,0.19168051,0.583423673,0.516192513,0.333217954,0.664060581,0.579472737
73,0.354778121,0.491673358,0.60984412,0.483027588,0.483220301,0.573157332,0.518092309,0.618496598,0.494158412,0.459188085,0.523881702,0.522397992,0.481736336,0.495948709,0.676554449,0.752545435,0.522530937,0.732718993,0.474489473,0.701840033,0.506645013,0.640679381,0.495011676,0.466184897
74,0.621349263,0.509544248,0.702491649,0.454867576,0.537213618,0.489801294,0.587712542,0.516355877,0.422216549,0.417976675,0.503260809,0.596086526,0.671145407,0.630772198,0.784463785,0.537080023,0.406467296,0.571027683,0.560976051,0.432102767,0.664626994,0.437779017,0.419894679,0.478899621
75,0.415046545,0.535318367,0.667559874,0.419097973,0.608063188,0.581594474,0.786777137,0.527482954,0.64556261,0.605322225,0.482683604,0.430864341,0.58542419,0.442386859,0.442372402,0.777541114,0.654582535,0.401510595,0.60461222,0.49091543,0.479855154,0.285910729,0.615870098,0.619447751
76,0.603789584,0.659411092,0.395453236,0.449146692,0.627001424,0.430708255,0.772236581,0.316583532,0.642258062,0.414780751,0.693773849,0.584936713,0.563101169,0.553382215,0.591286239,0.466318037,0.433660587,0.758794398,0.734285428,0.681685046,0.529054914,0.482745362,0.522939459,0.494694946
77,0.555937135,0.565198533,0.391392285,0.499563525,0.571712492,0.56380867,0.425258056,0.570813611,0.667815517,0.37281896,0.660432247,0.531053806,0.578881917,0.592313597,0.522820144,0.611035807,0.691310497,0.434083775,0.563054874,0.699029284,0.536240078,0.521258272,0.729402543,0.605660029
78,0.559991545,0.369722719,0.527316036,0.587625125,0.350031444,0.471657278,0.317057766,0.646459403,0.624785981,0.602033664,0.492555738,0.444709191,0.700327444,0.413121815,0.602758312,0.593846825,0.712365874,0.446761714,0.389918337,0.645472841,0.539694178,0.641561088,0.466507777,0.515755521
79,0.707842888,0.494082298,0.434859647,0.394989793,0.40258359,0.617053744,0.722785017,0.405673934,0.475616432,0.544156331,0.500706334,0.684004132,0.433388629,0.485114602,0.64910443,0.575231724,0.675013219,0.570168752,0.767222321,0.517423948,0.542304744,0.617400887,0.629771956,0.427100808
80,0.592208828,0.580028933,0.657973363,0.577011896,0.455910824,0.510622873,0.445752893,0.711387911,0.458187204,0.566148065,0.484951492,0.480291372,0.596794109,0.441480451,0.805945972,0.582673507,0.542238989,0.767272273,0.53302246,0.307836598,0.580467691,0.393496255,0.621304702,0.659000916
81,0.587009096,0.558235811,0.517838731,0.706476614,0.521367986,0.538874601,0.632039465,0.565931983,0.551442071,0.542910272,0.717186036,0.547268103,0.641180507,0.527175629,0.490440184,0.594420911,0.355713558,0.526551848,0.438003921,0.504511936,0.401474466,0.400209332,0.544718535,0.494817178
82,0.768989596,0.586476483,0.507267802,0.333218828,0.508891461,0.513069299,0.493793354,0.55475699,0.573556632,0.463661407,0.591452514,0.628738633,0.613178512,0.585644634,0.460652537,0.399929862,0.501044926,0.643626816,0.582993668,0.37339742,0.587608587,0.348343938,0.561743349,0.640483561
83,0.591324582,0.649498885,0.337618143,0.73503998,0.63808536,0.43148271,0.431532804,0.465141363,0.699884094,0.420547024,0.522325168,0.553624747,0.55840792,0.628809879,0.59302378,0.356454197,0.431773266,0.620428903,0.358902018,0.619797734,0.489504166,0.515246213,0.483534868,0.476725797
84,0.526638133,0.679873697,0.690696345,0.489809705,0.510005328,0.575672879,0.537662085,0.641455864,0.421066181,0.51951119,0.621179509,0.707999472,0.441277759,0.533371528,0.496244956,0.379121248,0.483482462,0.554565766,0.323343192,0.610363593,0.575028952,0.476481451,0.724390019,0.544737552
85,0.448532463,0.630296029,0.680896985,0.62493457,0.536375597,0.461900883,0.596998929,0.428340687,0.634668557,0.673825443,0.446787774,0.362437064,0.548282432,0.432018179,0.709917535,0.427709207,0.489232615,0.521090932,0.744423884,0.606917975,0.510470352,0.276758798,0.698213884,0.510705876
86,0.447009363,0.659863195,0.435360736,0.552074373,0.360219334,0.522171511,0.634581628,0.720670622,0.45359975,0.556690541,0.42906554,0.545673182,0.643352598,0.632354538,0.373578499,0.641257974,0.662751396,0.586351766,0.489187856,0.761170309,0.44611632,0.575531574,0.461013817,0.664744242
87,0.552522877,0.4128196,0.504944524,0.559006984,0.604982899,0.500498123,0.589164768,0.604157582,0.564796138,0.653939267,0.547847164,0.403378849,0.541840787,0.49766003,0.709478167,0.377358347,0.523306659,0.518211688,0.590778641,0.46582063,0.64277,0.596820285,0.414123035,0.601894291
88,0.502036677,0.514228478,0.586908864,0.534001162,0.639653283,0.642816047,0.689349851,0.49612298,0.553247257,0.387566001,0.661240491,0.439452093,0.498786235,0.598552653,0.530845297,0.51020057,0.540125942,0.664710305,0.443104702,0.641677287,0.478554475,0.525337954,0.645754671,0.447273006
89,0.471187219,0.415214867,0.411502999,0.544992593,0.38516925,0.506275598,0.522330315,0.740765236,0.473246555,0.495919912,0.431900973,0.762471363,0.379399137,0.720993043,0.594013506,0.521008447,0.648060091,0.581976695,0.71325046,0.32167072,0.611235424,0.607675803,0.582976257,0.606075146
90,0.648045645,0.57280087,0.544106578,0.712345032,0.793425295,0.559360994,0.672691806,0.505644644,0.553432376,0.53284069,0.493579155,0.635673393,0.333538719,0.542855402,0.336404018,0.579534696,0.722940898,0.361149168,0.39761057,0.43661684,0.58439661,0.402680774,0.462174293,0.618529022
91,0.494178999,0.676349719,0.342938343,0.78981006,0.701523965,0.343660073,0.593446567,0.670987553,0.471083107,0.631858546,0.494522689,0.41073392,0.610775824,0.473297672,0.557012897,0.495996317,0.485729114,0.482304928,0.427422391,0.413358424,0.607294681,0.319894284,0.706596826,0.540416047
92,0.539246229,0.51627096,0.584174557,0.51695932,0.4407343,0.569244451,0.812326544,0.588744173,0.422654937,0.558642811,0.433971086,0.612498461,0.68129617,0.364572669,0.597651628,0.376631984,0.628990526,0.464748201,0.590963934,0.487543084,0.485740966,0.590785645,0.601605234,0.57622355
93,0.700278808,0.517668237,0.373064828,0.485812968,0.605643148,0.612255874,0.594809602,0.759823937,0.465107266,0.526798205,0.66906014,0.432931459,0.57741721,0.663074971,0.650678765,0.675007151,0.439664538,0.483098793,0.685435711,0.361658212,0.604696141,0.412273844,0.366582342,0.45401996
94,0.326081217,0.36262298,0.658290214,0.44913662,0.361459482,0.519005505,0.226871633,0.399651527,0.616250995,0.492863912,0.561162813,0.553629216,0.570384694,0.530274883,0.460548834,0.421292351,0.790201376,0.623680705,0.54362376,0.494730894,0.455305276,0.548184293,0.633860918,0.354281415
