,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Germination efficiency,Germination requirement,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Phenology: reproductive,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant height generative,Plant height vegetative,Plant lifespan,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass,Woodiness
bidens_connata,NA,NA,NA,NA,NA,NA,1020.83,NA,NA,NA,NA,20.56,NA,NA,114.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.67,NA,NA,9,NA,NA,NA,NA,0.58,1.87,NA,NA,NA,81,3,NA,43.5,NA,6.15,NA,NA,NA,8,NA,21668.91,1076.91,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
bidens_frondosa,3.3,9.36,1.08,2.41,NA,NA,4266.03,NA,45.39,18.15,NA,115.71,NA,0.43,177.07,NA,NA,NA,NA,73.49,2.07,NA,NA,0.26,NA,22,NA,NA,NA,5972.15,NA,NA,8.5,348,0,5.46,89.2,0.72,1.49,NA,0.24,NA,63.5,4,NA,42,NA,6.2,NA,NA,NA,8,NA,7645.55,22084.84,33.8,NA,NA,2,NA,NA,0.16,120,NA,NA
blephilia_hirsuta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
boehmeria_cylindrica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,33.5,NA,NA,42.5,NA,6.05,NA,NA,NA,14,NA,65000.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bromus_ciliatus,NA,NA,NA,NA,NA,NA,6.08,NA,43.73,NA,NA,0.04,NA,NA,0.27,NA,NA,NA,NA,0.81,1.31,8.45,0.1,550.1,NA,NA,NA,NA,NA,74.24,NA,NA,182.5,NA,NA,9.48,160.25,NA,23.75,NA,NA,NA,86,NA,NA,26,NA,6.5,NA,NA,NA,16,NA,59003.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bromus_pubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
carex_crinita,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,0.36,78.75,NA,NA,NA,NA,57.7,21.99,NA,NA,NA,NA,NA,NA,NA,NA,319.16,NA,123.5,NA,320,0,7.35,151.04,NA,5.2,NA,0.18,NA,55.5,NA,6406,50.5,NA,5.75,NA,NA,NA,18,NA,11.05,NA,14.8,NA,NA,NA,NA,NA,NA,120,NA,NA
carex_scoparia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,23.5,NA,3750,37.5,NA,5.75,NA,NA,NA,8,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chelone_glabra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cicuta_maculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,7.12,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
cinna_arundinacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,48.5,NA,15000,39,NA,6.25,NA,NA,NA,16,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
circaea_lutetiana,1.97,7.11,1.08,2.27,NA,NA,1770.62,NA,42.81,16.39,NA,69.45,NA,NA,193.5,NA,NA,NA,NA,NA,5.37,10.51,NA,865.21,NA,14,NA,NA,NA,23706.82,NA,NA,7,NA,NA,NA,NA,0.45,0.31,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.87,NA,NA,2.19,1491.46,NA,NA,NA,3,NA,NA,0.18,NA,NA,NA
clematis_virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,23.5,NA,1950,43.5,NA,5.9,NA,NA,NA,14,NA,32002.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clinopodium_vulgare,0.49,1.3,0.75,1,NA,NA,84.1,NA,458.25,NA,NA,3.45,NA,NA,50.21,0.05,0.12,NA,NA,NA,8,NA,NA,1.64,7.43,NA,NA,NA,NA,27.84,NA,NA,61.67,NA,NA,NA,NA,11.8,25.61,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.93,NA,NA,0.41,86757.31,NA,NA,NA,4,NA,0.56,NA,NA,NA,NA
collinsonia_canadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,3.65,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cryptotaenia_canadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,NA,NA,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cyperus_strigosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,33.5,NA,4125,38,NA,6.7,NA,NA,NA,16,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dichanthelium_clandestinum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,48.5,NA,NA,48.5,NA,5.75,NA,NA,NA,16,NA,350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dioscorea_villosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dryopteris_carthusiana,NA,NA,NA,NA,NA,NA,18468,NA,NA,NA,NA,232.01,NA,NA,266.79,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,26.86,NA,NA,80,NA,NA,NA,NA,0.38,30.19,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
dryopteris_cristata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,0.55,1.08,NA,NA,NA,43.5,2,NA,35,NA,5,NA,NA,NA,12,NA,1863.99,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
echinocystis_lobata,NA,47.5,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,3.5,3.5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,17.3,237.45,NA,NA,2.89,8.15,3,NA,NA,NA,NA,NA,NA
elymus_hystrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elymus_trachycaulus,NA,NA,NA,NA,NA,NA,4.9,NA,41.74,NA,NA,NA,NA,0.53,0.33,NA,NA,NA,NA,1.2,1.39,NA,0.16,0.18,NA,NA,NA,NA,NA,316.67,NA,NA,174.5,NA,0,NA,NA,NA,17.53,NA,0.17,NA,24.75,NA,NA,16.5,NA,7.3,NA,NA,NA,16,NA,45002.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elymus_virginicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404.5,NA,NA,NA,NA,0,NA,NA,NA,2.5,NA,0.15,NA,53.5,NA,NA,45.5,NA,6,NA,NA,NA,16,NA,12504.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
epilobium_ciliatum,NA,NA,NA,NA,NA,NA,722.78,NA,NA,NA,NA,20.83,NA,NA,159.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.48,NA,NA,7.5,NA,NA,NA,NA,NA,0.75,NA,0.29,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1.13,0.36,1929562.67,NA,0.25,0.4,4,NA,NA,NA,NA,NA,NA
equisetum_fluviatile,NA,NA,NA,NA,NA,NA,177.04,NA,45.9,30.94,NA,20.72,NA,NA,253.73,NA,NA,NA,NA,NA,1.48,NA,NA,0.44,NA,NA,NA,NA,NA,12.08,NA,NA,5.5,NA,NA,NA,NA,1,2,NA,NA,NA,33.5,2,3750,42.5,NA,5.25,NA,NA,NA,6,NA,1863.99,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
equisetum_hyemale,NA,NA,NA,NA,NA,NA,1376.03,NA,NA,NA,NA,458.63,NA,NA,153.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.74,NA,2.91,NA,NA,80.33,NA,NA,NA,NA,0.95,0.95,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
equisetum_palustre,NA,NA,NA,NA,NA,NA,65.3,NA,264.54,10.8,NA,14.26,NA,NA,195.46,NA,NA,NA,NA,NA,19.41,NA,NA,0.61,NA,NA,NA,NA,NA,8.98,NA,NA,109.6,NA,NA,NA,NA,26.51,28.7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
equisetum_pratense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,0.33,0.33,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
erigeron_annuus,NA,1,NA,NA,NA,NA,255.3,NA,45.82,33.33,NA,12.07,0.5,11.74,54.61,0.13,NA,NA,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,109.38,NA,NA,7.5,NA,NA,NA,NA,0.86,56.52,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.63,NA,NA,NA,0.04,7071.2,NA,NA,NA,4,3.82,NA,NA,NA,73.45,NA
eupatorium_perfoliatum,NA,NA,NA,NA,70,NA,84.85,NA,46.71,20.14,NA,1.06,3.8,29.51,0.45,1.76,NA,NA,NA,NA,2.15,6.1,NA,2100,NA,NA,NA,NA,NA,184.53,NA,0.21,NA,302.38,NA,7.25,NA,NA,97.69,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1.09,NA,NA,NA,NA,NA,6.31,NA,NA,0.48,47.92,NA
euphorbia_maculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
euthamia_graminifolia,NA,NA,NA,NA,NA,NA,3.11,NA,47.39,NA,NA,0.02,NA,NA,0.35,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.68,NA,NA,NA,NA,NA,NA,NA,NA,71.36,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fragaria_vesca,0.34,6.14,0.61,4.89,NA,NA,1208.15,NA,477,34.49,NA,112.23,NA,NA,508.7,NA,NA,NA,1.42,0.6,7.69,5.11,NA,3600.11,NA,NA,NA,NA,NA,42.19,NA,NA,121.83,NA,NA,NA,NA,0.15,6.55,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,7744.31,NA,NA,NA,4,NA,NA,0.27,NA,NA,NA
galium_aparine,8.34,3.2,2.28,2.63,NA,NA,97.41,NA,NA,NA,NA,5.6,NA,0.62,140,NA,0.18,0.21,NA,NA,2.99,11.16,NA,1140.2,0.64,NA,NA,NA,NA,59.4,NA,NA,8,292,0,2.4,NA,0.87,19.14,NA,0.13,NA,56,5,NA,34.5,NA,6.3,NA,NA,NA,4,NA,21747.78,2992.47,12.7,NA,NA,3,NA,NA,NA,113.33,NA,NA
galium_asprellum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,43.5,NA,NA,40,NA,6,NA,NA,NA,14,NA,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
galium_boreale,0.61,1.95,0.88,0.98,NA,NA,16.58,NA,197.54,NA,NA,3.44,NA,NA,312.27,NA,NA,NA,0.2,1.4,16.09,9.06,NA,1000.71,NA,NA,NA,NA,NA,30.23,NA,NA,161.55,NA,NA,NA,NA,18.36,24.4,NA,NA,NA,26,2,NA,37.5,NA,6.1,NA,NA,NA,6,NA,48384.67,91,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
galium_palustre,0.91,1.7,NA,1.5,NA,NA,9.73,NA,NA,NA,NA,0.21,0.03,28.24,117.1,0,0.09,NA,NA,NA,NA,NA,NA,NA,3.48,NA,NA,NA,NA,129.14,NA,NA,7,NA,0,NA,NA,4.43,27.69,NA,0.18,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA,0.94,249.1,NA,NA,NA,4,0.04,NA,NA,NA,59.52,NA
galium_triflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94,9.53,NA,2166.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
geum_canadense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,7.24,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,53.5,NA,7181,37.5,NA,6,NA,NA,NA,4,NA,80004.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glyceria_striata,0.26,1.27,0.53,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,5.7,NA,NA,NA,32.5,2,5665.5,35,NA,6,NA,NA,NA,4,NA,0.17,NA,22.5,NA,NA,3,NA,NA,NA,NA,NA,NA
helianthus_strumosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
helianthus_tuberosus,NA,NA,NA,NA,NA,NA,19619.5,NA,41.77,13.13,NA,630.14,NA,NA,126.34,NA,NA,NA,NA,NA,3.39,NA,NA,0.38,NA,22.67,NA,NA,NA,18601.2,NA,NA,11,NA,NA,NA,NA,1.75,2.87,NA,NA,NA,28.5,2,7856,35,NA,5.5,NA,NA,NA,6,NA,18918.9,77.9,30.6,NA,NA,2,NA,NA,0.17,NA,NA,NA
hypericum_mutilum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,58.5,NA,5900,42.5,NA,6,NA,NA,NA,8,NA,1863.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hypericum_punctatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,31,NA,5900,43.5,NA,5.6,NA,NA,NA,10,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
impatiens_capensis,NA,NA,NA,NA,NA,NA,26.64,NA,49.01,12.33,NA,1.42,1.39,12.49,0.24,0.68,NA,NA,NA,NA,3.71,8,NA,2600,NA,NA,NA,NA,NA,426.43,NA,0.09,8.5,NA,NA,NA,NA,NA,99.96,NA,NA,NA,63.5,4,NA,32,NA,6.9,NA,0.11,NA,14,NA,116671.37,4,NA,NA,NA,3,7.26,NA,NA,NA,86.11,NA
impatiens_pallida,NA,NA,NA,NA,NA,NA,15.8,NA,NA,NA,0.42,0.02,NA,NA,0.78,NA,NA,NA,NA,NA,1.3,4.81,NA,2700,NA,NA,NA,NA,NA,807.95,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,71,NA,NA,39,NA,7.1,NA,NA,2.31,14,NA,700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
