Site,Quadrat,Species
B1GH,W,Zanthoxylum americanum
B1GH,W,Zanthoxylum americanum
B1GH,W,Zanthoxylum americanum
B1GH,W,Zanthoxylum americanum
B1GH,W,Zanthoxylum americanum
B1GH,W,Zanthoxylum americanum
B1GH,W,Zanthoxylum americanum
B1GL,1,Glyceria borealis
B1GL,1,Lythrum salicaria
B1GL,1,Pilea pumila
B1GL,2,Glechoma hederacea
B1GL,2,Glyceria borealis
B1GL,2,Ludwigia palustris
B1GL,2,Lysimachia nummularia
B1GL,2,Lythrum salicaria
B1GL,2,Myosotis laxa
B1GL,2,Pilea pumila
B1GL,3,Bidens frondosa
B1GL,3,Impatiens capensis
B1GL,3,Lobelia cardinalis
B1GL,3,Onoclea sensibilis
B1GL,3,Pilea pumila
B1GL,4,Brassica nigra
B1GL,4,Glyceria borealis
B1GL,4,Lythrum salicaria
B1GL,4,Myosotis laxa
B1GL,4,Pilea pumila
B1GL,4,Polygonum arifolium
B1GL,4,Polygonum cespitosum
B1GL,4,Viola sp.
B1GL,5,Bidens frondosa
B1GL,5,Glyceria borealis
B1GL,5,Ludwigia palustris
B1GL,5,Lysimachia nummularia
B1GL,5,Pilea pumila
B1GL,6,Bidens frondosa
B1GL,6,Lysimachia nummularia
B1GL,6,Lythrum salicaria
B1GL,6,Myosotis laxa
B1GL,6,Pilea pumila
B1GL,7,Amphicarpaea bracteata
B1GL,7,Glyceria borealis
B1GL,7,Lobelia cardinalis
B1GL,7,Myosotis laxa
B1GL,7,Onoclea sensibilis
B1GL,7,Pilea pumila
B1GL,7,Scirpus polyphyllus
B1GL,8,Impatiens capensis
B1GL,8,Lythrum salicaria
B1GL,8,Onoclea sensibilis
B1GL,8,Pilea pumila
B1GL,8,Scirpus polyphyllus
B1GL,9,Amphicarpaea bracteata
B1GL,9,Impatiens capensis
B1GL,9,Matteuccia struthiopteris
B1GL,9,Onoclea sensibilis
B1GL,10,Clematis virginiana
B1GL,10,Impatiens capensis
B1GL,10,Onoclea sensibilis
B1GL,10,Vitis riparia
B1GL,11,Glyceria borealis
B1GL,11,Impatiens capensis
B1GL,11,Onoclea sensibilis
B1GL,11,Pilea pumila
B1GL,11,Vitis riparia
B1GL,12,Glyceria borealis
B1GL,12,Impatiens capensis
B1GL,12,Lysimachia nummularia
B1GL,12,Myosotis laxa
B1GL,12,Pilea pumila
B1GL,12,Polygonum cespitosum
B1GL,13,Bidens frondosa
B1GL,13,Galium asprellum
B1GL,13,Glyceria borealis
B1GL,13,Impatiens capensis
B1GL,13,Ludwigia palustris
B1GL,13,Lythrum salicaria
B1GL,13,Myosotis laxa
B1GL,14,Bidens frondosa
B1GL,14,Galium asprellum
B1GL,14,Glyceria borealis
B1GL,14,Impatiens capensis
B1GL,14,Ludwigia palustris
B1GL,14,Lythrum salicaria
B1GL,14,Pilea pumila
B1GL,14,Scirpus polyphyllus
B1GL,15,Alisma subcordatum
B1GL,15,Impatiens capensis
B1GL,15,Lythrum salicaria
B1GL,15,Myosoton aquaticum
B1GL,15,Pilea pumila
B1GL,15,Scirpus polyphyllus
B1GL,15,SP06
B1GL,16,Bidens frondosa
B1GL,16,Glyceria borealis
B1GL,16,Impatiens capensis
B1GL,16,Ludwigia palustris
B1GL,16,Lythrum salicaria
B1GL,16,Pilea pumila
B1GL,16,Polygonum arifolium
B1GL,16,SP06
B1GL,17,Alisma subcordatum
B1GL,17,Glyceria borealis
B1GL,17,Lysimachia nummularia
B1GL,17,Myosotis laxa
B1GL,17,Pilea pumila
B1GL,17,SP06
B1GL,17,Stellaria pubera
B1GL,18,Bidens frondosa
B1GL,18,Galium asprellum
B1GL,18,Glyceria borealis
B1GL,18,Lysimachia nummularia
B1GL,18,Myosotis laxa
B1GL,18,Pilea pumila
B1GL,18,Polygonum persicaria
B1GL,18,SP06
B1GL,19,Glyceria borealis
B1GL,19,Ludwigia palustris
B1GL,19,Pilea pumila
B1GL,20,Bidens frondosa
B1GL,20,Decodon verticillatus
B1GL,20,Impatiens capensis
B1GL,20,Lobelia cardinalis
B1GL,20,Lythrum salicaria
B1GL,20,Onoclea sensibilis
B1GL,20,Pilea pumila
B1GL,W,Carpinus caroliniana
B1GL,W,Carpinus caroliniana
B1GL,W,Carpinus caroliniana
B1GL,W,Carpinus caroliniana
B1GL,W,Cornus sericea
B1GL,W,Cornus sericea
B1GL,W,Cornus sericea
B1GL,W,Cornus sericea
B1GL,W,Cornus sericea
B1GL,W,Cornus sericea
B1GL,W,Fraxinus americana
B1GL,W,Fraxinus americana
B1UL,1,SP20
B1UL,2,Eurybia divaricata
B1UL,2,Solidago canadensis
B1UL,8,Eurybia divaricata
B1UL,10,Eurybia divaricata
B1UL,10,Maianthemum racemosum ssp. racemosum
B1UL,12,Maianthemum racemosum ssp. racemosum
B1UL,14,Amphicarpaea bracteata
B1UL,15,Eurybia divaricata
B1UL,16,Eurybia divaricata
B1UL,17,Caulophyllum thalictroides
B1UL,19,Eurybia divaricata
B1UL,W,Acer saccharum
B1UL,W,Acer saccharum
B1UL,W,Acer saccharum
B1UL,W,Acer saccharum
B1UL,W,Acer saccharum
B1UL,W,Acer saccharum
B1UL,W,Acer saccharum
B1UL,W,Acer saccharum
B1UL,W,Acer saccharum
B1UL,W,Acer saccharum
B1UL,W,Acer saccharum
B1UL,W,Acer saccharum
B1UL,W,Carya ovata
B1UL,W,Carya ovata
B1UL,W,Carya ovata
B1UL,W,Fagus grandifolia
B1UL,W,Fagus grandifolia
B1UL,W,Fraxinus americana
B1UL,W,Hamamelis virginiana
B1UL,W,Hamamelis virginiana
B1UL,W,Quercus alba
B1UL,W,Quercus rubra
B1UL,W,Quercus rubra
B1UL,W,Quercus rubra
B1UL,W,Quercus rubra
B1UL,W,Quercus rubra
B1UL,W,Tilia americana
B1UL,W,Tilia americana
B1UL,W,Tilia americana
B1UL,W,Tilia americana
B1UL,W,Tilia americana
B1UL,W,Ulmus rubra
B1UL,W,Ulmus rubra
B1UL,W,Ulmus rubra
B1UL,W,Ulmus rubra
B1UL,W,Ulmus rubra
B1UL,W,Ulmus rubra
B1UL,W,Ulmus rubra
B1UL,W,Ulmus rubra
B1UL,W,Ulmus rubra
B1UL,W,Ulmus rubra
B1UL,W,Ulmus rubra
B2GH,1,Eurybia divaricata
B2GH,2,Solidago flexicaulis
B2GH,6,Dryopteris marginalis
B2GH,8,Eurybia divaricata
B2GH,8,Maianthemum racemosum ssp. racemosum
B2GH,9,Eurybia divaricata
B2GH,10,Dryopteris marginalis
B2GH,10,Eurybia divaricata
B2GH,11,Eurybia divaricata
B2GH,12,Eurybia divaricata
B2GH,14,Toxicodendron radicans
B2GH,15,Amphicarpaea bracteata
B2GH,15,Parthenocissus quinquefolia
B2GH,20,Glyceria borealis
B2GH,20,SP86
B2GH,W,Acer saccharum
B2GH,W,Acer saccharum
B2GH,W,Acer saccharum
B2GH,W,Amelanchier arborea
B2GH,W,Amelanchier arborea
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carpinus caroliniana
B2GH,W,Carya ovata
B2GH,W,Carya ovata
B2GH,W,Carya ovata
B2GH,W,Carya ovata
B2GH,W,Carya ovata
B2GH,W,Carya ovata
B2GH,W,Carya ovata
B2GH,W,Carya ovata
B2GH,W,Carya ovata
B2GH,W,Carya ovata
B2GH,W,Crataegus sp.
B2GH,W,Fraxinus americana
B2GH,W,Fraxinus americana
B2GH,W,Fraxinus americana
B2GH,W,Fraxinus americana
B2GH,W,Fraxinus americana
B2GH,W,Fraxinus americana
B2GH,W,Fraxinus americana
B2GH,W,Fraxinus americana
B2GH,W,Fraxinus americana
B2GH,W,Fraxinus nigra
B2GH,W,Fraxinus nigra
B2GH,W,Fraxinus nigra
B2GH,W,Fraxinus nigra
B2GH,W,Fraxinus nigra
B2GH,W,Ostrya virginiana
B2GH,W,Ostrya virginiana
B2GH,W,Prunus virginiana
B2GH,W,Prunus virginiana
B2GH,W,Prunus virginiana
B2GH,W,Quercus alba
B2GH,W,Quercus rubra
B2GH,W,Quercus rubra
B2GH,W,Quercus rubra
B2GH,W,Quercus rubra
B2GH,W,Quercus rubra
B2GH,W,Quercus rubra
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GH,W,Viburnum acerifolium
B2GL,1,Lythrum salicaria
B2GL,2,Bidens connata
B2GL,2,Galium palustre
B2GL,2,Glyceria borealis
B2GL,2,Polygonum persicaria
B2GL,2,SP80
B2GL,3,Elymus virginicus
B2GL,3,Lysimachia nummularia
B2GL,3,Lythrum salicaria
B2GL,4,Elymus virginicus
B2GL,4,Ludwigia palustris
B2GL,4,Lythrum salicaria
B2GL,4,Pilea pumila
B2GL,4,Polygonum persicaria
B2GL,5,Agrostis perennans
B2GL,5,Agrostis scabra
B2GL,5,Fragaria vesca
B2GL,5,Glyceria borealis
B2GL,5,Lysimachia nummularia
B2GL,5,Lythrum salicaria
B2GL,5,SP80
B2GL,5,Symphyotrichum dumosum
B2GL,5,Vitis riparia
B2GL,6,Agrostis perennans
B2GL,6,Agrostis scabra
B2GL,6,Elymus virginicus
B2GL,6,Fragaria vesca
B2GL,6,Galium palustre
B2GL,6,Glyceria borealis
B2GL,6,Lythrum salicaria
B2GL,6,Pilea pumila
B2GL,6,Polygonum persicaria
B2GL,6,SP86
B2GL,6,Symphyotrichum dumosum
B2GL,7,Elymus virginicus
B2GL,7,Galium palustre
B2GL,7,Glyceria borealis
B2GL,7,Ludwigia palustris
B2GL,7,Lysimachia ciliata
B2GL,7,Lysimachia nummularia
B2GL,7,Lythrum salicaria
B2GL,7,Paspalum setaceum
B2GL,7,Pilea pumila
B2GL,8,Bidens connata
B2GL,8,Elymus virginicus
B2GL,8,Galium palustre
B2GL,8,Glyceria borealis
B2GL,8,Lysimachia nummularia
B2GL,8,Symphyotrichum dumosum
B2GL,9,Bidens connata
B2GL,10,Impatiens capensis
B2GL,11,Galium palustre
B2GL,11,Glyceria borealis
B2GL,11,Ludwigia palustris
B2GL,11,Lysimachia nummularia
B2GL,11,Lythrum salicaria
B2GL,11,Paspalum setaceum
B2GL,12,Carex bullata
B2GL,12,Glyceria borealis
B2GL,12,Lysimachia nummularia
B2GL,12,Muhlenbergia sobolifera
B2GL,12,Onoclea sensibilis
B2GL,12,Pilea pumila
B2GL,12,Polygonum persicaria
B2GL,13,Glyceria borealis
B2GL,13,Onoclea sensibilis
B2GL,14,Amphicarpaea bracteata
B2GL,14,Boehmeria cylindrica
B2GL,14,Chelone glabra
B2GL,14,Fragaria vesca
B2GL,14,Galium palustre
B2GL,14,Glyceria borealis
B2GL,14,Impatiens capensis
B2GL,14,Onoclea sensibilis
B2GL,14,Peltandra virginica
B2GL,14,Symphyotrichum dumosum
B2GL,15,Apios americana
B2GL,15,Equisetum sp.
B2GL,15,Galium triflorum
B2GL,15,Glyceria borealis
B2GL,15,Onoclea sensibilis
B2GL,15,Parthenocissus quinquefolia
B2GL,15,Symphyotrichum dumosum
B2GL,15,Viola sp.
B2GL,16,Boehmeria cylindrica
B2GL,16,Elymus virginicus
B2GL,16,Galium aparine
B2GL,16,Lysimachia nummularia
B2GL,16,Onoclea sensibilis
B2GL,16,Parthenocissus quinquefolia
B2GL,16,Paspalum setaceum
B2GL,17,Glyceria borealis
B2GL,17,Lythrum salicaria
B2GL,17,Onoclea sensibilis
B2GL,17,Pilea pumila
B2GL,17,Polygonum persicaria
B2GL,18,Clematis virginiana
B2GL,18,Onoclea sensibilis
B2GL,18,Parthenocissus quinquefolia
B2GL,18,Paspalum setaceum
B2GL,18,Symphyotrichum lateriflorum
B2GL,18,Thalictrum sp.
B2GL,19,Glechoma hederacea
B2GL,19,Ludwigia palustris
B2GL,19,Lysimachia nummularia
B2GL,19,Onoclea sensibilis
B2GL,19,Paspalum setaceum
B2GL,19,Thalictrum sp.
B2GL,20,Ludwigia palustris
B2GL,20,Lysimachia nummularia
B2GL,20,Onoclea sensibilis
B2GL,20,Paspalum setaceum
B2GL,W,Carpinus caroliniana
B2GL,W,Carpinus caroliniana
B2GL,W,Carya ovata
B2GL,W,Carya ovata
B2GL,W,Carya ovata
B2GL,W,Carya ovata
B2GL,W,Carya ovata
B2GL,W,Carya ovata
B2GL,W,Cornus obliqua
B2GL,W,Cornus rugosa
B2GL,W,Cornus sericea
B2GL,W,Cornus sericea
B2GL,W,Cornus sericea
B2GL,W,Cornus sericea
B2GL,W,Cornus sericea
B2GL,W,Cornus sericea
B2GL,W,Cornus sericea
B2GL,W,Ribes rubrum
B2GL,W,Tilia americana
B2GL,W,Ulmus rubra
B2GL,W,Ulmus rubra
B2GL,W,Ulmus rubra
B2GL,W,Ulmus rubra
B2UH,2,Dryopteris carthusiana
B2UH,2,Maianthemum racemosum ssp. racemosum
B2UH,7,Eurybia divaricata
B2UH,11,Eurybia divaricata
B2UH,14,Eurybia divaricata
B2UH,15,Eurybia divaricata
B2UH,15,Maianthemum racemosum ssp. racemosum
B2UH,18,Agrostis scabra
B2UH,W,Acer saccharum
B2UH,W,Acer saccharum
B2UH,W,Acer saccharum
B2UH,W,Acer saccharum
B2UH,W,Acer saccharum
B2UH,W,Acer saccharum
B2UH,W,Acer saccharum
B2UH,W,Acer saccharum
B2UH,W,Acer saccharum
B2UH,W,Amelanchier arborea
B2UH,W,Carpinus caroliniana
B2UH,W,Carpinus caroliniana
B2UH,W,Carya ovata
B2UH,W,Carya ovata
B2UH,W,Fraxinus americana
B2UH,W,Fraxinus americana
B2UH,W,Fraxinus americana
B2UH,W,Fraxinus nigra
B2UH,W,Hamamelis virginiana
B2UH,W,Ostrya virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Prunus virginiana
B2UH,W,Quercus alba
B2UH,W,Quercus alba
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UH,W,Viburnum acerifolium
B2UL,11,Symphyotrichum dumosum
B2UL,12,Amphicarpaea bracteata
B2UL,12,Fragaria vesca
B2UL,12,Lysimachia nummularia
B2UL,13,Hylotelephium telephium
B2UL,13,Lysimachia nummularia
B2UL,13,Thalictrum sp.
B2UL,13,Viola sp.
B2UL,16,Hylotelephium telephium
B2UL,16,Lysimachia nummularia
B2UL,16,Parthenocissus quinquefolia
B2UL,17,Amphicarpaea bracteata
B2UL,17,Clematis virginiana
B2UL,17,Lysimachia nummularia
B2UL,17,Parthenocissus quinquefolia
B2UL,17,Solidago altissima
B2UL,17,Symphyotrichum dumosum
B2UL,18,Clematis virginiana
B2UL,18,Glyceria borealis
B2UL,18,Parthenocissus quinquefolia
B2UL,18,Pilea pumila
B2UL,18,Symphyotrichum dumosum
B2UL,18,Thalictrum sp.
B2UL,19,Amphicarpaea bracteata
B2UL,19,Parthenocissus quinquefolia
B2UL,19,Pilea pumila
B2UL,19,Smilax glauca
B2UL,19,Thalictrum sp.
B2UL,19,Viola sp.
B2UL,20,Epilobium hirsutum
B2UL,20,Parthenocissus quinquefolia
B2UL,W,Acer saccharum
B2UL,W,Acer saccharum
B2UL,W,Acer saccharum
B2UL,W,Acer saccharum
B2UL,W,Acer saccharum
B2UL,W,Acer saccharum
B2UL,W,Acer saccharum
B2UL,W,Acer saccharum
B2UL,W,Acer saccharum
B2UL,W,Acer saccharum
B2UL,W,Acer saccharum
B2UL,W,Betula alleghaniensis
B2UL,W,Betula alleghaniensis
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carpinus caroliniana
B2UL,W,Carya cordiformis
B2UL,W,Carya ovata
B2UL,W,Carya ovata
B2UL,W,Cornus obliqua
B2UL,W,Cornus sericea
B2UL,W,Cornus sericea
B2UL,W,Fraxinus americana
B2UL,W,Fraxinus americana
B2UL,W,Fraxinus americana
B2UL,W,Fraxinus americana
B2UL,W,Fraxinus americana
B2UL,W,Fraxinus americana
B2UL,W,Fraxinus americana
B2UL,W,Fraxinus americana
B2UL,W,Fraxinus americana
B2UL,W,Fraxinus nigra
B2UL,W,Fraxinus nigra
B2UL,W,Fraxinus nigra
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Prunus virginiana
B2UL,W,Quercus alba
B2UL,W,Quercus alba
B2UL,W,Quercus alba
B2UL,W,Quercus macrocarpa
B2UL,W,Quercus macrocarpa
B2UL,W,Quercus macrocarpa
B2UL,W,Quercus macrocarpa
B2UL,W,Quercus macrocarpa
B2UL,W,Quercus macrocarpa
B2UL,W,Quercus rubra
B2UL,W,Quercus rubra
B2UL,W,Quercus rubra
B2UL,W,Quercus rubra
B2UL,W,Quercus rubra
B2UL,W,Quercus rubra
B2UL,W,Quercus rubra
B2UL,W,Quercus rubra
B2UL,W,Rhamnus alnifolia
B2UL,W,Rhamnus alnifolia
B2UL,W,Rhamnus alnifolia
B2UL,W,Rhamnus alnifolia
B2UL,W,Ribes rubrum
B2UL,W,Ribes rubrum
B2UL,W,Tilia americana
B2UL,W,Tilia americana
B2UL,W,Ulmus rubra
B2UL,W,Ulmus rubra
B2UL,W,Viburnum lentago
BIUH,1,Eurybia divaricata
BIUH,1,Parthenocissus quinquefolia
BIUH,2,Dryopteris camyloptera
BIUH,2,Parthenocissus quinquefolia
BIUH,2,Rubus allegheniensis
BIUH,3,Asarum canadense
BIUH,3,Parthenocissus quinquefolia
BIUH,3,Rubus allegheniensis
BIUH,4,Asarum canadense
BIUH,4,Parthenocissus quinquefolia
BIUH,4,Rubus allegheniensis
BIUH,5,Eurybia divaricata
BIUH,5,Parthenocissus quinquefolia
BIUH,5,Petasites frigidus
BIUH,5,Rubus allegheniensis
BIUH,5,Rubus odoratus
BIUH,6,Rubus allegheniensis
BIUH,7,Eurybia divaricata
BIUH,8,Asarum canadense
BIUH,8,Carex sp.
BIUH,8,Maianthemum racemosum ssp. racemosum
BIUH,8,Rubus allegheniensis
BIUH,9,Asarum canadense
BIUH,9,Eurybia divaricata
BIUH,9,Maianthemum racemosum ssp. racemosum
BIUH,11,Dryopteris camyloptera
BIUH,12,Maianthemum racemosum ssp. racemosum
BIUH,12,Parthenocissus quinquefolia
BIUH,13,Eurybia divaricata
BIUH,15,Eurybia divaricata
BIUH,16,Rhamnus cathartica
BIUH,17,Rhamnus cathartica
BIUH,18,Hieracium paniculatum
BIUH,18,Pilea pumila
BIUH,20,Dryopteris camyloptera
BIUH,20,Eurybia divaricata
BIUH,W,Acer saccharum
BIUH,W,Acer saccharum
BIUH,W,Acer saccharum
BIUH,W,Acer saccharum
BIUH,W,Acer saccharum
BIUH,W,Betula lenta
BIUH,W,Carya cordiformis
BIUH,W,Fraxinus americana
BIUH,W,Fraxinus americana
BIUH,W,Fraxinus americana
BIUH,W,Fraxinus americana
BIUH,W,Quercus rubra
BIUH,W,Quercus rubra
BIUH,W,Rhamnus cathartica
BIUH,W,Tilia americana
BIUH,W,Tilia americana
BIUH,W,Ulmus rubra
I1GH,1,Amphicarpaea bracteata
I1GH,1,Bidens frondosa
I1GH,1,Eupatorium purpureum
I1GH,1,Glyceria borealis
I1GH,1,Lysimachia nummularia
I1GH,1,Onoclea sensibilis
