,Dispersal.unit.dry.mass,Dispersal.unit.length,Dispersal.unit.thickness,Dispersal.unit.width,Germination.efficiency,Germination.requirement,Leaf.area,Leaf.carbon..C..content.per.area,Leaf.carbon..C..content.per.dry.mass,Leaf.carbon.nitrogen..C.N..ratio,Leaf.density,Leaf.dry.mass,Leaf.dry.mass.per.plant,Leaf.dry.mass.per.plant.dry.mass..leaf.weight.ratio..LWR.,Leaf.dry.matter.content..LDMC.,Leaf.fresh.mass,Leaf.lamina.thickness,Leaf.lifespan,Leaf.nitrogen..N..content,Leaf.nitrogen..N..content.per.area,Leaf.nitrogen..N..content.per.dry.mass,Leaf.nitrogen.phosphorus..N.P..ratio,Leaf.phosphorus..P..content.per.area,Leaf.phosphorus..P..content.per.dry.mass,Leaf.physical.strength,Leaf.porosity,Leaf.potassium..K..content.per.area,Leaf.potassium..K..content.per.dry.mass,Leaf.respiration.per.dry.mass,Leaf.specific.area..SLA.,Leaf.texture..sclerophylly.,Leaf.thickness,Phenology..reproductive,Photosynthesis.leaf.intercellular.CO2.concentration,Photosynthesis.net.assimilytion.rate..NAR.,Photosynthesis.per.leaf.area,Photosynthesis.per.leaf.dry.mass,Plant.height.generative,Plant.height.vegetative,Plant.lifespan,Plant.relative.growth.rate..RGR.,Plant.tolerance.to.drought,Plant.tolerance.to.frost,Plant.tolerance.to.human.impact,Plant.tolerance.to.planting.density,Plant.tolerance.to.precipitation,Plant.tolerance.to.shade,Plant.tolerance.to.soil.pH,Plant.tolerance.to.waterlogging,Reproductive.dry.mass.per.plant,Root.nitrogen..N..content.per.dry.mass,Rooting.depth,Seed.length,Seed.mass,Seed.number.per.reproducton.unit,Seed.protein.content.per.mass,Seed.thickness,Seed.width,Species.distribution..number.of.floristic.zones,Stem.dry.mass.per.plant,Stem.nitrogen..N..content.per.dry.mass,Stem.specific.density..SSD.,Stomata.conductance.per.leaf.area,Wood.dry.mass.per.plant.dry.mass,Woodiness
Cobleskill Creek,1.356666667,6.85,2.3725,2.83,NA,1,1542.026667,21.8,44.49833333,18.48,0.35,148.2544444,1.7,10.36333333,139.05125,0.48,0.15,5,18.02,71.5225,4.105714286,9.25,0.17,1185.57,3.84,15,0.84,1.19,10.1,1183.16,0.235,115.765,7.75,285.686,0,9.24,100.82,0.805,32.88090909,NA,0.215,1.57,44.21428571,3.25,2880,38.67857143,1.76,6.182857143,3.03,1.11,NA,13.71428571,0.55,23364.77667,156726.7467,30.1125,NA,0.4,4,5.74,0.07,0.28,199.102,72.105,1
Daly Creek,0.8625,3.2125,0.6725,1.625,73,1,19676.66417,36.34,105.4942857,20.505,0.405,1856.703,0.993333333,9.086666667,118.276,111.622,95.445,3.725,9.55,12.654,7.846363636,10.03285714,0.1,1852.568571,3.3,14,0.42,5.45,6.48,1858.693571,0.14,83.434,32.7125,271.2533333,0,6.626666667,97.9,5.044285714,24.92473684,225,0.115,2.675,40.78411765,2.25,4301.3475,41.69588235,2.9375,6.018235294,2.0425,0.33,3.683333333,14.55882353,NA,173858.7829,457432.4367,19.855,NA,NA,3.5,4.27,0.45,172.36,99.125,74.84,1
Evas Kill,1.434,4.286,0.8825,1.618,70,1,585.6784615,30.06,104.0342857,21.405,0.37,145.9716667,3.8,5.408333333,78.771,0.84,121.7566667,19.005,11.3325,13.44333333,4.060666667,9.244285714,0.1225,1349.5225,3.3,18,0.6075,0.945,7.265,2245.411429,0.2925,132.95,25.81428571,228.7928571,0,7.592857143,70.43666667,5.08875,25.57157895,437.5,0.204285714,1.932,45.66666667,2.714285714,3635.5,41.11666667,3.62,6.172,2.036,3,3.251666667,19.6,1.13,35156.73778,326698.9183,20.40428571,0.25,0.4,3.333333333,6.31,1.09,101.5157143,171.9028571,47.92,1
Fawn Lake,3.036666667,2.746666667,1.063333333,1.346666667,70,1,186.1661538,34.83666667,45.72625,22.0075,0.45,76.60846154,1.498,11.73375,49.59230769,0.828333333,121.77,4.2325,13.38666667,15.596,3.937857143,10.015,0.13,1642.6075,0.64,13,0.44,0.7325,13.285,398.2535714,0.26,86.37333333,8.1,252.7333333,0,8.124285714,72.72,1.025,35.748,283.3333333,0.15,2.294,42.85294118,3.8,2679.25,41.08823529,3.366,6.223529412,2.352,0.802,11.13,17.05882353,NA,24727.62619,183986.544,21.55,NA,NA,3.4,4.526,7.686666667,142.096,137.2416667,71.016,1
Fishkill Creek,NA,NA,NA,NA,NA,1,42.892,34.7425,46.38,19.01,0.388,216.485,0.745,21.28,0.403333333,0.395,NA,5.35,15.465,1.61,6.296666667,9.323333333,0.1775,1769.783333,NA,NA,0.745,1.1925,10.03333333,159.6777778,0.26,105.9971429,8.5,135.335,0,12.545,63.2,16.75,49.97444444,176.11,NA,2.542,39.67857143,4,2236.666667,40.25,3.022,6.037142857,2.396,0.075,NA,28.71428571,NA,16271.46091,21763.31667,20.4,NA,NA,3,3.71,0.07,0.51,480.4,71.92,1
Four Mile Brook,2.032,3.016,0.9,2.35,73,1,438.86,NA,187.6733333,25.665,NA,45.73555556,1.11,6.49,152.649,139.325,0.306666667,3.55,3.6,10.78166667,8.281,12.42285714,0.083333333,1215.7325,4.16,NA,0.653333333,0.966666667,NA,101.718,0.41,72.645,59.43285714,288.6666667,0,7.45,133.1525,4.701428571,21.14529412,52.5,0.16,1.87,44.02538462,2.714285714,4563.617,40.17923077,1.485,6.079230769,3.82,0.61,0.59,13.88461538,1.063333333,112522.8319,205137.055,16.82166667,0.26,0.345,3.428571429,3.36,0.51,64.05,128.7766667,63.66,1
Green River,0.06,1.18,0.35,0.35,NA,1,41.475,44.45,44.755,24.865,0.403333333,0.19,3.065,27.175,0.61,0.695,NA,NA,NA,1.406666667,5.4,9.685,0.126666667,2041.615,NA,NA,0.693333333,1.213333333,9.69,80.26,0.316666667,88.29666667,9,NA,0,NA,NA,1.5,57.35333333,151.6666667,0.18,2.55,41.25,3,2290,40.9,2.876666667,6.236,2.556666667,1.355,NA,25.4,NA,133661.9175,8499.43,25.1,NA,NA,4,5.305,NA,0.46,NA,57.15,1
Hans Creek,0.52,4.465,1.955,3.75,73,1,3966.150769,32.362,187.8116667,25.80428571,0.42875,237.7308333,2.346666667,14.64375,94.28727273,522.352,95.445,15.834,7.605,5.656923077,6.414,11.67916667,0.1225,1648.124167,3.3,NA,0.56125,1.838888889,9.923333333,131.9873684,0.298333333,91.97857143,46.83833333,267.2483333,0,8.057777778,84.96444444,6.12,31.0285,335.7142857,0.128333333,2.548,38.40533333,2,1438.3475,42.58866667,3.054,5.957333333,1.78,0.325,9.696666667,26.7,2.12,178289.5692,26545.67333,22.186,0.29,0.42,3.5,2.513333333,6.726666667,69.34,156.55,53.86666667,1
Hudson River,0.61,2.235,0.54,1.74,90,1,1321.674286,31.6,186.9733333,27.34,0.43,195.2733333,NA,0.605,106.082,278.03,87.26,10.906,5.9525,16.28833333,8.732222222,10.61875,0.1,1559.86,3.3,NA,0.49,0.616666667,8.695,77.69,0.24,79.306,49.4,192.214,0,8.903333333,87.23833333,12.288,19.91181818,225,0.1275,2.225,41.783,2,2268.95875,38.883,2.6125,6.248,2.3325,NA,7.693333333,19.45,2.12,187121.8942,6692.71,22.37666667,0.29,0.42,3.333333333,NA,3.033333333,304.7425,137.68,NA,1
Indian Brook,6.383333333,5.013333333,1.66,2.47,NA,1,752.139,36.34,44.90833333,21.44,0.46,43.837,1.62,18.93333333,42.93333333,0.513333333,190.75,5.05,8,1.81,4.364,9.632857143,0.09,1640.934286,NA,14,0.49,0.95,11.285,2130.959167,0.115,50.764,7.8,183.165,0,11.3175,204.7466667,0.8475,31.69647059,275,0.125,2.786666667,46,2.8,2870.625,42.1875,3.16,6.129166667,1.72,0.626,5.23,16.66666667,5.5,44151.02389,15120.79,24.325,1.63,3.25,3,4.044,0.39,144.8066667,165.25,66.578,1
Indian Kill,4.664,4.558571429,1.261666667,2.05,NA,1,4019.454,39.2675,91.19222222,19.52857143,0.405,286.7938462,2.776666667,16.38166667,73.00181818,411.406,87.26,6.306666667,10.1225,9.401111111,7.195,9.495,0.15,1513.708333,3.3,18,0.556,2.405,15.1025,1663.766316,0.25,86.55111111,20.87,240.565,0,9.755714286,143.1916667,2.84375,27.5775,183.3333333,0.186666667,2.657142857,44.05263158,2.3,2966.75,40.84210526,3.304285714,6.335789474,2.154285714,0.36,7,17.31578947,NA,121167.4726,4428.418571,22.74555556,NA,NA,3.1,4.88,1.95,34.80375,199.785,63.32666667,1
Jassup River,0.97,3.956666667,0.71,3.546666667,81,1,299.8485714,22.2,97.795,22.92333333,0.345,27.29833333,1.21,22.738,97.35714286,112.054,0.09,3.985,5.78,1.696666667,8.145,13.7475,0.1,1588.41,3.48,NA,0.675,4.046666667,NA,114.494,0.136666667,38.065,36.5425,290.36,0,14.46333333,221.235,6.9575,34.82888889,125,0.172,2.67,39.44333333,2.25,3322.778333,39.72166667,2.533333333,6.28,2.396666667,0.305,NA,18.75,4.66,364710.3136,7206.67,11.8,0.29,1.81,3.5,1.68,NA,127.895,0.3,54.42333333,1
Kayaderosseras Creek,5.3325,11.95142857,9.572,7.79,77,1,1277.370909,30.85,112.9216667,20.286,0.386666667,215.9655556,3.605,8.76,90.06,0.993333333,87.26,3.973333333,15.975,34.73375,10.73454545,9.858333333,0.116666667,958.0766667,3.3,16,0.606666667,0.923333333,14.25666667,776.6185714,0.34,94.6,26.52857143,245.52625,0,11.50777778,151.995,6.46,24.73352941,111.11,0.205,2.015,40.72727273,2.714285714,3390.857143,40.75,2.535,6.093636364,3.54,1.755,7.84,20,12.325,58887.64316,13538.20571,25.52571429,1.765,6.17,3.285714286,6.215,1.323333333,46.16333333,216.705,55.89,1
Kennyetto Creek,14.22333333,10.445,2.926666667,5.695,NA,1,211.1522222,55.55,46.31,19.43,0.48,17.84428571,0.57,17.74,54.28,111.592,0.09,1.95,5.78,1.318333333,6.04875,12.29833333,0.1075,1647.944286,3.48,10,0.555,1.01,7.7,184.8433333,0.274,85.3675,5.2,NA,0,7.67,169.66,7.9825,36.13153846,101.25,0.1625,2.501666667,45.06444444,2,1059.952857,39.42555556,2.645,6.46,2.48,0.305,16.7,24.38888889,NA,78117.41467,249.1,23.86,NA,NA,3.6,1.7,NA,72.974,NA,61.59,1
Keyser Kill,3.408333333,3.264285714,1.308,2.606666667,73,1,773.5646667,29.07,122.0275,24.0775,0.366666667,80.696,1.295,13.613,79.19733333,0.89,63.68,5.25,15.67,27.24,6.666153846,10.08,0.135,1592.628889,3.57,13,0.63,4.03,8.29,357.021875,0.17,86.10333333,32.437,261.2116667,0,11.3275,166.485,2.278,32.14,400,0.171666667,2.715,40.77357143,2.6,2954.15,40.125,2.92,6.177142857,2.155,0.454,5.09,14,1.125,142828.3862,22792.773,15.64,1.16,0.825,3.7,3.613333333,0.323333333,144.7766667,175.3566667,66.07833333,1
Kinderhook Creek,0.79,1.49,0.73,1.265,NA,1,4295.44625,43.77,127.226,27.41,0.4,472.4757143,0.435,15.95,54.48454545,0.363333333,63.66,6.23,10.5825,1.23625,7.778571429,10.902,0.131666667,1477.756,3.39,NA,0.568333333,2.261428571,8.135,140.3675,0.231428571,79.08875,48.74,235.2575,0,9.185,101.878,6.3,33.3725,226.25,0.13,2.29,38.4,2,2420.708333,44.26666667,3.262857143,6.082,2.392857143,0.32,5.09,21.13333333,NA,42884.14481,322565.2433,17.53285714,NA,NA,4.2,1.845,0.45,89.49571429,138.18,63.59,1
Landsman Kill,15.635,9.788,2.31,5.225,NA,1,937.6772727,45.15,46.464,18.976,0.665,120.946,0.505,13.92333333,60,0.196,0.09,5,9.335,15.898,3.812,9.467142857,0.06,1678.78125,3.48,16,0.39,1.06,6.06,750.3375,0.23,49.658,7.416666667,245.3566667,0,9.5375,179.8833333,8.30625,32.00928571,183.3333333,0.21,2.553333333,49.625,2.666666667,2386.2,40.875,2.753333333,6.25625,2.43,0.195,16.7,20.25,NA,21812.15529,15836.36667,28.15,NA,NA,3.166666667,2.82,NA,203.0225,94.03333333,69.2025,1
Lansing Kill,0.665,5.126666667,2.893333333,4.466666667,NA,1,1771.690833,30.235,154.165,25.1,0.382857143,93.348,1.39,4.586666667,135.8775,0.68,208.31,5.27,7.743333333,1.153333333,5.42,10.49916667,0.122857143,1941.999167,NA,NA,0.452857143,1.45,11.904,159.4123077,0.275714286,108.4775,44.466,230.1766667,0,10.598,87.484,4.206,37.830625,222.5,0.105,2.6025,40.48214286,2.4,2219.230769,40.16071429,3.33625,6.130714286,1.545,0.11,14.655,21.78571429,NA,32014.745,1958.815,20.4,NA,NA,4.5,7.26,6.78,68.66222222,203.1733333,86.11,1
Mill Brook,0.29,1.716666667,0.41,1.183333333,70,1,246.8425,NA,47.6725,22.2575,0.57,47.47571429,2.5075,22.87,35.00666667,111.854,NA,3.985,5.78,1.535,4.45125,9.216666667,0.09,2038.813333,NA,NA,0.58,0.72,NA,166.632,NA,0.136,6.5,302.38,0,9.605,147.25,4.4375,22.418,50,0.156,2.225,40.59,2.25,5033.45875,39.9025,2.245,6.056666667,2.54,1.4375,NA,12.54166667,2.12,462285.5012,36849.715,20.15,0.29,0.42,3.5,4.27,NA,127.85,45.24,54.9875,1
Mill Creek,0.376,3.385,1.45,2.683333333,NA,1,10919.47364,26.785,152.425,24.40714286,0.413333333,905.254,3.986666667,19.29333333,146.9788889,522.372,87.26,7.958,6.756,1.498888889,6.128461538,10.95909091,0.0975,1578.877273,3.3,NA,0.575,2.955,6.4325,75.72066667,0.265,62.85666667,38.803,210.6466667,0,8.738,96.776,6.5625,27.81947368,195.8325,0.098,1.996,33.172,2.111111111,2812.7225,40.28866667,3.176,6.030666667,2.036,1.355,4.505,16.56666667,3.156666667,308932.2125,469757.2375,24.87571429,0.29,0.42,3.4,4.876666667,3.4225,141.274,170.8166667,51.50333333,1
Minots Corner Road,10.54,9.64,1.928,5.3,NA,1,3706.187143,42.1675,100.445,22.83571429,0.506666667,238.9125,2.346666667,23.1,113.364,652.9275,NA,22.55,6.462,1.267272727,5.628,10.08153846,0.147142857,1998.930769,NA,10,0.53,2.035,6.96,200.0025,0.292857143,71.16666667,25.055,143.085,0,7.4775,87.1625,6.977777778,30.95235294,330,0.14,2.543333333,35.61083333,2.2,2051.742727,38.06916667,3.316666667,6.1075,1.721111111,0.325,11.935,25.125,NA,19716.68789,243118.815,28.28,NA,NA,3.5,2.513333333,0.39,40.78555556,253.4,53.86666667,1
Mohawk River,0.816666667,3.3275,2.373333333,2.915,NA,1,6332.344545,66.7,46.595,22.06,0.418,644.3866667,0.57,13.4825,103.0016667,185.73,0.09,23.21666667,2.45,1.335,4.753636364,11.279,0.12,1679.543,3.48,NA,0.4475,0.7625,10.9075,153.0883333,0.2775,86.914,21.3,132.94,0,8.61,66.41,8.43,27.37857143,387.5,0.154,2.291666667,39.4025,2,2618.197273,40.86083333,3.463333333,6.02,1.813333333,0.305,10.61,19.29166667,NA,74768.66111,618809.1833,22.46666667,NA,NA,4,1.7,19.28,51.486,141,61.59,1
New Pond Brook,0.383333333,4.34,1.905,3.68,NA,1,424.2657143,24.45,133.528,29.858,0.36,159.525,0.48,8.33,143.894,278.1,174.38,14.50333333,5.2875,1.425,7.598571429,11.25166667,0.105,1804.598333,NA,NA,0.46,0.583333333,6.825,139.7322222,0.265,52.525,34.4575,173.25,0,10.04,46.28,10.55,25.787,225,0.055,2.08,37.73111111,2,2409.952857,40.20333333,3.224,6.128888889,2.122,0.27,8.553333333,17.38888889,NA,207545.6279,7744.31,26.525,NA,NA,3.5,2.19,4.05,141.268,161.67,74.75,1
North Branch West Stony Creek,0.395,3.092,1.604,2.252,NA,1,1095.121667,34.085,103.05625,22.45166667,0.426,123.5254545,2.07,14.0375,106.474,111.384,87.38,14.20166667,8.17,9.453333333,6.033333333,11.878,0.124,1512.146364,3.12,13,0.588,2.306666667,7.125,338.8466667,0.273333333,57.03333333,27.45285714,198.046,0,9.3675,114.54625,6.346666667,31.58944444,400,0.184,2.014,36.8175,2.5,3183.666923,41.926875,2.99,6.05375,2.198,0.796666667,4.89,16.53125,2.12,195144.6883,100008304.6,26.06666667,0.29,0.42,4.714285714,4.316666667,3.39,106.382,190.428,69.34333333,1
Paragon Brook,0.636,2.63,0.662,2.138,NA,1,299.6421429,14.95666667,151.96375,30.02285714,0.34,33.93083333,2.906666667,8.455,172.9988889,112.038,0.14,23.934,1.558,1.59625,6.586923077,10.87,0.11,1730.903,3.3,NA,0.77,2.233333333,9.29,106.756875,0.33,63.848,33.67,157.34,0,10.452,86.018,8.643333333,32.588125,426.666,0.093333333,1.997142857,36.09,2.111111111,3246.352222,41.19416667,2.927142857,6.0775,2.117142857,1.57,11.4,22.04166667,7.175,194563.2111,156032.6117,16.97666667,0.64,4.19,3.444444444,6.483333333,3.98,86.76,222.222,63.72,1
Plotter Kill,0.06,1.58,0.3,0.34,NA,1,96.93,24.98,46.7325,22.41,0.484,258.8122222,3.205,14.36666667,44.53285714,0.533333333,190.75,5.463333333,19.63666667,1.708,2.844545455,8.567272727,0.144,2110.805455,451.7,NA,0.642,1.01,8.29,185.33,0.328,96.932,8.666666667,160.1166667,0,11.13333333,69.40333333,2.5,45.21909091,251.6666667,0.125,2.502,39.5,3.333333333,2424.285714,38.325,2.512,6.363,2.452,1.105,5.95,22.2,NA,133844.4264,302649.4767,22.6,NA,NA,3.666666667,7.255,0.23,132.026,360.8333333,68.375,1
Potic Creek,1.7125,8.708571429,0.963333333,2.592,73,1,638.7246667,36.34,91.39888889,22.19285714,0.405,46.42142857,0.601666667,11.42272727,76.89769231,0.3,63.66,6.406666667,7.415,19.71571429,6.659230769,10.44375,0.1175,1361.154444,3.39,18,0.625,0.8875,10.02,1716.493684,0.285,94.46857143,21.57777778,289.872,0,7.125,110.9666667,4.478,26.88416667,400,0.165714286,2.706666667,44.71875,2.333333333,4575.5,43.34375,4.15,6.059375,2.123333333,0.276666667,3.683333333,15.25,NA,52280.92593,11435.52889,20.8325,NA,NA,3.222222222,2.805,0.45,87.04,115.48,69.20333333,1
Quacken Kill,1.423333333,4.346666667,0.665,1.413333333,NA,1,1909.24,35.86833333,45.115,20.7275,0.368333333,204.7375,0.6575,16.05166667,66.64090909,0.536,121.74,5.43,14.545,10.48,4.481333333,8.988333333,0.165714286,1682.177333,3.48,22.335,0.631428571,1.014285714,9.376,1562.481176,0.2775,109.4675,8.7,213.092,0,9.144,71.218,3.108333333,31.08434783,205,0.163333333,2.328571429,42.72368421,3,3281.615385,40.69736842,3.084285714,6.263684211,2.007142857,0.19,7.24,21.31578947,NA,35153.58926,141020.97,22.4375,NA,NA,3,2.705,1.283333333,79.06777778,254.928,66.755,1
Robbs Creek,2.05,3.767142857,0.885714286,2.091428571,70,1,6608.910909,NA,100.2025,23.31833333,0.57,537.8145455,3.31,21.12,134.367,111.844,0.18,1.08,3.6,1.1775,3.318888889,9.5425,0.085,1738.6375,0.64,14,0.58,1.03,NA,1884.736154,0.41,0.156666667,47.92555556,297.19,0,6.7,164.955,2.731428571,26.4755,52.5,0.178,1.87,42.23866667,2.625,3727.264167,37.98866667,1.485,6.152,3.82,1.903333333,0.87,12.56666667,NA,197436.8888,375364.034,22.86,NA,NA,3.5,5.64,NA,64.02,56.905,54.07333333,1
Roeliff Jansen Kill,0.485,1.84,0.25,0.915,NA,1,6476.585455,22.2,45.51,18.645,0.405,595.932,0.6575,23.8025,106.9855556,0.536,0.09,4.6,2.68,1.665,3.328,8.744444444,0.095,1865.681111,3.48,NA,0.665,1.21,16.09,135.55,0.19,53.164,22.9,126.57,0,9.34,162.15,8.194285714,28.59266667,159.4433333,0.18,3.33,43.875,2.8,3150.125,40.20833333,2.876666667,6.0875,2.056666667,0.19,NA,18.33333333,5.5,38020.8685,403016.7214,23.13333333,1.63,3.25,3.6,2.705,NA,0.586666667,297,66.755,1
