River,Latitude,Longitude,River Flow, Slope,Canopy Cover,Number of Species,LOI,Land Cover,BIO9,BIO8,BIO7,BIO6,BIO5,BIO4,BIO3,BIO2,BIO19,BIO18,BIO17,BIO16,BIO15,BIO14,BIO13,BIO12,BIO11,BIO10,BIO1,LENGTHKM,StreamOrde,AreaSqKm,TotDaSqKM,DivDaSqKm
Keyser Kill,42.490725,-74.36027,N,164,0.00,40,,42,-60,157,375,-124,251,9210,29,112,206,291,206,299,14,61,103,1037,-60,177,63,7.124,1,31.0257,31.0257,31.0257
Kinderhook Creek,42.492657,-73.451472,SW,122,0.57,44,2.6%,21,-35,173,390,-114,276,9303,31,123,214,295,212,295,13,64,100,1032,-47,194,78,1.468,3,3.3552,185.2722,185.2722
Landsman Kill,41.923326,-73.910993,SW,52,0.31,32,5.7%,41,-18,185,385,-98,287,9150,31,123,235,293,231,304,11,71,106,1079,-30,207,92,1.407,2,1.1241,31.248,31.248
Lansing Kill,43.404334,-75.344078,S,40,0.75,31,6.4%,41,-56,83,393,-134,259,9737,28,112,302,318,276,341,10,85,123,1255,-67,184,64,3.581,3,8.7147,47.2986,47.2986
Mill Brook,43.763674,-73.754512,N,50,0.06,28,2.4%,42,-55,175,409,-142,267,9764,30,124,203,284,199,286,15,61,108,1001,-68,185,64,8.726,2,20.4228,67.1436,67.1436
Mill Creek,43.404398,-74.252016,SW,40,0.45,30,10.3%,42,-57,168,393,-139,254,9494,30,120,262,305,257,309,10,76,110,1173,-68,176,60,5.205,2,8.4114,31.9653,31.9653
Minots Corner,43.091945,-75.064318,N,188,0.84,25,7.8%,52,-45,193,394,-121,273,9627,29,118,223,312,218,312,14,65,108,1108,-56,193,73,1.415,2,0.819,5.4765,5.4765
Mohawk River,43.001598,-74.546771,SE,38,0.69,27,4.7%,21,-42,172,391,-118,273,9548,30,118,225,295,222,297,12,66,102,1073,-53,193,74,1.063,4,0.8037,180.8316,180.8316
New Pond Brook,44.076053,-73.659537,NE,10,0.95,21,0.5%,90,-61,171,411,-148,263,9848,29,123,187,284,180,285,18,56,108,956,-74,181,59,2.317,2,2.466,12.9321,12.9321
North Branch West Stony Breek,43.252166,-74.328505,S,35,0.31,31,1.4%,43,-55,170,390,-134,256,9528,30,118,264,309,259,311,9,77,110,1184,-66,179,62,1.731,3,2.3742,50.8869,50.8869
Paragon Brook,43.887672,-73.643238,N,73,0.6,31,9.0%,90,-57,174,410,-144,266,9839,30,123,196,286,191,288,16,59,109,984,-70,185,63,1.413,2,0.9162,23.8266,23.8266
Plotter Kill,42.845497,-74.012915,N,39,0.47,25,1.5%,41,-44,184,396,-111,285,9611,29,117,200,267,200,270,12,59,93,964,-44,205,85,3.597,2,3.2625,16.6023,16.6023
Potic Creek,42.275279,-73.928113,S,49,0.86,36,2.7%,43,-26,183,393,-107,286,9377,31,124,212,282,209,292,13,63,101,1013,-39,205,88,8.493,3,15.597,115.8984,115.8984
Quacken Kill,42.748357,-73.563029,SW,75,0.71,52,1.6%,23,-34,200,394,-114,280,9522,30,120,195,287,195,287,15,58,99,984,-46,200,81,6.884,2,10.2609,55.1907,55.1907
Robbs Creek,43.509772,-74.286186,S,23,0.41,40,0.6%,90,-63,162,391,-145,246,9470,30,120,262,312,257,319,10,76,113,1183,-73,170,54,1.664,2,1.2924,35.1243,35.1243
Roeliff Jansen Kill,42.006207,-73.715742,W,4,0.80,35,4.0%,41,-23,181,388,-105,283,9182,32,126,231,297,226,302,11,69,103,1074,-36,202,87,3.173,3,5.4738,408.6324,408.6324
Saw Kill,42.037053,-74.123401,E,47,0.73,20,0.4%,43,-26,180,382,-104,278,9258,30,118,248,298,243,315,10,75,112,1126,-38,201,86,8.581,2,29.3103,58.761,58.761
Sheriff Lake Outlet,43.390122,-74.593997,NE,28,0.29,34,1.0%,21,-66,72,390,-146,244,9523,30,117,294,333,281,347,10,83,125,1294,-77,168,51,3.953,2,4.671,11.1087,11.1087
Snook Kill,43.198531,-73.655411,NE,47,0.63,44,0.3%,21,-38,201,409,-125,284,9741,30,125,204,276,203,276,14,59,100,987,-52,201,80,10.018,2,18.792,92.8791,92.8791
Sprout Creek,41.581503,-73.852583,S,60,0.63,24,5.5%,41,-11,189,376,-87,289,9030,31,120,237,298,237,300,10,72,102,1100,-23,211,97,13.069,3,18.819,142.2666,142.2666
Steele Creek,42.994894,-75.060868,E,262,0.49,19,5.2%,90,-43,192,392,-119,273,9563,30,118,211,304,208,304,15,62,106,1071,-54,192,73,3.287,3,2.8062,49.7637,49.7637
Sterling Creek,43.139072,-75.090916,S,118,0.80,43,1.3%,43,-50,177,393,-128,265,9600,29,116,240,319,232,320,13,69,111,1157,-61,187,67,1.97,2,2.5092,10.2546,10.2546
Stewart Creek,43.530026,-74.144775,W,67,0.76,32,4.9%,43,-59,166,393,-142,251,9486,30,121,247,302,244,307,11,73,110,1136,-71,173,57,2.195,2,3.8556,42.0165,42.0165
Stony Creek,42.046664,-73.910765,SW,73,0.82,33,3.9%,41,-19,187,390,-100,290,9270,32,125,228,288,224,299,11,68,104,1055,-32,208,92,6.514,2,15.5493,54.9837,54.9837
Timmerman Creek,43.056705,-74.627278,W,23,0.30,25,4.8%,21,-50,164,388,-126,262,9564,29,115,239,310,234,311,12,69,106,1135,-61,185,67,8.582,2,13.7898,24.5151,24.5151
Trout Brook,43.755304,-73.880445,E,18,0.78,26,5.7%,42,-57,171,405,-144,261,9684,30,124,209,288,206,290,14,63,109,1024,-70,180,61,2.838,3,6.2856,206.9118,206.9118
Valatie Kill,42.442041,-73.665175,SW,50,0.84,19,3.2%,41,-29,182,395,-110,285,9399,31,125,203,282,201,284,13,60,96,989,-41,203,85,4.244,2,5.4657,103.8096,103.8096
Wappinger Creek,41.756316,-73.817385,SW,21,0.94,19,3.1%,52,-15,185,381,-95,286,9067,32,123,232,297,230,302,11,71,103,1079,-28,207,93,5.201,4,9.2709,362.3733,362.3733
Wharton Hollow Creek,42.527149,-74.567477,S,72,0.47,28,1.6%,21,-58,159,377,-122,255,9228,30,115,201,291,201,299,15,59,102,1024,-58,180,65,2.436,3,3.2859,34.0038,34.0038
