Source,Species,Family,Individual,Treatment,StartWeek,EndWeek,Death
greenline,PoPe,Polygonaceae,6,flood,0,9,0
greenline,PoPe,Polygonaceae,7,flood,0,9,0
greenline,PoPe,Polygonaceae,8,fertilizer,0,3,1
greenline,PoPe,Polygonaceae,9,bury,0,9,0
greenline,PoPe,Polygonaceae,10,flood,0,3,1
greenline,PoPe,Polygonaceae,11,fertilizer,0,9,0
greenline,PoPe,Polygonaceae,12,control,0,5,1
greenline,PoPe,Polygonaceae,13,control,0,7,1
greenline,PoPe,Polygonaceae,14,flood,0,9,0
greenline,PoPe,Polygonaceae,15,control,0,4,1
greenline,PoPe,Polygonaceae,16,control,0,9,0
upslope,PoVi,Polygonaceae,1,control,0,3,1
upslope,PoVi,Polygonaceae,2,control,0,3,1
upslope,PoVi,Polygonaceae,3,bury,0,8,1
upslope,PoVi,Polygonaceae,4,control,0,3,1
upslope,PoVi,Polygonaceae,5,fertilizer,0,3,1
upslope,PoVi,Polygonaceae,6,bury,0,9,0
upslope,PoVi,Polygonaceae,7,flood,0,9,0
upslope,PoVi,Polygonaceae,8,flood,0,7,1
upslope,PoVi,Polygonaceae,9,bury,0,3,1
upslope,PoVi,Polygonaceae,10,control,0,7,1
upslope,PoVi,Polygonaceae,11,control,0,9,0
upslope,PoVi,Polygonaceae,12,fertilizer,0,9,0
upslope,PoVi,Polygonaceae,13,flood,0,9,0
upslope,PoVi,Polygonaceae,14,fertilizer,0,9,0
upslope,PoVi,Polygonaceae,15,control,0,7,1
upslope,PoVi,Polygonaceae,16,flood,0,9,0
upslope,PoVi,Polygonaceae,17,fertilizer,0,9,0
upslope,PoVi,Polygonaceae,18,control,0,7,1
upslope,PoVi,Polygonaceae,19,bury,0,7,1
upslope,PoVi,Polygonaceae,20,bury,0,3,1
upslope,PoVi,Polygonaceae,21,flood,0,9,0
upslope,PoVi,Polygonaceae,22,bury,0,2,1
upslope,PoVi,Polygonaceae,23,bury,0,9,1
upslope,PoVi,Polygonaceae,24,bury,0,4,1
upslope,PoVi,Polygonaceae,25,fertilizer,0,9,0
upslope,PoVi,Polygonaceae,26,flood,0,9,0
upslope,PoVi,Polygonaceae,27,control,0,4,1
upslope,PoVi,Polygonaceae,28,fertilizer,0,9,0
upslope,PoVi,Polygonaceae,29,fertilizer,0,9,1
upslope,PoVi,Polygonaceae,30,fertilizer,0,5,1
upslope,PoVi,Polygonaceae,31,bury,0,9,0
upslope,PoVi,Polygonaceae,32,flood,0,9,0
upslope,PoVi,Polygonaceae,33,bury,0,5,1
upslope,PoVi,Polygonaceae,34,bury,0,9,0
upslope,PoVi,Polygonaceae,35,fertilizer,0,5,1
upslope,PoVi,Polygonaceae,36,flood,0,9,0
upslope,PoVi,Polygonaceae,37,fertilizer,0,9,0
upslope,PoVi,Polygonaceae,38,flood,0,9,0
upslope,PoVi,Polygonaceae,39,flood,0,9,0
upslope,PoVi,Polygonaceae,40,flood,0,9,0
upslope,PoVi,Polygonaceae,41,control,0,9,1
upslope,PoVi,Polygonaceae,42,control,0,7,1
upslope,PoVi,Polygonaceae,43,flood,0,9,0
upslope,PoVi,Polygonaceae,44,control,0,3,1
upslope,PoVi,Polygonaceae,45,bury,0,7,1
upslope,PoVi,Polygonaceae,46,fertilizer,0,6,1
upslope,PoVi,Polygonaceae,47,control,0,3,1
upslope,PoVi,Polygonaceae,48,fertilizer,0,9,0
greenline,PrVu,Lamiaceae,1,bury,0,6,1
greenline,PrVu,Lamiaceae,2,fertilizer,0,8,1
greenline,PrVu,Lamiaceae,3,flood,0,9,0
greenline,PrVu,Lamiaceae,4,bury,0,7,1
greenline,PrVu,Lamiaceae,5,bury,0,3,1
greenline,PrVu,Lamiaceae,6,control,0,5,1
greenline,PrVu,Lamiaceae,7,control,0,9,0
greenline,PrVu,Lamiaceae,8,flood,0,9,0
greenline,PrVu,Lamiaceae,9,control,0,9,0
greenline,PrVu,Lamiaceae,10,fertilizer,0,9,0
greenline,PrVu,Lamiaceae,11,flood,0,9,0
greenline,PrVu,Lamiaceae,12,fertilizer,0,9,0
greenline,PrVu,Lamiaceae,13,fertilizer,0,9,0
greenline,PrVu,Lamiaceae,14,control,0,9,0
greenline,PrVu,Lamiaceae,15,bury,0,4,1
greenline,PrVu,Lamiaceae,16,flood,0,9,0
greenline,PrVu,Lamiaceae,17,bury,0,7,1
greenline,PrVu,Lamiaceae,18,control,0,6,1
greenline,PrVu,Lamiaceae,19,bury,0,9,0
greenline,PrVu,Lamiaceae,20,flood,0,9,0
greenline,PrVu,Lamiaceae,21,fertilizer,0,9,0
greenline,PrVu,Lamiaceae,22,control,0,7,1
greenline,PrVu,Lamiaceae,23,flood,0,9,0
greenline,PrVu,Lamiaceae,24,bury,0,9,0
greenline,PrVu,Lamiaceae,25,fertilizer,0,9,0
greenline,PrVu,Lamiaceae,26,bury,0,9,0
greenline,PrVu,Lamiaceae,27,control,0,9,0
greenline,PrVu,Lamiaceae,28,control,0,4,1
greenline,PrVu,Lamiaceae,29,bury,0,9,0
greenline,PrVu,Lamiaceae,30,fertilizer,0,4,1
greenline,PrVu,Lamiaceae,31,flood,0,9,0
greenline,PrVu,Lamiaceae,32,control,0,4,1
greenline,PrVu,Lamiaceae,33,bury,0,9,0
greenline,PrVu,Lamiaceae,34,fertilizer,0,3,1
greenline,PrVu,Lamiaceae,35,flood,0,9,0
greenline,PrVu,Lamiaceae,36,control,0,5,1
greenline,PrVu,Lamiaceae,37,fertilizer,0,9,0
greenline,PrVu,Lamiaceae,38,fertilizer,0,9,0
greenline,PrVu,Lamiaceae,39,bury,0,2,1
greenline,PrVu,Lamiaceae,40,flood,0,9,0
greenline,PrVu,Lamiaceae,41,flood,0,9,0
greenline,PrVu,Lamiaceae,42,flood,0,9,0
greenline,PrVu,Lamiaceae,43,flood,0,9,0
greenline,PrVu,Lamiaceae,44,control,0,4,1
greenline,PrVu,Lamiaceae,45,fertilizer,0,9,0
greenline,PrVu,Lamiaceae,46,fertilizer,0,1,1
greenline,PrVu,Lamiaceae,47,bury,0,4,1
greenline,PrVu,Lamiaceae,48,control,0,4,1
upslope,SoFl,Asteraceae,1,bury,0,8,1
upslope,SoFl,Asteraceae,2,fertilizer,0,2,1
upslope,SoFl,Asteraceae,3,fertilizer,0,5,1
upslope,SoFl,Asteraceae,4,control,0,4,1
upslope,SoFl,Asteraceae,5,control,0,2,1
upslope,SoFl,Asteraceae,6,control,0,5,1
upslope,SoFl,Asteraceae,7,flood,0,9,0
upslope,SoFl,Asteraceae,8,bury,0,9,0
upslope,SoFl,Asteraceae,9,bury,0,9,0
upslope,SoFl,Asteraceae,10,fertilizer,0,9,0
upslope,SoFl,Asteraceae,11,flood,0,9,0
upslope,SoFl,Asteraceae,12,flood,0,9,0
upslope,SoFl,Asteraceae,13,control,0,9,0
upslope,SoFl,Asteraceae,14,control,0,9,1
upslope,SoFl,Asteraceae,15,fertilizer,0,9,0
upslope,SoFl,Asteraceae,16,bury,0,9,1
upslope,SoFl,Asteraceae,17,flood,0,9,0
upslope,SoFl,Asteraceae,18,flood,0,9,0
upslope,SoFl,Asteraceae,19,fertilizer,0,9,0
