,Dispersal.unit.dry.mass,Dispersal.unit.length,Dispersal.unit.thickness,Dispersal.unit.width,Leaf.area,Leaf.carbon..C..content.per.area,Leaf.carbon..C..content.per.dry.mass,Leaf.carbon.nitrogen..C.N..ratio,Leaf.density,Leaf.dry.mass,Leaf.dry.mass.per.plant,Leaf.dry.mass.per.plant.dry.mass..leaf.weight.ratio..LWR.,Leaf.dry.matter.content..LDMC.,Leaf.fresh.mass,Leaf.lamina.thickness,Leaf.lifespan,Leaf.nitrogen..N..content,Leaf.nitrogen..N..content.per.area,Leaf.nitrogen..N..content.per.dry.mass,Leaf.nitrogen.phosphorus..N.P..ratio,Leaf.phosphorus..P..content.per.area,Leaf.phosphorus..P..content.per.dry.mass,Leaf.physical.strength,Leaf.porosity,Leaf.potassium..K..content.per.area,Leaf.potassium..K..content.per.dry.mass,Leaf.respiration.per.dry.mass,Leaf.specific.area..SLA.,Leaf.texture..sclerophylly.,Leaf.thickness,Phenology..reproductive,Photosynthesis.leaf.intercellular.CO2.concentration,Photosynthesis.net.assimilytion.rate..NAR.,Photosynthesis.per.leaf.area,Photosynthesis.per.leaf.dry.mass,Plant.height.generative,Plant.height.vegetative,Plant.relative.growth.rate..RGR.,Plant.tolerance.to.drought,Plant.tolerance.to.frost,Plant.tolerance.to.human.impact,Plant.tolerance.to.planting.density,Plant.tolerance.to.precipitation,Plant.tolerance.to.shade,Plant.tolerance.to.soil.pH,Plant.tolerance.to.waterlogging,Reproductive.dry.mass.per.plant,Root.nitrogen..N..content.per.dry.mass,Rooting.depth,Seed.length,Seed.mass,Seed.number.per.reproducton.unit,Seed.protein.content.per.mass,Seed.thickness,Seed.width,Species.distribution..number.of.floristic.zones,Stem.dry.mass.per.plant,Stem.length..height.,Stem.nitrogen..N..content.per.dry.mass,Stem.specific.density..SSD.,Stomata.conductance.per.leaf.area,Wood.dry.mass.per.plant.dry.mass
Cobleskill Creek,1.333333333,2.97125,1.175714286,1.61125,2717.293077,NA,216.661,20.47625,0.56,111.2115385,1.614,13.275,117.0184615,0.96,0.251666667,1.57,3.764,19.295,13.80545455,15.57,NA,364.958,5.693333333,11,NA,10.78,25.5,316.1046154,0.32,73.78666667,60.54928571,263.058,0.738571429,8.945,211.9466667,7.131428571,25.42428571,0.2,2,41.71428571,2.5,7566.666667,42.5,1.99,6.271428571,4.1,0.97,1.7625,12.57142857,1.738571429,10272.168,49605.15769,26.52,0.748571429,0.961428571,3.428571429,2.718,NA,1.875,20.105,137.5,46.962
Daly Creek,0.22,12.06,0.29,0.45,7318.555,NA,267.845,15.07,NA,414.27,19.575,54.57,130.075,18.82,0.28,NA,NA,NA,12.42,10.36,NA,2200,1.655,NA,NA,NA,NA,67.965,NA,0.08,71.895,NA,0,NA,NA,0.375,41.575,0.21,NA,NA,4.5,NA,NA,NA,NA,NA,1.57,NA,NA,1.16,0.225,85125.98,19.4,0.37,0.42,4,4.62,NA,NA,NA,NA,31.695
Evas Kill,6.175,13.88,0.91,9.333333333,7249.894286,NA,41.408,21.504,0.35,406.3957143,11.0775,33.648,107.6757143,10.755,0.272,NA,1.44,49.37,10.126,12.59,0.08,695.765,0.976,14,0.6,17.43,25.5,162.0542857,0.065,77.7525,24.105,312.765,0.666666667,10.035,180.04,0.771428571,22.88857143,0.213333333,NA,47.25,2.833333333,14500,37.5,NA,6.15,NA,0.743333333,2.34,9,1.553333333,14302.39429,60213.98714,17.4,0.366666667,1.096666667,3.833333333,14.2,119.06,2.3,0.24,133.94,31.31
Fawn Lake,0.801666667,3.521428571,0.996,2.707142857,701.4976923,54.2,194.4427273,18.398,0.366666667,29.20076923,1.705,9.49,115.0115385,0.821428571,0.234,1.726666667,0.471666667,17.21333333,13.89916667,14.46,0.08,297.8063636,1.07,14.89,0.6,14.105,25.5,428.8338462,0.1,97.0975,70.94727273,279.1366667,0.64625,9.472,193.7125,7.470833333,29.13846154,0.20625,2,39.61111111,2.727272727,13495,43.83333333,1.99,6.311111111,4.1,1.045,1.816666667,11.55555556,1.538333333,14066.79286,48623.68231,25.70833333,0.563333333,1.03,3.727272727,12.06142857,119.06,2.295,15.17875,120.0866667,58.71333333
Fishkill Creek,NA,NA,NA,NA,3837.65,NA,NA,11.48,NA,170.6933333,NA,NA,221.52,NA,0.15,NA,NA,NA,13.37,7.74,NA,2655.3,2.22,NA,NA,NA,NA,36.97333333,0.03,NA,5.625,NA,NA,NA,NA,0.833333333,3.398,NA,3.315,76,2.5,525,45,1.835,6.35,1.51,NA,NA,18,2.265,759.4716667,18398.53,NA,0.865,1.175,2.25,NA,NA,NA,160.355,NA,NA
Four Mile Brook,0.38,2.45,NA,0.83,305.6066667,NA,333.54,15.87,NA,28.47333333,1.53,11.285,210.15,0.04,0.19,NA,0.33,0.93,13.46666667,NA,NA,0.83,2.62,8,NA,NA,NA,394.46,NA,0.08,94.16333333,NA,0,NA,NA,11.85666667,30.52333333,0.215,2,42.25,3.333333333,300,47.5,1.99,6.125,4.1,1.57,NA,16,1.03,2666.88,71551.12667,19.4,0.31,0.335,3.333333333,3.54,NA,NA,119.41,NA,50.67
Green River,0.22,12.06,0.29,0.45,10098.855,NA,38.69,15.07,NA,557.43,37.62,87.28,171.025,37.6,0.37,NA,NA,NA,2.54,10.36,NA,2200,0.69,NA,NA,10.29,NA,80.43666667,0.115,NA,5,NA,NA,NA,NA,0.83,22.185,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2425,3480.05,NA,NA,NA,3,5.7,NA,NA,NA,NA,12.72
Hans Creek,0.69,NA,NA,NA,415.72,NA,43.57,15.75,NA,38.125,NA,0.53,228.82,NA,NA,NA,0.3,1.14,5.01,8.33,NA,1309.98,NA,11,NA,NA,NA,1781.77,NA,NA,28.915,219,0,6.1,NA,9.1,27.05,0.23,2,33.5,3,300,55,1.99,6.15,4.1,NA,1.52,24,0.9,0.38,47961.165,NA,0.25,0.25,3.5,NA,NA,1.58,59.78,113.86,NA
Hudson River,NA,NA,NA,NA,38.07,NA,497,NA,NA,2.47,1.53,21.86,198.27,0.04,0.19,NA,NA,NA,22.3,NA,NA,NA,2.62,NA,NA,NA,NA,77.09,NA,0.08,140.29,NA,0,NA,NA,0.59,40.28,0.21,NA,NA,5,NA,NA,NA,NA,NA,1.57,NA,NA,1.16,0.14,163298.86,19.4,0.37,0.42,4,3.54,NA,NA,NA,NA,50.67
Indian Brook,NA,NA,NA,NA,3926.01,NA,44.3,24.585,NA,176.1033333,0.52,40.84,174.3566667,0.4,0.18,NA,NA,NA,11.125,8.8,NA,2750.6,1.58,NA,NA,NA,NA,49.64,0.03,0.17,5.5,NA,NA,NA,NA,0.893333333,9.6375,NA,3.5,73.5,2.333333333,525,41,1.5,6.3,1.5,0.31,NA,16,3.28,4104.398,16630.97333,NA,1.08,1.1,2.333333333,0.49,NA,NA,0.38,NA,36.25
Indian Kill,15.09,6.09,5.1,5.17,1798.85,22,40.66,19.12,0.56,69.07,3.085,13.35,96.892,2.51,0.25,6.8,6.58,49.67,13.286,11.915,0.1,1164.818,1.505,NA,0.56,7.14,25.5,64.378,NA,117.37,27.55,248.1366667,0.666666667,10.30666667,135.0533333,0.5075,11.608,0.163333333,3.46,23.5,2.4,14500,38,1.93,6.05,2.25,0.96,2.34,4,1.765,16820.386,108492.4775,17.7,0.6075,0.89,3.6,8.366666667,51.5,2.3,79.24,235.96,38.135
Jassup River,NA,NA,NA,NA,475.33,NA,44.33,15.87,NA,60.4,NA,NA,297.64,NA,NA,NA,NA,NA,2.56,NA,NA,0.25,NA,8,NA,NA,NA,1068.27,NA,NA,4.5,NA,NA,NA,NA,18,24.66,NA,2,33.5,3,300,55,1.99,6.15,4.1,NA,NA,24,0.9,0.12,49581.33,NA,0.25,0.25,3,NA,NA,NA,119.41,NA,NA
Kayaderosseras Creek,1.7,3.333333333,1.9,1.973333333,1617.946667,NA,105.544,21.266,0.515,60.37,1.945,18.726,100.26,1.4775,0.25,NA,1.64,49.56333333,9.73,13.95333333,NA,33.2925,1.19,11,NA,10.29,25.5,444.6828571,0.2,55.375,56.014,271.5533333,0.5,8.366666667,180.04,7.258333333,19.97333333,0.2,NA,47.5,2.2,14500,41.16666667,NA,6.35,NA,0.78,1.61,10,1.49,15088.99857,81677.455,21.9125,0.556666667,0.87,4.2,2.6625,NA,1.58,0.29,111.0433333,43.515
Kennyetto Creek,2.935,4.403333333,1.55,2.116666667,725.25,NA,217.3633333,18.50333333,0.47,25.1575,1.043333333,10.09666667,107.8475,1.76,0.21,2.73,0.845,22.4,19.59666667,15.18,NA,44.62,1.645,NA,NA,10.78,25.5,56.9925,NA,110.59,82.8,231.33,1.723333333,10.80666667,268.27,7.8225,22.875,0.193333333,NA,40,2.2,12675,43.83333333,NA,6.466666667,NA,1.21,2.225,8,2.383333333,14940.70667,28963.31,28.3925,0.826666667,1.21,3.4,2.446666667,NA,1.99,0.18,91.565,48.87666667
Keyser Kill,1.38625,4.931666667,1.151428571,2.270909091,3553.350667,68.67,303.6845455,14.24,0.305,220.6186667,7.043333333,17.573,128.3413333,5.51,0.208571429,1.716666667,4.8825,1.263333333,17.87166667,14.654,0.125,358.4281818,5.997142857,14,0.6,12.83333333,NA,94.054375,0.206666667,29.95666667,76.114375,218.8175,0.352222222,8.81,365.965,10.17071429,26.42285714,0.185555556,NA,43.8,2.9375,NA,44.7,NA,6.49,NA,1.096,1.8675,12.4,1.712,2402.75,77553.66,29.47,0.704,1.119,3.5,11.10285714,119.06,2.0525,0.231666667,127.6275,49.12833333
Kinderhook Creek,1.395,3.9475,1.72,1.8,3127.791429,68.67,266.68,14.3825,0.47,135.95,1.235,12.65333333,142.3042857,1.29,0.198,2.01,1.025,22.34,19.76714286,12.9875,NA,373.086,2.154,11,NA,NA,25.5,422.97,0.03,73.75333333,78.46571429,226.0133333,0.333333333,9.47,358.475,13.97428571,18.79875,0.183333333,3.13,42.33333333,2.714285714,14500,44.5,2.17,6.516666667,1.52,1.0425,1.75,7.0775,1.4425,11449.54,45815.84429,24.105,0.62,0.9125,4.142857143,2.125,NA,1.9125,80.275,107.5433333,44.9275
Landsman Kill,0.958333333,3.561666667,0.994,1.65,2183.929,42.2,181.7,17.75,0.48,184.188,4.3325,7.83,156.86,0.342,0.22,1.785,3.856,15.01333333,12.70285714,13.7475,0.17,484.9325,28.27,14,NA,9.64,NA,273.5027273,0.03,0.133333333,60.839,236.72,0.568333333,8.672,146.6533333,33.56111111,31.59222222,0.213333333,2,42.5,2.5,NA,46.16666667,4.33,6.5,2,1.105,1.55,11.39666667,1.505,1702.749091,133851.7956,25.80285714,0.665,0.925,3.6,4.9075,NA,1.42,0.26,109.435,61
Lansing Kill,0.22,12.06,0.29,0.45,6144.95,NA,36.905,16.05666667,NA,296.63,19.65,49.78,114.86,21.065,0.266666667,NA,NA,63.82,14.73333333,11.81,NA,1650.263333,1.363333333,NA,NA,NA,25.5,62.18,NA,110.58,32.1875,273.53,2,11.86,260.78,0.385,17.88,0.18,NA,23.5,2.75,14500,38,NA,6.05,NA,1.31,2.34,4,1.916666667,16816.126,1746301.48,19.1,0.745,0.726666667,3.75,3.215,NA,2.3,0.38,117.88,16.335
Mill Brook,3.605,4.446666667,2.595,2.313333333,3182.105,NA,202.22,12.62,0.47,126.925,1.09,6.585,125.905,0.49,0.14,NA,1.64,1.6,13.95,12.795,NA,65.74,2.11,11,NA,NA,NA,1325.17,NA,0.14,40.58,189.13,0,5.03,NA,20.83,13.70666667,0.195,3.5,62,2.25,525,46.75,1.5,6.55,1.5,0.89,1.245,15,2.825,2520.4325,9008.87,28.49333333,1.035,1.41,3.25,3.33,NA,1.22,0.29,65.25,61.54
Mill Creek,0.69,NA,NA,NA,356.11,NA,42.81,15.63,NA,15.85,NA,0.53,160,NA,NA,NA,0.3,1.14,7.46,8.33,NA,2619.71,NA,14,NA,NA,NA,2495.27,NA,NA,53.33,219,0,6.1,NA,0.2,15.72,0.23,2.5,NA,3,NA,NA,1.83,NA,1,NA,1.52,NA,NA,1.59,46341,NA,NA,NA,4,NA,NA,1.58,0.15,113.86,NA
Minots Corner Road,0.69,NA,NA,NA,314.7,NA,42.81,15.63,NA,12.6,NA,0.53,191.53,NA,NA,NA,0.3,1.14,4.585,7.505,NA,2589.855,NA,14,NA,NA,NA,1263.065,NA,NA,29.665,219,0,6.1,NA,0.25,14.945,0.23,NA,NA,3,NA,NA,NA,NA,NA,NA,1.52,NA,1.25,1.3,27248.835,NA,0.65,1.25,3,NA,NA,1.58,0.15,113.86,NA
Mohawk River,0.69,NA,NA,NA,4219.012,NA,42.81,13.555,NA,153.616,NA,0.53,202.212,NA,0.15,NA,0.3,1.14,10.06666667,7.936666667,NA,2643.436667,2.22,14,NA,NA,NA,529.922,0.03,NA,15.566,219,0,6.1,NA,0.654,6.446,0.23,NA,NA,2.6,NA,NA,NA,NA,NA,NA,1.52,NA,1.963333333,2.485,28657.904,NA,0.87,1.053333333,3,NA,NA,1.58,0.265,113.86,NA
New Pond Brook,2.57,5.035,1.125,1.455,4041.5,NA,44.33,15.87,NA,200.77,NA,0.8,208.07,NA,0.22,NA,NA,NA,10.88,10.09,NA,865.99,0.47,8,NA,NA,NA,569.64,NA,NA,6.5,NA,0,NA,NA,9.39,22.745,0.21,2,33.5,2.333333333,300,55,1.99,6.15,4.1,NA,NA,12.155,2.305,1.246666667,44887.465,26.015,0.675,0.835,3.333333333,NA,NA,NA,119.41,NA,NA
North Branch West Stony Creek,0.69,NA,NA,NA,415.72,NA,43.57,15.75,NA,38.125,NA,0.53,228.82,NA,NA,NA,0.3,1.14,5.01,8.33,NA,1309.98,NA,11,NA,NA,NA,1781.77,NA,NA,28.915,219,0,6.1,NA,9.1,27.05,0.23,2,33.5,3,300,55,1.99,6.15,4.1,NA,1.52,24,0.9,0.38,47961.165,NA,0.25,0.25,3.5,NA,NA,1.58,59.78,113.86,NA
Paragon Brook,1,2.99,0.88,1.305,51.04333333,54.2,356.0266667,19.78,0.435,6.06,0.953333333,13.26333333,142.5966667,0.213333333,0.165,2.04,0.92,1.305,18.95,10.65,NA,899.465,2.365,NA,NA,NA,NA,76.44666667,NA,25.92333333,107.1225,189.13,0,5.405,139.01,6.316666667,32.055,0.18,NA,37,3,NA,48,NA,6.575,NA,0.846666667,1.55,11,1.55,8387.45,62257.82,25.73333333,0.67,0.91,3.25,2.653333333,NA,1.68,0.325,65.25,63.34666667
Plotter Kill,1.074,4.852,1.286,1.826,5377.406667,NA,142.2483333,16.948,0.56,345.5144444,14.15666667,24.28,151.2655556,12.78333333,0.26,2.73,5.863333333,21.72,11.5025,13.2425,0.17,819.4314286,1.1775,11,NA,10.78,NA,332.8433333,0.03,0.15,38.21444444,329,0.7925,10.17,187.53,45.32111111,53.49777778,0.212,NA,36,2.777777778,NA,41.5,NA,6.5,NA,1.02,0.38,16,1.84,928.6044444,150525.1856,23.355,0.6925,0.85,3.888888889,5.026666667,NA,0.76,0.2875,283,44.72666667
Potic Creek,NA,NA,NA,NA,3507.1625,NA,39.71,23.59666667,NA,148.0175,1.1,26.56,143.895,2.465,0.213333333,NA,NA,63.82,14.29333333,12.535,NA,1375.395,1.446666667,NA,NA,NA,25.5,55.5675,0.03,110.605,41.58333333,273.53,2,11.86,260.78,0.715,11.07,0.18,NA,47.25,2.333333333,14500,37.5,NA,6.15,NA,0.81,2.34,9,2.39,25018.245,32910.16,19.1,0.745,0.955,3,0.61,NA,2.3,0.38,117.88,28.1
Quacken Kill,2.774285714,3.356666667,1.634,1.953333333,2759.561818,38.1,97.02571429,24.64857143,0.4,115.9936364,0.974,11.825,117.2936364,1.588,0.2275,3.856666667,2.49,11.825,11.16375,11.562,0.1,933.45,1.17,19.5,0.56,8.96,25.5,343.0363636,0.03,107.42,45.44454545,203.8033333,0.738571429,10.024,180.1575,1.929,23.76916667,0.17,3.46,44.125,2.363636364,9125,40.25,1.93,6.175,2.25,0.724,1.616666667,7.662,1.593333333,11236.05231,58415.90909,20.73428571,0.646666667,1.066666667,3.454545455,4.425,51.5,1.94,47.634,223.9133333,49.928
Robbs Creek,NA,NA,NA,NA,475.33,NA,44.33,15.87,NA,60.4,NA,NA,297.64,NA,NA,NA,NA,NA,2.56,NA,NA,0.25,NA,8,NA,NA,NA,1068.27,NA,NA,4.5,NA,NA,NA,NA,18,13.33,NA,2.25,33.5,3,300,55,1.91,6.15,2.55,NA,NA,24,0.9,1.33,49581.33,NA,0.25,0.25,3,NA,NA,NA,119.41,NA,NA
Roeliff Jansen Kill,1.165,2.603333333,1.37,1.533333333,7162.2025,NA,210.5075,16.63,0.56,390.72125,4.49,9.506666667,183.23625,0.49,0.26,NA,17.565,28.54333333,14.716,8.8,0.17,551.634,10.72,NA,NA,NA,NA,53.47375,0.175,0.15,25.41111111,305.44,0,7.1,99.3,1.65,11.69,0.206666667,0.53,41,2.222222222,225,37.5,1.93,7,3.95,0.61,1.07,12,1.652,250002.9322,131382.1089,15.33333333,0.614,0.638,3.444444444,6.1,NA,1.33,0.335,181.69,56.32
Saw Kill,0.22,12.06,0.29,0.45,7121.808,NA,42.005,15.48,NA,315.87,20.03,51.04,157.2,18.94,0.26,NA,NA,NA,9.45,10.59666667,NA,1935.486667,1.455,NA,NA,NA,NA,76.29,0.03,NA,5.5,NA,NA,NA,NA,0.682,24.928,NA,NA,86,2.75,NA,42,NA,6.25,NA,1.65,NA,6,2.32,1913.361667,21821.466,NA,0.98,0.955,3.25,8.98,NA,NA,0.38,NA,44.305
Sherriff Lake Outlet,3.605,4.795,2.595,2.645,3382.665,NA,44.155,14.875,NA,150.05,NA,0.68,201.32,NA,NA,NA,NA,NA,2.77,11.5,NA,0.3,NA,9.5,NA,NA,NA,1818.78,NA,NA,6.166666667,NA,0,NA,NA,21.175,9.07,0.26,2.25,33.5,2.666666667,300,55,1.91,6.15,2.55,NA,0.38,24,2.305,1.9125,33691.31,24.165,0.675,0.835,3.333333333,NA,NA,0.76,59.88,NA,NA
Snook Kill,1.16,3.83,1.72,2.1,2839.69,NA,41.4425,18.2275,0.56,113.3683333,3.085,8.326,117.2466667,2.51,0.29,NA,0.3,49.41,9.891666667,10.574,NA,1152.246667,0.726666667,12.5,NA,NA,25.5,894.79,NA,110.595,32.59666667,281.51,0.4,8.723333333,180.04,4.443333333,17.07666667,0.222,NA,23.5,2.5,14500,38,NA,6.05,NA,0.96,1.413333333,2.155,1.26,12011.58857,81878.98,17.325,0.45,0.82,4,3.415,NA,1.546666667,0.263333333,127.2466667,38.135
Sprout Creek,NA,NA,NA,NA,2162.0275,NA,41.09333333,27.03,0.56,97.135,2.23,26.82,114.665,1.806666667,0.286666667,NA,NA,73.545,9.74,16.27,NA,0.845,0.883333333,NA,NA,NA,25.5,77.32,0.03,73.78666667,42.58333333,312.765,1,10.035,180.04,0.7525,21.175,0.205,NA,47.25,2,14500,37.5,NA,6.15,NA,0.743333333,2.34,9,1.265,25017.7175,95410.58,17.7,0.35,0.605,4,2.44,NA,2.3,0.29,133.94,37.50666667
Steele Creek,0.455,12.06,0.29,0.45,6851.273333,NA,40.75,15.35,NA,376.9033333,37.62,43.905,167.35,37.6,0.37,NA,0.3,1.14,5,9.345,NA,2409.855,0.69,14,NA,10.29,NA,684.145,0.115,NA,21.11,219,0,6.1,NA,0.62,24.60333333,0.23,NA,NA,3,NA,NA,NA,NA,NA,NA,1.52,NA,NA,2.722,17767.03333,NA,NA,NA,3.333333333,5.7,NA,1.58,0.15,113.86,12.72
Sterling Creek,1.435,5.932857143,1.395,3.256666667,2496.368182,NA,217.095,15.86142857,0.305,119.7881818,8.456,17.6575,118.23,7.186666667,0.222,2.73,1.043333333,17.055,14.38888889,11.67333333,0.08,684.6275,1.628,12.5,0.6,14.105,25.5,345.6590909,0.1,62.206,75.6,231.33,0.738571429,10.80666667,268.27,6.770909091,26.764,0.212857143,NA,35.75,3.090909091,14500,43.25,NA,6.4,NA,1.3,1.49,8,1.447142857,7472.715833,660542.1955,22.968,0.58,1.021428571,3.545454545,12.42666667,119.06,1.31,0.234,91.565,42.004
Stewart Creek,0.22,12.06,0.29,0.45,14599.04,NA,38.69,15.07,NA,826.07,37.62,87.28,61.88,37.6,0.37,NA,NA,NA,2.54,10.36,NA,2200,0.69,NA,NA,NA,NA,58.84,NA,NA,3.5,NA,NA,NA,NA,0.16,42.87,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,6953.1,NA,NA,NA,4,5.7,NA,NA,NA,NA,12.72
