PartSite,Species,Presence,Origin
Big Brook I,Lysimachia nummularia,1,I
Fishkill Creek I,Lysimachia nummularia,1,I
Indian Kill I,Lysimachia nummularia,1,I
Minots Corner Road I,Lysimachia nummularia,1,I
Mohawk River I,Lysimachia nummularia,1,I
Snook Kill I,Lysimachia nummularia,1,I
Sterling Creek I,Lysimachia nummularia,1,I
Wappinger Creek I,Lysimachia nummularia,1,I
Wharton Hollow Creek I,Lysimachia nummularia,1,I
Alplaus Kill I,Lythrum salicaria,1,I
Ballston Creek I,Lythrum salicaria,1,I
Cobleskill Creek I,Lythrum salicaria,1,I
Evas Kill I,Lythrum salicaria,1,I
Fawn Lake I,Lythrum salicaria,1,I
Indian Kill I,Lythrum salicaria,1,I
Kayaderosseras Creek I,Lythrum salicaria,1,I
Landsman Kill I,Lythrum salicaria,1,I
Plotter Kill I,Lythrum salicaria,1,I
Roeliff Jansen Kill I,Lythrum salicaria,1,I
Snook Kill I,Lythrum salicaria,1,I
Sprout Creek I,Lythrum salicaria,1,I
Wappinger Creek I,Lythrum salicaria,1,I
Fishkill Creek I,Malus pumila,1,I
Kinderhook Creek I,Malus pumila,1,I
Cobleskill Creek I,Melilotus officinalis,1,I
Fawn Lake I,Melilotus officinalis,1,I
Keyser Kill I,Melilotus officinalis,1,I
Landsman Kill I,Melilotus officinalis,1,I
Plotter Kill I,Melilotus officinalis,1,I
Timmerman Creek I,Melilotus officinalis,1,I
Wharton Hollow Creek I,Melilotus officinalis,1,I
Cobleskill Creek I,Myosotis scorpioides,1,I
Fawn Lake I,Myosotis scorpioides,1,I
Wharton Hollow Creek I,Myosotis scorpioides,1,I
Battenkill I,Phleum pratense,1,I
Cedar River I,Phleum pratense,1,I
Fawn Lake I,Phleum pratense,1,I
Paragon Brook I,Phleum pratense,1,I
Quacken Kill I,Phleum pratense,1,I
Battenkill I,Plantago lanceolata,1,I
Big Brook I,Plantago lanceolata,1,I
Alplaus Kill I,Plantago major,1,I
Big Brook I,Plantago major,1,I
Boreas River I,Plantago major,1,I
Cobleskill Creek I,Plantago major,1,I
Evas Kill I,Plantago major,1,I
Fawn Lake I,Plantago major,1,I
Indian Kill I,Plantago major,1,I
Kayaderosseras Creek I,Plantago major,1,I
Kennyetto Creek I,Plantago major,1,I
Kinderhook Creek I,Plantago major,1,I
Lansing Kill I,Plantago major,1,I
Potic Creek I,Plantago major,1,I
Quacken Kill I,Plantago major,1,I
Snook Kill I,Plantago major,1,I
Sprout Creek I,Plantago major,1,I
Sterling Creek I,Plantago major,1,I
Stony Creek I,Plantago major,1,I
Alplaus Kill I,Polygonum cuspidatum,1,I
Green River I,Polygonum cuspidatum,1,I
Kayaderosseras Creek I,Polygonum cuspidatum,1,I
Keyser Kill I,Polygonum cuspidatum,1,I
Steele Creek I,Polygonum cuspidatum,1,I
Fawn Lake I,Polygonum hydropiper,1,I
Saw Kill I,Polygonum hydropiper,1,I
Ballston Creek I,Polygonum persicaria,1,I
Cobleskill Creek I,Polygonum persicaria,1,I
Evas Kill I,Polygonum persicaria,1,I
Indian Brook I,Polygonum persicaria,1,I
Kayaderosseras Creek I,Polygonum persicaria,1,I
Potic Creek I,Polygonum persicaria,1,I
Quacken Kill I,Polygonum persicaria,1,I
Sprout Creek I,Polygonum persicaria,1,I
Stony Creek I,Polygonum persicaria,1,I
Landsman Kill I,Potentilla recta,1,I
Alplaus Kill I,Rhamnus cathartica,1,I
Ballston Creek I,Rhamnus cathartica,1,I
Indian Kill I,Rhamnus cathartica,1,I
Quacken Kill I,Rhamnus cathartica,1,I
Alplaus Kill I,Rosa multiflora,1,I
Alplaus Kill I,Rosa multiflora,1,I
Beaver Kill I,Rosa multiflora,1,I
Evas Kill I,Rosa multiflora,1,I
Fishkill Creek I,Rosa multiflora,1,I
Green River I,Rosa multiflora,1,I
Indian Brook I,Rosa multiflora,1,I
Kinderhook Creek I,Rosa multiflora,1,I
Landsman Kill I,Rosa multiflora,1,I
Mohawk River I,Rosa multiflora,1,I
Plotter Kill I,Rosa multiflora,1,I
Potic Creek I,Rosa multiflora,1,I
Quacken Kill I,Rosa multiflora,1,I
Roeliff Jansen Kill I,Rosa multiflora,1,I
Saw Kill I,Rosa multiflora,1,I
Sprout Creek I,Rosa multiflora,1,I
Steele Creek I,Rosa multiflora,1,I
Stony Creek I,Rosa multiflora,1,I
Valatie Kill I,Rosa multiflora,1,I
Wappinger Creek I,Rosa multiflora,1,I
Mill Creek I,Rubus phoenicolasius,1,I
Robbs Creek I,Rubus phoenicolasius,1,I
Sherriff Lake Outlet I,Rubus phoenicolasius,1,I
Big Brook I,Rumex crispus,1,I
Cedar River I,Rumex crispus,1,I
Kayaderosseras Creek I,Rumex crispus,1,I
Kinderhook Creek I,Rumex crispus,1,I
Mill Brook I,Rumex crispus,1,I
Plotter Kill I,Rumex crispus,1,I
Sherriff Lake Outlet I,Rumex crispus,1,I
Snook Kill I,Rumex crispus,1,I
Sterling Creek I,Rumex crispus,1,I
Trout Brook I,Rumex crispus,1,I
Cobleskill Creek I,Rumex obtusifolius,1,I
Keyser Kill I,Rumex obtusifolius,1,I
Roeliff Jansen Kill I,Rumex obtusifolius,1,I
Wharton Hollow Creek I,Rumex obtusifolius,1,I
Cedar River I,Salix alba,1,I
Chester Creek I,Salix alba,1,I
Cobleskill Creek I,Salix alba,1,I
Fawn Lake I,Salix alba,1,I
Four Mile Brook I,Salix alba,1,I
Hans Creek I,Salix alba,1,I
Hans Creek I,Salix alba,1,I
Jassup River I,Salix alba,1,I
New Pond Brook I,Salix alba,1,I
North Branch West Stony Creek I,Salix alba,1,I
Robbs Creek I,Salix alba,1,I
Sherriff Lake Outlet I,Salix alba,1,I
Timmerman Creek I,Salix alba,1,I
Wharton Hollow Creek I,Salix alba,1,I
Roeliff Jansen Kill I,Salix pentandra,1,I
Big Brook I,Saponaria officinalis,1,I
Quacken Kill I,Saponaria officinalis,1,I
Boreas River I,Securigera varia,1,I
Cobleskill Creek I,Securigera varia,1,I
Kennyetto Creek I,Securigera varia,1,I
Keyser Kill I,Securigera varia,1,I
Mill Brook I,Securigera varia,1,I
New Pond Brook I,Securigera varia,1,I
Sherriff Lake Outlet I,Securigera varia,1,I
Timmerman Creek I,Silene vulgaris,1,I
Alplaus Kill I,Solanum dulcamara,1,I
Big Brook I,Solanum dulcamara,1,I
Evas Kill I,Solanum dulcamara,1,I
Fawn Lake I,Solanum dulcamara,1,I
Keyser Kill I,Solanum dulcamara,1,I
Sterling Creek I,Solanum dulcamara,1,I
Timmerman Creek I,Solanum dulcamara,1,I
Wharton Hollow Creek I,Solanum dulcamara,1,I
Bullhead Pond Brook I,Sonchus oleraceus,1,I
Kinderhook Creek I,Sonchus oleraceus,1,I
New Pond Brook I,Sonchus oleraceus,1,I
Quacken Kill I,Sonchus oleraceus,1,I
Snook Kill I,Sonchus oleraceus,1,I
Quacken Kill I,Tanacetum vulgare,1,I
Keyser Kill I,Trifolium aureum,1,I
Sterling Creek I,Trifolium aureum,1,I
Kayaderosseras Creek I,Trifolium pratense,1,I
Kennyetto Creek I,Trifolium pratense,1,I
Keyser Kill I,Trifolium pratense,1,I
Kinderhook Creek I,Trifolium pratense,1,I
Landsman Kill I,Trifolium pratense,1,I
Mill Brook I,Trifolium pratense,1,I
Paragon Brook I,Trifolium pratense,1,I
Sterling Creek I,Trifolium pratense,1,I
Stony Creek I,Trifolium pratense,1,I
Timmerman Creek I,Trifolium pratense,1,I
Wharton Hollow Creek I,Trifolium pratense,1,I
Keyser Kill I,Trifolium repens,1,I
Kinderhook Creek I,Trifolium repens,1,I
Beaver Kill I,Tussilago farfara,1,I
Cadman Creek I,Tussilago farfara,1,I
Daly Creek I,Tussilago farfara,1,I
Evas Kill I,Tussilago farfara,1,I
Green River I,Tussilago farfara,1,I
Keyser Kill I,Tussilago farfara,1,I
Lansing Kill I,Tussilago farfara,1,I
Plotter Kill I,Tussilago farfara,1,I
Saw Kill I,Tussilago farfara,1,I
Steele Creek I,Tussilago farfara,1,I
Sterling Creek I,Tussilago farfara,1,I
Stewart Creek I,Tussilago farfara,1,I
Timmerman Creek I,Tussilago farfara,1,I
Wharton Hollow Creek I,Tussilago farfara,1,I
Keyser Kill I,Verbascum thapsus,1,I
Landsman Kill I,Verbascum thapsus,1,I
Plotter Kill I,Verbascum thapsus,1,I
Roeliff Jansen Kill I,Verbascum thapsus,1,I
Kennyetto Creek I,Vinca minor,1,I
Mill Creek N,Abies balsamea,1,N
New Pond Brook N,Abies balsamea,1,N
Sherriff Lake Outlet N,Abies balsamea,1,N
Kennyetto Creek N,Acer negundo,1,N
Landsman Kill N,Acer negundo,1,N
Minots Corner Road N,Acer negundo,1,N
Snook Kill N,Acer negundo,1,N
Stewart Creek N,Acer pensylvanicum,1,N
Bullhead Pond Brook N,Acer rubrum,1,N
Cadman Creek N,Acer rubrum,1,N
Evas Kill N,Acer rubrum,1,N
Fawn Lake N,Acer rubrum,1,N
Hudson River N,Acer rubrum,1,N
Indian Kill N,Acer rubrum,1,N
Kayaderosseras Creek N,Acer rubrum,1,N
Mill Creek N,Acer rubrum,1,N
New Pond Brook N,Acer rubrum,1,N
North Branch West Stony Creek N,Acer rubrum,1,N
Quacken Kill N,Acer rubrum,1,N
Trout Brook N,Acer rubrum,1,N
Fishkill Creek N,Acer saccharinum,1,N
Kayaderosseras Creek N,Acer saccharinum,1,N
Roeliff Jansen Kill N,Acer saccharinum,1,N
Sprout Creek N,Acer saccharinum,1,N
Steele Creek N,Acer saccharinum,1,N
Alplaus Kill N,Acer saccharum,1,N
Ballston Creek N,Acer saccharum,1,N
Beaver Kill N,Acer saccharum,1,N
Bullhead Pond Brook N,Acer saccharum,1,N
Cadman Creek N,Acer saccharum,1,N
Daly Creek N,Acer saccharum,1,N
Evas Kill N,Acer saccharum,1,N
Fawn Lake N,Acer saccharum,1,N
Hans Creek N,Acer saccharum,1,N
Indian Brook N,Acer saccharum,1,N
Keyser Kill N,Acer saccharum,1,N
Kinderhook Creek N,Acer saccharum,1,N
Lansing Kill N,Acer saccharum,1,N
Plotter Kill N,Acer saccharum,1,N
Potic Creek N,Acer saccharum,1,N
Quacken Kill N,Acer saccharum,1,N
Saw Kill N,Acer saccharum,1,N
Stewart Creek N,Acer saccharum,1,N
Stony Creek N,Acer saccharum,1,N
Trout Brook N,Acer saccharum,1,N
Valatie Kill N,Acer saccharum,1,N
Wharton Hollow Creek N,Acer saccharum,1,N
Stewart Creek N,Acer spicatum,1,N
Big Brook N,Ageratina altissima,1,N
Evas Kill N,Ageratina altissima,1,N
Green River N,Ageratina altissima,1,N
Indian Kill N,Ageratina altissima,1,N
Kinderhook Creek N,Ageratina altissima,1,N
Plotter Kill N,Ageratina altissima,1,N
Quacken Kill N,Ageratina altissima,1,N
Alplaus Kill N,Agrimonia gryposepala,1,N
Kinderhook Creek N,Agrimonia gryposepala,1,N
Mill Brook N,Agrimonia gryposepala,1,N
Alplaus Kill N,Agrostis perennans,1,N
Cadman Creek N,Agrostis perennans,1,N
Chester Creek N,Agrostis perennans,1,N
Daly Creek N,Agrostis perennans,1,N
Hans Creek N,Agrostis perennans,1,N
Indian Kill N,Agrostis perennans,1,N
Keyser Kill N,Agrostis perennans,1,N
Mill Brook N,Agrostis perennans,1,N
Mill Creek N,Agrostis perennans,1,N
New Pond Brook N,Agrostis perennans,1,N
North Branch West Stony Creek N,Agrostis perennans,1,N
Robbs Creek N,Agrostis perennans,1,N
Robbs Creek N,Agrostis perennans,1,N
Sherriff Lake Outlet N,Agrostis perennans,1,N
Stewart Creek N,Agrostis perennans,1,N
Trout Brook N,Agrostis perennans,1,N
Boreas River N,Alnus incana,1,N
Cadman Creek N,Alnus incana,1,N
Chester Creek N,Alnus incana,1,N
Daly Creek N,Alnus incana,1,N
Four Mile Brook N,Alnus incana,1,N
Hans Creek N,Alnus incana,1,N
Hudson River N,Alnus incana,1,N
Jassup River N,Alnus incana,1,N
Kennyetto Creek N,Alnus incana,1,N
Mill Brook N,Alnus incana,1,N
Mill Creek N,Alnus incana,1,N
Minots Corner Road N,Alnus incana,1,N
Mohawk River N,Alnus incana,1,N
New Pond Brook N,Alnus incana,1,N
North Branch West Stony Creek N,Alnus incana,1,N
Paragon Brook N,Alnus incana,1,N
Robbs Creek N,Alnus incana,1,N
Sherriff Lake Outlet N,Alnus incana,1,N
Snook Kill N,Alnus incana,1,N
Timmerman Creek N,Alnus incana,1,N
Trout Brook N,Alnus incana,1,N
Wharton Hollow Creek N,Alnus incana,1,N
Ballston Creek N,Ambrosia trifida,1,N
Indian Brook N,Ambrosia trifida,1,N
Indian Kill N,Ambrosia trifida,1,N
Kayaderosseras Creek N,Ambrosia trifida,1,N
Keyser Kill N,Ambrosia trifida,1,N
Landsman Kill N,Ambrosia trifida,1,N
Ballston Creek N,Amphicarpaea bracteata,1,N
Battenkill N,Amphicarpaea bracteata,1,N
Evas Kill N,Amphicarpaea bracteata,1,N
Hans Creek N,Amphicarpaea bracteata,1,N
Indian Kill N,Amphicarpaea bracteata,1,N
Mohawk River N,Amphicarpaea bracteata,1,N
Paragon Brook N,Amphicarpaea bracteata,1,N
Plotter Kill N,Amphicarpaea bracteata,1,N
Potic Creek N,Amphicarpaea bracteata,1,N
Snook Kill N,Amphicarpaea bracteata,1,N
Sterling Creek N,Anemone virginiana,1,N
Alplaus Kill N,Apocynum cannabinum,1,N
Cobleskill Creek N,Apocynum cannabinum,1,N
Daly Creek N,Apocynum cannabinum,1,N
Fawn Lake N,Apocynum cannabinum,1,N
Plotter Kill N,Apocynum cannabinum,1,N
Saw Kill N,Apocynum cannabinum,1,N
Wappinger Creek N,Apocynum cannabinum,1,N
Bullhead Pond Brook N,Arisaema triphyllum,1,N
Cadman Creek N,Arisaema triphyllum,1,N
Daly Creek N,Arisaema triphyllum,1,N
Mill Brook N,Arisaema triphyllum,1,N
Potic Creek N,Arisaema triphyllum,1,N
Alplaus Kill N,Asclepias syriaca,1,N
Kayaderosseras Creek N,Asclepias syriaca,1,N
Paragon Brook N,Asclepias syriaca,1,N
Alplaus Kill N,Athyrium filix-femina,1,N
Cadman Creek N,Athyrium filix-femina,1,N
Daly Creek N,Athyrium filix-femina,1,N
Kinderhook Creek N,Athyrium filix-femina,1,N
Mill Creek N,Athyrium filix-femina,1,N
Mohawk River N,Athyrium filix-femina,1,N
Robbs Creek N,Athyrium filix-femina,1,N
Roeliff Jansen Kill N,Athyrium filix-femina,1,N
Sherriff Lake Outlet N,Athyrium filix-femina,1,N
Valatie Kill N,Athyrium filix-femina,1,N
Fawn Lake N,Betula alleghaniensis,1,N
Hans Creek N,Betula alleghaniensis,1,N
Mohawk River N,Betula alleghaniensis,1,N
Saw Kill N,Betula alleghaniensis,1,N
Stewart Creek N,Betula alleghaniensis,1,N
Cadman Creek N,Betula papyrifera,1,N
Lansing Kill N,Betula papyrifera,1,N
Fawn Lake N,Bidens connata,1,N
Alplaus Kill N,Bidens frondosa,1,N
Ballston Creek N,Bidens frondosa,1,N
Big Brook N,Bidens frondosa,1,N
Cobleskill Creek N,Bidens frondosa,1,N
Evas Kill N,Bidens frondosa,1,N
Indian Kill N,Bidens frondosa,1,N
Kayaderosseras Creek N,Bidens frondosa,1,N
Landsman Kill N,Bidens frondosa,1,N
Potic Creek N,Bidens frondosa,1,N
Quacken Kill N,Bidens frondosa,1,N
Snook Kill N,Bidens frondosa,1,N
Stony Creek N,Bidens frondosa,1,N
Sterling Creek N,Blephilia hirsuta,1,N
Cadman Creek N,Boehmeria cylindrica,1,N
Indian Brook N,Boehmeria cylindrica,1,N
Kinderhook Creek N,Boehmeria cylindrica,1,N
Landsman Kill N,Boehmeria cylindrica,1,N
Mill Brook N,Boehmeria cylindrica,1,N
Potic Creek N,Boehmeria cylindrica,1,N
Trout Brook N,Boehmeria cylindrica,1,N
Alplaus Kill N,Brachyelytrum aristosum,1,N
Bullhead Pond Brook N,Brachyelytrum aristosum,1,N
Cadman Creek N,Brachyelytrum aristosum,1,N
Daly Creek N,Brachyelytrum aristosum,1,N
Hans Creek N,Brachyelytrum aristosum,1,N
Indian Brook N,Brachyelytrum aristosum,1,N
Indian Kill N,Brachyelytrum aristosum,1,N
Landsman Kill N,Brachyelytrum aristosum,1,N
Mill Creek N,Brachyelytrum aristosum,1,N
North Branch West Stony Creek N,Brachyelytrum aristosum,1,N
Potic Creek N,Brachyelytrum aristosum,1,N
Quacken Kill N,Brachyelytrum aristosum,1,N
Robbs Creek N,Brachyelytrum aristosum,1,N
Saw Kill N,Brachyelytrum aristosum,1,N
Sherriff Lake Outlet N,Brachyelytrum aristosum,1,N
Stewart Creek N,Brachyelytrum aristosum,1,N
Stony Creek N,Brachyelytrum aristosum,1,N
Trout Brook N,Brachyelytrum aristosum,1,N
Robbs Creek N,Bromus ciliatus,1,N
Mill Creek N,Bromus pubescens,1,N
Ballston Creek N,Carex crinita,1,N
Beaver Kill N,Carex crinita,1,N
Cadman Creek N,Carex crinita,1,N
Daly Creek N,Carex crinita,1,N
Four Mile Brook N,Carex crinita,1,N
Hans Creek N,Carex crinita,1,N
Kayaderosseras Creek N,Carex crinita,1,N
Kayaderosseras Creek N,Carex crinita,1,N
Keyser Kill N,Carex crinita,1,N
Potic Creek N,Carex crinita,1,N
Sherriff Lake Outlet N,Carex crinita,1,N
Keyser Kill N,Carex scoparia,1,N
Ballston Creek N,Carpinus caroliniana,1,N
Battenkill N,Carpinus caroliniana,1,N
Indian Kill N,Carpinus caroliniana,1,N
Kinderhook Creek N,Carpinus caroliniana,1,N
Lansing Kill N,Carpinus caroliniana,1,N
Mohawk River N,Carpinus caroliniana,1,N
Potic Creek N,Carpinus caroliniana,1,N
Sterling Creek N,Carpinus caroliniana,1,N
Stony Creek N,Carpinus caroliniana,1,N
Wharton Hollow Creek N,Carpinus caroliniana,1,N
Ballston Creek N,Carya cordiformis,1,N
Hans Creek N,Carya cordiformis,1,N
Alplaus Kill N,Carya ovata,1,N
Stony Creek N,Cephalanthus occidentalis,1,N
Cadman Creek N,Chelone glabra,1,N
Cedar River N,Chelone glabra,1,N
Four Mile Brook N,Chelone glabra,1,N
Mill Creek N,Chelone glabra,1,N
New Pond Brook N,Chelone glabra,1,N
North Branch West Stony Creek N,Chelone glabra,1,N
Robbs Creek N,Chelone glabra,1,N
Sherriff Lake Outlet N,Chelone glabra,1,N
Trout Brook N,Chelone glabra,1,N
Ballston Creek N,Cicuta maculata,1,N
Big Brook N,Cicuta maculata,1,N
Cedar River N,Cicuta maculata,1,N
Evas Kill N,Cicuta maculata,1,N
Kinderhook Creek N,Cicuta maculata,1,N
Mill Creek N,Cicuta maculata,1,N
Plotter Kill N,Cicuta maculata,1,N
Quacken Kill N,Cicuta maculata,1,N
Steele Creek N,Cicuta maculata,1,N
Sterling Creek N,Cicuta maculata,1,N
Stewart Creek N,Cicuta maculata,1,N
Timmerman Creek N,Cicuta maculata,1,N
Cadman Creek N,Cinna arundinacea,1,N
Evas Kill N,Cinna arundinacea,1,N
Quacken Kill N,Cinna arundinacea,1,N
Snook Kill N,Cinna arundinacea,1,N
Cadman Creek N,Circaea lutetiana,1,N
Daly Creek N,Circaea lutetiana,1,N
Evas Kill N,Circaea lutetiana,1,N
Indian Brook N,Circaea lutetiana,1,N
Indian Kill N,Circaea lutetiana,1,N
Potic Creek N,Circaea lutetiana,1,N
Robbs Creek N,Circaea lutetiana,1,N
Stony Creek N,Circaea lutetiana,1,N
Wharton Hollow Creek N,Circaea lutetiana,1,N
Beaver Kill N,Clematis virginiana,1,N
Big Brook N,Clematis virginiana,1,N
Boreas River N,Clematis virginiana,1,N
Cadman Creek N,Clematis virginiana,1,N
Cedar River N,Clematis virginiana,1,N
Daly Creek N,Clematis virginiana,1,N
Fawn Lake N,Clematis virginiana,1,N
Four Mile Brook N,Clematis virginiana,1,N
Mill Creek N,Clematis virginiana,1,N
North Branch West Stony Creek N,Clematis virginiana,1,N
Quacken Kill N,Clematis virginiana,1,N
Robbs Creek N,Clematis virginiana,1,N
Sherriff Lake Outlet N,Clematis virginiana,1,N
Sprout Creek N,Clematis virginiana,1,N
Sterling Creek N,Clematis virginiana,1,N
Stewart Creek N,Clematis virginiana,1,N
Timmerman Creek N,Clematis virginiana,1,N
Trout Brook N,Clematis virginiana,1,N
Wharton Hollow Creek N,Clematis virginiana,1,N
Beaver Kill N,Clinopodium vulgare,1,N
Evas Kill N,Collinsonia canadensis,1,N
Fawn Lake N,Cornus amomum,1,N
Sprout Creek N,Cornus amomum,1,N
Hudson River N,Cornus canadensis,1,N
Fishkill Creek N,Cornus obliqua,1,N
Hudson River N,Cornus obliqua,1,N
Lansing Kill N,Cornus obliqua,1,N
Mohawk River N,Cornus obliqua,1,N
Potic Creek N,Cornus obliqua,1,N
Snook Kill N,Cornus obliqua,1,N
Sterling Creek N,Cornus obliqua,1,N
Boreas River N,Cornus rugosa,1,N
Minots Corner Road N,Cornus rugosa,1,N
Sterling Creek N,Cornus rugosa,1,N
Timmerman Creek N,Cornus rugosa,1,N
Ballston Creek N,Cornus sericea,1,N
Battenkill N,Cornus sericea,1,N
Boreas River N,Cornus sericea,1,N
Cadman Creek N,Cornus sericea,1,N
Chester Creek N,Cornus sericea,1,N
Daly Creek N,Cornus sericea,1,N
Indian Kill N,Cornus sericea,1,N
Kennyetto Creek N,Cornus sericea,1,N
Kinderhook Creek N,Cornus sericea,1,N
Mill Brook N,Cornus sericea,1,N
Paragon Brook N,Cornus sericea,1,N
Snook Kill N,Cornus sericea,1,N
Steele Creek N,Cornus sericea,1,N
Trout Brook N,Cornus sericea,1,N
Wappinger Creek N,Cornus sericea,1,N
Lansing Kill N,Corylus cornuta,1,N
Evas Kill N,Cryptotaenia canadensis,1,N
Ballston Creek N,Cyperus strigosus,1,N
Chester Creek N,Cyperus strigosus,1,N
Kayaderosseras Creek N,Cyperus strigosus,1,N
Battenkill N,Dichanthelium clandestinum,1,N
Beaver Kill N,Dichanthelium clandestinum,1,N
Cadman Creek N,Dichanthelium clandestinum,1,N
Cedar River N,Dichanthelium clandestinum,1,N
Hans Creek N,Dichanthelium clandestinum,1,N
Indian Brook N,Dichanthelium clandestinum,1,N
Indian Kill N,Dichanthelium clandestinum,1,N
Kayaderosseras Creek N,Dichanthelium clandestinum,1,N
Kennyetto Creek N,Dichanthelium clandestinum,1,N
