River,Species,Presence,Origin
Kinderhook Creek,trifolium_pratense,1,I
Landsman Kill,trifolium_pratense,1,I
Mill Brook,trifolium_pratense,1,I
Paragon Brook,trifolium_pratense,1,I
Sterling Creek,trifolium_pratense,1,I
Stony Creek,trifolium_pratense,1,I
Timmerman Creek,trifolium_pratense,1,I
Wharton Hollow Creek,trifolium_pratense,1,I
Keyser Kill,trifolium_repens,1,I
Kinderhook Creek,trifolium_repens,1,I
Beaver Kill,tussilago_farfara,1,I
Cadman Creek,tussilago_farfara,1,I
Daly Creek,tussilago_farfara,1,I
Evas Kill,tussilago_farfara,1,I
Green River,tussilago_farfara,1,I
Keyser Kill,tussilago_farfara,1,I
Lansing Kill,tussilago_farfara,1,I
Plotter Kill,tussilago_farfara,1,I
Saw Kill,tussilago_farfara,1,I
Steele Creek,tussilago_farfara,1,I
Sterling Creek,tussilago_farfara,1,I
Stewart Creek,tussilago_farfara,1,I
Timmerman Creek,tussilago_farfara,1,I
Wharton Hollow Creek,tussilago_farfara,1,I
Keyser Kill,verbascum_thapsus,1,I
Landsman Kill,verbascum_thapsus,1,I
Plotter Kill,verbascum_thapsus,1,I
Roeliff Jansen Kill,verbascum_thapsus,1,I
Kennyetto Creek,vinca_minor,1,I
Mill Creek,abies_balsamea,1,N
New Pond Brook,abies_balsamea,1,N
Sherriff Lake Outlet,abies_balsamea,1,N
Kennyetto Creek,acer_negundo,1,N
Landsman Kill,acer_negundo,1,N
Minots Corner Road,acer_negundo,1,N
Snook Kill,acer_negundo,1,N
Stewart Creek,acer_pensylvanicum,1,N
Bullhead Pond Brook,acer_rubrum,1,N
Cadman Creek,acer_rubrum,1,N
Evas Kill,acer_rubrum,1,N
Fawn Lake,acer_rubrum,1,N
Hudson River,acer_rubrum,1,N
Indian Kill,acer_rubrum,1,N
Kayaderosseras Creek,acer_rubrum,1,N
Mill Creek,acer_rubrum,1,N
New Pond Brook,acer_rubrum,1,N
North Branch West Stony Creek,acer_rubrum,1,N
Quacken Kill,acer_rubrum,1,N
Trout Brook,acer_rubrum,1,N
Fishkill Creek,acer_saccharinum,1,N
Kayaderosseras Creek,acer_saccharinum,1,N
Roeliff Jansen Kill,acer_saccharinum,1,N
Sprout Creek,acer_saccharinum,1,N
Steele Creek,acer_saccharinum,1,N
Alplaus Kill,acer_saccharum,1,N
Ballston Creek,acer_saccharum,1,N
Beaver Kill,acer_saccharum,1,N
Bullhead Pond Brook,acer_saccharum,1,N
Cadman Creek,acer_saccharum,1,N
Daly Creek,acer_saccharum,1,N
Evas Kill,acer_saccharum,1,N
Fawn Lake,acer_saccharum,1,N
Hans Creek,acer_saccharum,1,N
Indian Brook,acer_saccharum,1,N
Keyser Kill,acer_saccharum,1,N
Kinderhook Creek,acer_saccharum,1,N
Lansing Kill,acer_saccharum,1,N
Plotter Kill,acer_saccharum,1,N
Potic Creek,acer_saccharum,1,N
Quacken Kill,acer_saccharum,1,N
Saw Kill,acer_saccharum,1,N
Stewart Creek,acer_saccharum,1,N
Stony Creek,acer_saccharum,1,N
Trout Brook,acer_saccharum,1,N
Valatie Kill,acer_saccharum,1,N
Wharton Hollow Creek,acer_saccharum,1,N
Stewart Creek,acer_spicatum,1,N
Big Brook,ageratina_altissima,1,N
Evas Kill,ageratina_altissima,1,N
Green River,ageratina_altissima,1,N
Indian Kill,ageratina_altissima,1,N
Kinderhook Creek,ageratina_altissima,1,N
Plotter Kill,ageratina_altissima,1,N
Quacken Kill,ageratina_altissima,1,N
Alplaus Kill,agrimonia_gryposepala,1,N
Kinderhook Creek,agrimonia_gryposepala,1,N
Mill Brook,agrimonia_gryposepala,1,N
Alplaus Kill,agrostis_perennans,1,N
Cadman Creek,agrostis_perennans,1,N
Chester Creek,agrostis_perennans,1,N
Daly Creek,agrostis_perennans,1,N
Hans Creek,agrostis_perennans,1,N
Indian Kill,agrostis_perennans,1,N
Keyser Kill,agrostis_perennans,1,N
Mill Brook,agrostis_perennans,1,N
Mill Creek,agrostis_perennans,1,N
New Pond Brook,agrostis_perennans,1,N
North Branch West Stony Creek,agrostis_perennans,1,N
Robbs Creek,agrostis_perennans,1,N
Robbs Creek,agrostis_perennans,1,N
Sherriff Lake Outlet,agrostis_perennans,1,N
Stewart Creek,agrostis_perennans,1,N
Trout Brook,agrostis_perennans,1,N
Boreas River,alnus_incana,1,N
Cadman Creek,alnus_incana,1,N
Chester Creek,alnus_incana,1,N
Daly Creek,alnus_incana,1,N
Four Mile Brook,alnus_incana,1,N
Hans Creek,alnus_incana,1,N
Hudson River,alnus_incana,1,N
Jassup River,alnus_incana,1,N
Kennyetto Creek,alnus_incana,1,N
Mill Brook,alnus_incana,1,N
Mill Creek,alnus_incana,1,N
Minots Corner Road,alnus_incana,1,N
Mohawk River,alnus_incana,1,N
New Pond Brook,alnus_incana,1,N
North Branch West Stony Creek,alnus_incana,1,N
Paragon Brook,alnus_incana,1,N
Robbs Creek,alnus_incana,1,N
Sherriff Lake Outlet,alnus_incana,1,N
Snook Kill,alnus_incana,1,N
Timmerman Creek,alnus_incana,1,N
Trout Brook,alnus_incana,1,N
Wharton Hollow Creek,alnus_incana,1,N
Ballston Creek,ambrosia_trifida,1,N
Indian Brook,ambrosia_trifida,1,N
Indian Kill,ambrosia_trifida,1,N
Kayaderosseras Creek,ambrosia_trifida,1,N
Keyser Kill,ambrosia_trifida,1,N
Landsman Kill,ambrosia_trifida,1,N
Ballston Creek,amphicarpaea_bracteata,1,N
Battenkill,amphicarpaea_bracteata,1,N
Evas Kill,amphicarpaea_bracteata,1,N
Hans Creek,amphicarpaea_bracteata,1,N
Indian Kill,amphicarpaea_bracteata,1,N
Mohawk River,amphicarpaea_bracteata,1,N
Paragon Brook,amphicarpaea_bracteata,1,N
Plotter Kill,amphicarpaea_bracteata,1,N
Potic Creek,amphicarpaea_bracteata,1,N
Snook Kill,amphicarpaea_bracteata,1,N
Sterling Creek,anemone_virginiana,1,N
Alplaus Kill,apocynum_cannabinum,1,N
Cobleskill Creek,apocynum_cannabinum,1,N
Daly Creek,apocynum_cannabinum,1,N
Fawn Lake,apocynum_cannabinum,1,N
Plotter Kill,apocynum_cannabinum,1,N
Saw Kill,apocynum_cannabinum,1,N
Wappinger Creek,apocynum_cannabinum,1,N
Bullhead Pond Brook,arisaema_triphyllum,1,N
Cadman Creek,arisaema_triphyllum,1,N
Daly Creek,arisaema_triphyllum,1,N
Mill Brook,arisaema_triphyllum,1,N
Potic Creek,arisaema_triphyllum,1,N
Alplaus Kill,asclepias_syriaca,1,N
Kayaderosseras Creek,asclepias_syriaca,1,N
Paragon Brook,asclepias_syriaca,1,N
Alplaus Kill,athyrium_filix-femina,1,N
Cadman Creek,athyrium_filix-femina,1,N
Daly Creek,athyrium_filix-femina,1,N
Kinderhook Creek,athyrium_filix-femina,1,N
Mill Creek,athyrium_filix-femina,1,N
Mohawk River,athyrium_filix-femina,1,N
Robbs Creek,athyrium_filix-femina,1,N
Roeliff Jansen Kill,athyrium_filix-femina,1,N
Sherriff Lake Outlet,athyrium_filix-femina,1,N
Valatie Kill,athyrium_filix-femina,1,N
Fawn Lake,betula_alleghaniensis,1,N
Hans Creek,betula_alleghaniensis,1,N
Mohawk River,betula_alleghaniensis,1,N
Saw Kill,betula_alleghaniensis,1,N
Stewart Creek,betula_alleghaniensis,1,N
Cadman Creek,betula_papyrifera,1,N
Lansing Kill,betula_papyrifera,1,N
Fawn Lake,bidens_connata,1,N
Alplaus Kill,bidens_frondosa,1,N
Ballston Creek,bidens_frondosa,1,N
Big Brook,bidens_frondosa,1,N
Cobleskill Creek,bidens_frondosa,1,N
Evas Kill,bidens_frondosa,1,N
Indian Kill,bidens_frondosa,1,N
Kayaderosseras Creek,bidens_frondosa,1,N
Landsman Kill,bidens_frondosa,1,N
Potic Creek,bidens_frondosa,1,N
Quacken Kill,bidens_frondosa,1,N
Snook Kill,bidens_frondosa,1,N
Stony Creek,bidens_frondosa,1,N
Sterling Creek,blephilia_hirsuta,1,N
Cadman Creek,boehmeria_cylindrica,1,N
Indian Brook,boehmeria_cylindrica,1,N
Kinderhook Creek,boehmeria_cylindrica,1,N
Landsman Kill,boehmeria_cylindrica,1,N
Mill Brook,boehmeria_cylindrica,1,N
Potic Creek,boehmeria_cylindrica,1,N
Trout Brook,boehmeria_cylindrica,1,N
Alplaus Kill,brachyelytrum_aristosum,1,N
Bullhead Pond Brook,brachyelytrum_aristosum,1,N
Cadman Creek,brachyelytrum_aristosum,1,N
Daly Creek,brachyelytrum_aristosum,1,N
Hans Creek,brachyelytrum_aristosum,1,N
Indian Brook,brachyelytrum_aristosum,1,N
Indian Kill,brachyelytrum_aristosum,1,N
Landsman Kill,brachyelytrum_aristosum,1,N
Mill Creek,brachyelytrum_aristosum,1,N
North Branch West Stony Creek,brachyelytrum_aristosum,1,N
Potic Creek,brachyelytrum_aristosum,1,N
Quacken Kill,brachyelytrum_aristosum,1,N
Robbs Creek,brachyelytrum_aristosum,1,N
Saw Kill,brachyelytrum_aristosum,1,N
Sherriff Lake Outlet,brachyelytrum_aristosum,1,N
Stewart Creek,brachyelytrum_aristosum,1,N
Stony Creek,brachyelytrum_aristosum,1,N
Trout Brook,brachyelytrum_aristosum,1,N
Robbs Creek,bromus_ciliatus,1,N
Mill Creek,bromus_pubescens,1,N
Ballston Creek,carex_crinita,1,N
Beaver Kill,carex_crinita,1,N
Cadman Creek,carex_crinita,1,N
Daly Creek,carex_crinita,1,N
Four Mile Brook,carex_crinita,1,N
Hans Creek,carex_crinita,1,N
Kayaderosseras Creek,carex_crinita,1,N
Kayaderosseras Creek,carex_crinita,1,N
Keyser Kill,carex_crinita,1,N
Potic Creek,carex_crinita,1,N
Sherriff Lake Outlet,carex_crinita,1,N
Keyser Kill,carex_scoparia,1,N
Ballston Creek,carpinus_caroliniana,1,N
Battenkill,carpinus_caroliniana,1,N
Indian Kill,carpinus_caroliniana,1,N
Kinderhook Creek,carpinus_caroliniana,1,N
Lansing Kill,carpinus_caroliniana,1,N
Mohawk River,carpinus_caroliniana,1,N
Potic Creek,carpinus_caroliniana,1,N
Sterling Creek,carpinus_caroliniana,1,N
Stony Creek,carpinus_caroliniana,1,N
Wharton Hollow Creek,carpinus_caroliniana,1,N
Ballston Creek,carya_cordiformis,1,N
Hans Creek,carya_cordiformis,1,N
Alplaus Kill,carya_ovata,1,N
Stony Creek,cephalanthus_occidentalis,1,N
Cadman Creek,chelone_glabra,1,N
Cedar River,chelone_glabra,1,N
Four Mile Brook,chelone_glabra,1,N
Mill Creek,chelone_glabra,1,N
New Pond Brook,chelone_glabra,1,N
North Branch West Stony Creek,chelone_glabra,1,N
Robbs Creek,chelone_glabra,1,N
Sherriff Lake Outlet,chelone_glabra,1,N
Trout Brook,chelone_glabra,1,N
Ballston Creek,cicuta_maculata,1,N
Big Brook,cicuta_maculata,1,N
Cedar River,cicuta_maculata,1,N
Evas Kill,cicuta_maculata,1,N
Kinderhook Creek,cicuta_maculata,1,N
Mill Creek,cicuta_maculata,1,N
Plotter Kill,cicuta_maculata,1,N
Quacken Kill,cicuta_maculata,1,N
Steele Creek,cicuta_maculata,1,N
Sterling Creek,cicuta_maculata,1,N
Stewart Creek,cicuta_maculata,1,N
Timmerman Creek,cicuta_maculata,1,N
Cadman Creek,cinna_arundinacea,1,N
Evas Kill,cinna_arundinacea,1,N
Quacken Kill,cinna_arundinacea,1,N
Snook Kill,cinna_arundinacea,1,N
Cadman Creek,circaea_lutetiana,1,N
Daly Creek,circaea_lutetiana,1,N
Evas Kill,circaea_lutetiana,1,N
Indian Brook,circaea_lutetiana,1,N
Indian Kill,circaea_lutetiana,1,N
Potic Creek,circaea_lutetiana,1,N
Robbs Creek,circaea_lutetiana,1,N
Stony Creek,circaea_lutetiana,1,N
Wharton Hollow Creek,circaea_lutetiana,1,N
Beaver Kill,clematis_virginiana,1,N
Big Brook,clematis_virginiana,1,N
Boreas River,clematis_virginiana,1,N
Cadman Creek,clematis_virginiana,1,N
Cedar River,clematis_virginiana,1,N
Daly Creek,clematis_virginiana,1,N
Fawn Lake,clematis_virginiana,1,N
Four Mile Brook,clematis_virginiana,1,N
Mill Creek,clematis_virginiana,1,N
North Branch West Stony Creek,clematis_virginiana,1,N
Quacken Kill,clematis_virginiana,1,N
Robbs Creek,clematis_virginiana,1,N
Sherriff Lake Outlet,clematis_virginiana,1,N
Sprout Creek,clematis_virginiana,1,N
Sterling Creek,clematis_virginiana,1,N
Stewart Creek,clematis_virginiana,1,N
Timmerman Creek,clematis_virginiana,1,N
Trout Brook,clematis_virginiana,1,N
Wharton Hollow Creek,clematis_virginiana,1,N
Beaver Kill,clinopodium_vulgare,1,N
Evas Kill,collinsonia_canadensis,1,N
Fawn Lake,cornus_amomum,1,N
Sprout Creek,cornus_amomum,1,N
Hudson River,cornus_canadensis,1,N
Fishkill Creek,cornus_obliqua,1,N
Hudson River,cornus_obliqua,1,N
Lansing Kill,cornus_obliqua,1,N
Mohawk River,cornus_obliqua,1,N
Potic Creek,cornus_obliqua,1,N
Snook Kill,cornus_obliqua,1,N
Sterling Creek,cornus_obliqua,1,N
Boreas River,cornus_rugosa,1,N
Minots Corner Road,cornus_rugosa,1,N
Sterling Creek,cornus_rugosa,1,N
Timmerman Creek,cornus_rugosa,1,N
Ballston Creek,cornus_sericea,1,N
Battenkill,cornus_sericea,1,N
Boreas River,cornus_sericea,1,N
Cadman Creek,cornus_sericea,1,N
Chester Creek,cornus_sericea,1,N
Daly Creek,cornus_sericea,1,N
Indian Kill,cornus_sericea,1,N
Kennyetto Creek,cornus_sericea,1,N
Kinderhook Creek,cornus_sericea,1,N
Mill Brook,cornus_sericea,1,N
Paragon Brook,cornus_sericea,1,N
Snook Kill,cornus_sericea,1,N
Steele Creek,cornus_sericea,1,N
Trout Brook,cornus_sericea,1,N
Wappinger Creek,cornus_sericea,1,N
Lansing Kill,corylus_cornuta,1,N
Evas Kill,cryptotaenia_canadensis,1,N
Ballston Creek,cyperus_strigosus,1,N
Chester Creek,cyperus_strigosus,1,N
Kayaderosseras Creek,cyperus_strigosus,1,N
Battenkill,dichanthelium_clandestinum,1,N
Beaver Kill,dichanthelium_clandestinum,1,N
Cadman Creek,dichanthelium_clandestinum,1,N
Cedar River,dichanthelium_clandestinum,1,N
Hans Creek,dichanthelium_clandestinum,1,N
Indian Brook,dichanthelium_clandestinum,1,N
Indian Kill,dichanthelium_clandestinum,1,N
Kayaderosseras Creek,dichanthelium_clandestinum,1,N
Kennyetto Creek,dichanthelium_clandestinum,1,N
Kinderhook Creek,dichanthelium_clandestinum,1,N
Mill Brook,dichanthelium_clandestinum,1,N
North Branch West Stony Creek,dichanthelium_clandestinum,1,N
Potic Creek,dichanthelium_clandestinum,1,N
Quacken Kill,dichanthelium_clandestinum,1,N
Roeliff Jansen Kill,dichanthelium_clandestinum,1,N
Snook Kill,dichanthelium_clandestinum,1,N
Trout Brook,dichanthelium_clandestinum,1,N
Fishkill Creek,dioscorea_villosa,1,N
Boreas River,doellingeria_umbellata,1,N
Cedar River,doellingeria_umbellata,1,N
Daly Creek,doellingeria_umbellata,1,N
Four Mile Brook,doellingeria_umbellata,1,N
Hans Creek,doellingeria_umbellata,1,N
Hudson River,doellingeria_umbellata,1,N
Jassup River,doellingeria_umbellata,1,N
Lansing Kill,doellingeria_umbellata,1,N
Mill Brook,doellingeria_umbellata,1,N
Mill Creek,doellingeria_umbellata,1,N
Minots Corner Road,doellingeria_umbellata,1,N
North Branch West Stony Creek,doellingeria_umbellata,1,N
Robbs Creek,doellingeria_umbellata,1,N
Snook Kill,doellingeria_umbellata,1,N
Stewart Creek,doellingeria_umbellata,1,N
Trout Brook,doellingeria_umbellata,1,N
Lansing Kill,dryopteris_carthusiana,1,N
