Code,NewQuad,Species,Present
B1GH,37,Zanthoxylum americanum,1
B1GH,37,Zanthoxylum americanum,1
B1GH,38,Zanthoxylum americanum,1
B1GH,38,Carpinus caroliniana,1
B1GH,38,Zanthoxylum americanum,1
B1GH,38,Carpinus caroliniana,1
B1GH,39,Zanthoxylum americanum,1
B1GH,40,Carpinus caroliniana,1
B1GH,41,Carpinus caroliniana,1
B1GL,1,Glyceria borealis,1
B1GL,1,Lythrum salicaria,1
B1GL,1,Pilea pumila,1
B1GL,2,Glechoma hederacea,1
B1GL,2,Glyceria borealis,1
B1GL,2,Ludwigia palustris,1
B1GL,2,Lysimachia nummularia,1
B1GL,2,Lythrum salicaria,1
B1GL,2,Myosotis laxa,1
B1GL,2,Pilea pumila,1
B1GL,3,Bidens frondosa,1
B1GL,3,Impatiens capensis,1
B1GL,3,Lobelia cardinalis,1
B1GL,3,Onoclea sensibilis,1
B1GL,3,Pilea pumila,1
B1GL,4,Brassica nigra,1
B1GL,4,Glyceria borealis,1
B1GL,4,Lythrum salicaria,1
B1GL,4,Myosotis laxa,1
B1GL,4,Pilea pumila,1
B1GL,4,Polygonum arifolium,1
B1GL,4,Polygonum cespitosum,1
B1GL,4,Viola sp.,1
B1GL,5,Bidens frondosa,1
B1GL,5,Glyceria borealis,1
B1GL,5,Ludwigia palustris,1
B1GL,5,Lysimachia nummularia,1
B1GL,5,Pilea pumila,1
B1GL,6,Bidens frondosa,1
B1GL,6,Lysimachia nummularia,1
B1GL,6,Lythrum salicaria,1
B1GL,6,Myosotis laxa,1
B1GL,6,Pilea pumila,1
B1GL,7,Amphicarpaea bracteata,1
B1GL,7,Glyceria borealis,1
B1GL,7,Lobelia cardinalis,1
B1GL,7,Myosotis laxa,1
B1GL,7,Onoclea sensibilis,1
B1GL,7,Pilea pumila,1
B1GL,7,Scirpus polyphyllus,1
B1GL,8,Impatiens capensis,1
B1GL,8,Lythrum salicaria,1
B1GL,8,Onoclea sensibilis,1
B1GL,8,Pilea pumila,1
B1GL,8,Scirpus polyphyllus,1
B1GL,9,Amphicarpaea bracteata,1
B1GL,9,Impatiens capensis,1
B1GL,9,Matteuccia struthiopteris,1
B1GL,9,Onoclea sensibilis,1
B1GL,10,Clematis virginiana,1
B1GL,10,Impatiens capensis,1
B1GL,10,Onoclea sensibilis,1
B1GL,10,Vitis riparia,1
B1GL,11,Glyceria borealis,1
B1GL,11,Impatiens capensis,1
B1GL,11,Onoclea sensibilis,1
B1GL,11,Pilea pumila,1
B1GL,11,Vitis riparia,1
B1GL,12,Glyceria borealis,1
B1GL,12,Impatiens capensis,1
B1GL,12,Lysimachia nummularia,1
B1GL,12,Myosotis laxa,1
B1GL,12,Pilea pumila,1
B1GL,12,Polygonum cespitosum,1
B1GL,13,Bidens frondosa,1
B1GL,13,Galium asprellum,1
B1GL,13,Glyceria borealis,1
B1GL,13,Impatiens capensis,1
B1GL,13,Ludwigia palustris,1
B1GL,13,Lythrum salicaria,1
B1GL,13,Myosotis laxa,1
B1GL,14,Bidens frondosa,1
B1GL,14,Galium asprellum,1
B1GL,14,Glyceria borealis,1
B1GL,14,Impatiens capensis,1
B1GL,14,Ludwigia palustris,1
B1GL,14,Lythrum salicaria,1
B1GL,14,Pilea pumila,1
B1GL,14,Scirpus polyphyllus,1
B1GL,15,Alisma subcordatum,1
B1GL,15,Impatiens capensis,1
B1GL,15,Lythrum salicaria,1
B1GL,15,Myosoton aquaticum,1
B1GL,15,Pilea pumila,1
B1GL,15,Scirpus polyphyllus,1
B1GL,15,SP06,1
B1GL,16,Bidens frondosa,1
B1GL,16,Glyceria borealis,1
B1GL,16,Impatiens capensis,1
B1GL,16,Ludwigia palustris,1
B1GL,16,Lythrum salicaria,1
B1GL,16,Pilea pumila,1
B1GL,16,Polygonum arifolium,1
B1GL,16,SP06,1
B1GL,17,Alisma subcordatum,1
B1GL,17,Glyceria borealis,1
B1GL,17,Lysimachia nummularia,1
B1GL,17,Myosotis laxa,1
B1GL,17,Pilea pumila,1
B1GL,17,SP06,1
B1GL,17,Stellaria pubera,1
B1GL,18,Bidens frondosa,1
B1GL,18,Galium asprellum,1
B1GL,18,Glyceria borealis,1
B1GL,18,Lysimachia nummularia,1
B1GL,18,Myosotis laxa,1
B1GL,18,Pilea pumila,1
B1GL,18,Polygonum persicaria,1
B1GL,18,SP06,1
B1GL,19,Glyceria borealis,1
B1GL,19,Ludwigia palustris,1
B1GL,19,Pilea pumila,1
B1GL,20,Bidens frondosa,1
B1GL,20,Decodon verticillatus,1
B1GL,20,Impatiens capensis,1
B1GL,20,Lobelia cardinalis,1
B1GL,20,Lythrum salicaria,1
B1GL,20,Onoclea sensibilis,1
B1GL,20,Pilea pumila,1
B1GL,21,Carpinus caroliniana,1
B1GL,21,Carpinus caroliniana,1
B1GL,22,Carpinus caroliniana,1
B1GL,22,Carpinus caroliniana,1
B1GL,23,Fraxinus americana,1
B1GL,23,Fraxinus americana,1
B1GL,30,Cornus sericea,1
B1GL,30,Cornus sericea,1
B1GL,42,Cornus sericea,1
B1GL,42,Cornus sericea,1
B1GL,44,Cornus sericea,1
B1GL,44,Cornus sericea,1
B1UH,1,Acer saccharum,1
B1UH,1,Eurybia divaricata,1
B1UH,1,Parthenocissus quinquefolia,1
B1UH,2,Acer saccharum,1
B1UH,2,Dryopteris camyloptera,1
B1UH,2,Parthenocissus quinquefolia,1
B1UH,2,Rubus allegheniensis,1
B1UH,3,Asarum canadense,1
B1UH,3,Parthenocissus quinquefolia,1
B1UH,3,Rubus allegheniensis,1
B1UH,4,Acer saccharum,1
B1UH,4,Asarum canadense,1
B1UH,4,Parthenocissus quinquefolia,1
B1UH,4,Rubus allegheniensis,1
B1UH,5,Eurybia divaricata,1
B1UH,5,Parthenocissus quinquefolia,1
B1UH,5,Petasites frigidus,1
B1UH,5,Rubus allegheniensis,1
B1UH,5,Rubus odoratus,1
B1UH,6,Rubus allegheniensis,1
B1UH,7,Eurybia divaricata,1
B1UH,8,Asarum canadense,1
B1UH,8,Carex sp.,1
B1UH,8,Maianthemum racemosum ssp. racemosum,1
B1UH,8,Rubus allegheniensis,1
B1UH,9,Asarum canadense,1
B1UH,9,Eurybia divaricata,1
B1UH,9,Maianthemum racemosum ssp. racemosum,1
B1UH,11,Dryopteris camyloptera,1
B1UH,12,Maianthemum racemosum ssp. racemosum,1
B1UH,12,Parthenocissus quinquefolia,1
B1UH,13,Eurybia divaricata,1
B1UH,15,Eurybia divaricata,1
B1UH,16,Rhamnus cathartica,1
B1UH,17,Rhamnus cathartica,1
B1UH,18,Hieracium paniculatum,1
B1UH,18,Pilea pumila,1
B1UH,20,Dryopteris camyloptera,1
B1UH,20,Eurybia divaricata,1
B1UH,20,Rhamnus cathartica,1
B1UH,21,Acer saccharum,1
B1UH,25,Quercus rubra,1
B1UH,26,Quercus rubra,1
B1UH,29,Acer saccharum,1
B1UH,29,Betula lenta,1
B1UH,30,Tilia americana,1
B1UH,31,Fraxinus americana,1
B1UH,32,Fraxinus americana,1
B1UH,36,Ulmus rubra,1
B1UH,36,Tilia americana,1
B1UH,37,Carya cordiformis,1
B1UH,41,Fraxinus americana,1
B1UH,43,Fraxinus americana,1
B1UL,1,SP20,1
B1UL,2,Eurybia divaricata,1
B1UL,2,Solidago canadensis,1
B1UL,8,Eurybia divaricata,1
B1UL,10,Eurybia divaricata,1
B1UL,10,Maianthemum racemosum ssp. racemosum,1
B1UL,12,Maianthemum racemosum ssp. racemosum,1
B1UL,14,Amphicarpaea bracteata,1
B1UL,15,Eurybia divaricata,1
B1UL,16,Eurybia divaricata,1
B1UL,17,Caulophyllum thalictroides,1
B1UL,19,Eurybia divaricata,1
B1UL,20,Ulmus rubra,1
B1UL,22,Ulmus rubra,1
B1UL,22,Ulmus rubra,1
B1UL,22,Quercus rubra,1
B1UL,23,Ulmus rubra,1
B1UL,24,Carya ovata,1
B1UL,25,Quercus rubra,1
B1UL,25,Tilia americana,1
B1UL,28,Hamamelis virginiana,1
B1UL,28,Quercus rubra,1
B1UL,28,Tilia americana,1
B1UL,29,Tilia americana,1
B1UL,29,Ulmus rubra,1
B1UL,30,Acer saccharum,1
B1UL,30,Ulmus rubra,1
B1UL,30,Ulmus rubra,1
B1UL,32,Acer saccharum,1
B1UL,32,Acer saccharum,1
B1UL,32,Hamamelis virginiana,1
B1UL,33,Acer saccharum,1
B1UL,33,Acer saccharum,1
B1UL,33,Acer saccharum,1
B1UL,33,Acer saccharum,1
B1UL,34,Ulmus rubra,1
B1UL,34,Ulmus rubra,1
B1UL,35,Ulmus rubra,1
B1UL,36,Tilia americana,1
B1UL,39,Fraxinus americana,1
B1UL,42,Quercus alba,1
B1UL,42,Quercus rubra,1
B1UL,42,Acer saccharum,1
B1UL,46,Acer saccharum,1
B1UL,46,Quercus rubra,1
B1UL,48,Fagus grandifolia,1
B1UL,48,Fagus grandifolia,1
B1UL,49,Acer saccharum,1
B1UL,51,Acer saccharum,1
B1UL,51,Tilia americana,1
B1UL,51,Carya ovata,1
B1UL,53,Carya ovata,1
B1UL,56,Acer saccharum,1
B1UL,51,Ulmus rubra,1
B2GH,1,Eurybia divaricata,1
B2GH,2,Solidago flexicaulis,1
B2GH,6,Dryopteris marginalis,1
B2GH,8,Eurybia divaricata,1
B2GH,8,Maianthemum racemosum ssp. racemosum,1
B2GH,9,Eurybia divaricata,1
B2GH,10,Dryopteris marginalis,1
B2GH,10,Eurybia divaricata,1
B2GH,11,Eurybia divaricata,1
B2GH,12,Eurybia divaricata,1
B2GH,14,Toxicodendron radicans,1
B2GH,15,Amphicarpaea bracteata,1
B2GH,15,Parthenocissus quinquefolia,1
B2GH,20,Glyceria borealis,1
B2GH,20,SP86,1
B2GH,21,Prunus virginiana,1
B2GH,21,Prunus virginiana,1
B2GH,22,Viburnum acerifolium,1
B2GH,22,Fraxinus americana,1
B2GH,22,Viburnum acerifolium,1
B2GH,23,Viburnum acerifolium,1
B2GH,23,Viburnum acerifolium,1
B2GH,24,Viburnum acerifolium,1
B2GH,24,Viburnum acerifolium,1
B2GH,24,Fraxinus americana,1
B2GH,24,Viburnum acerifolium,1
B2GH,24,Prunus virginiana,1
B2GH,25,Viburnum acerifolium,1
B2GH,25,Viburnum acerifolium,1
B2GH,27,Carpinus caroliniana,1
B2GH,27,Viburnum acerifolium,1
B2GH,27,Viburnum acerifolium,1
B2GH,27,Viburnum acerifolium,1
B2GH,27,Viburnum acerifolium,1
B2GH,27,Viburnum acerifolium,1
B2GH,27,Viburnum acerifolium,1
B2GH,27,Viburnum acerifolium,1
B2GH,27,Viburnum acerifolium,1
B2GH,27,Viburnum acerifolium,1
B2GH,27,Viburnum acerifolium,1
B2GH,27,Viburnum acerifolium,1
B2GH,27,Acer saccharum,1
B2GH,28,Acer saccharum,1
B2GH,28,Quercus alba,1
B2GH,30,Fraxinus nigra,1
B2GH,30,Carpinus caroliniana,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,30,Viburnum acerifolium,1
B2GH,31,Carpinus caroliniana,1
B2GH,31,Carya ovata,1
B2GH,31,Viburnum acerifolium,1
B2GH,31,Viburnum acerifolium,1
B2GH,31,Viburnum acerifolium,1
B2GH,31,Viburnum acerifolium,1
B2GH,31,Viburnum acerifolium,1
B2GH,31,Viburnum acerifolium,1
B2GH,31,Viburnum acerifolium,1
B2GH,31,Viburnum acerifolium,1
B2GH,31,Carpinus caroliniana,1
B2GH,32,Carpinus caroliniana,1
B2GH,32,Carpinus caroliniana,1
B2GH,32,Carpinus caroliniana,1
B2GH,32,Carpinus caroliniana,1
B2GH,33,Carpinus caroliniana,1
B2GH,33,Carya ovata,1
B2GH,33,Carya ovata,1
B2GH,33,Carya ovata,1
B2GH,33,Carya ovata,1
B2GH,33,Carya ovata,1
B2GH,33,Carya ovata,1
B2GH,33,Carya ovata,1
B2GH,33,Carya ovata,1
B2GH,33,Carya ovata,1
B2GH,33,Crataegus sp.,1
B2GH,34,Fraxinus americana,1
B2GH,34,Carpinus caroliniana,1
B2GH,35,Carpinus caroliniana,1
B2GH,35,Fraxinus americana,1
B2GH,36,Fraxinus americana,1
B2GH,36,Quercus rubra,1
B2GH,39,Quercus rubra,1
B2GH,39,Fraxinus americana,1
B2GH,40,Amelanchier arborea,1
B2GH,40,Amelanchier arborea,1
B2GH,40,Fraxinus americana,1
B2GH,41,Carpinus caroliniana,1
B2GH,41,Ostrya virginiana,1
B2GH,42,Carpinus caroliniana,1
B2GH,42,Quercus rubra,1
B2GH,42,Ostrya virginiana,1
B2GH,43,Quercus rubra,1
B2GH,43,Quercus rubra,1
B2GH,44,Fraxinus nigra,1
B2GH,44,Fraxinus nigra,1
B2GH,44,Carpinus caroliniana,1
B2GH,45,Carpinus caroliniana,1
B2GH,46,Carpinus caroliniana,1
B2GH,46,Carpinus caroliniana,1
B2GH,46,Fraxinus americana,1
B2GH,47,Carpinus caroliniana,1
B2GH,48,Carpinus caroliniana,1
B2GH,49,Carpinus caroliniana,1
B2GH,51,Carpinus caroliniana,1
B2GH,51,Carpinus caroliniana,1
B2GH,51,Carpinus caroliniana,1
B2GH,52,Quercus rubra,1
B2GH,53,Carpinus caroliniana,1
B2GH,54,Carpinus caroliniana,1
B2GH,56,Carpinus caroliniana,1
B2GH,59,Carpinus caroliniana,1
B2GH,60,Carpinus caroliniana,1
B2GH,60,Fraxinus americana,1
B2GH,61,Acer saccharum,1
B2GH,62,Carpinus caroliniana,1
B2GH,62,Fraxinus nigra,1
B2GH,63,Fraxinus nigra,1
B2GL,1,Lythrum salicaria,1
B2GL,2,Bidens connata,1
B2GL,2,Galium palustre,1
B2GL,2,Glyceria borealis,1
B2GL,2,Polygonum persicaria,1
B2GL,2,SP80,1
B2GL,3,Elymus virginicus,1
B2GL,3,Lysimachia nummularia,1
B2GL,3,Lythrum salicaria,1
B2GL,4,Elymus virginicus,1
B2GL,4,Ludwigia palustris,1
B2GL,4,Lythrum salicaria,1
B2GL,4,Pilea pumila,1
B2GL,4,Polygonum persicaria,1
B2GL,5,Agrostis perennans,1
B2GL,5,Agrostis scabra,1
B2GL,5,Fragaria vesca,1
B2GL,5,Glyceria borealis,1
B2GL,5,Lysimachia nummularia,1
B2GL,5,Lythrum salicaria,1
B2GL,5,SP80,1
B2GL,5,Symphyotrichum dumosum,1
B2GL,5,Vitis riparia,1
B2GL,6,Agrostis perennans,1
B2GL,6,Agrostis scabra,1
B2GL,6,Elymus virginicus,1
B2GL,6,Fragaria vesca,1
B2GL,6,Galium palustre,1
B2GL,6,Glyceria borealis,1
B2GL,6,Lythrum salicaria,1
B2GL,6,Pilea pumila,1
B2GL,6,Polygonum persicaria,1
B2GL,6,SP86,1
B2GL,6,Symphyotrichum dumosum,1
B2GL,7,Elymus virginicus,1
B2GL,7,Galium palustre,1
B2GL,7,Glyceria borealis,1
B2GL,7,Ludwigia palustris,1
B2GL,7,Lysimachia ciliatia,1
B2GL,7,Lysimachia nummularia,1
B2GL,7,Lythrum salicaria,1
B2GL,7,Paspalum setaceum,1
B2GL,7,Pilea pumila,1
B2GL,8,Bidens connata,1
B2GL,8,Elymus virginicus,1
B2GL,8,Galium palustre,1
B2GL,8,Glyceria borealis,1
B2GL,8,Lysimachia nummularia,1
B2GL,8,Symphyotrichum dumosum,1
B2GL,9,Bidens connata,1
B2GL,10,Impatiens capensis,1
B2GL,11,Galium palustre,1
B2GL,11,Glyceria borealis,1
B2GL,11,Ludwigia palustris,1
B2GL,11,Lysimachia nummularia,1
B2GL,11,Lythrum salicaria,1
B2GL,11,Paspalum setaceum,1
B2GL,12,Carex bullata,1
B2GL,12,Glyceria borealis,1
B2GL,12,Lysimachia nummularia,1
B2GL,12,Muhlenbergia sobolifera,1
B2GL,12,Onoclea sensibilis,1
B2GL,12,Pilea pumila,1
B2GL,12,Polygonum persicaria,1
B2GL,13,Glyceria borealis,1
B2GL,13,Onoclea sensibilis,1
B2GL,14,Amphicarpaea bracteata,1
B2GL,14,Boehmeria cylindrica,1
B2GL,14,Chelone glabra,1
B2GL,14,Fragaria vesca,1
B2GL,14,Galium palustre,1
B2GL,14,Glyceria borealis,1
B2GL,14,Impatiens capensis,1
B2GL,14,Onoclea sensibilis,1
B2GL,14,Peltandra virginica,1
B2GL,14,Symphyotrichum dumosum,1
B2GL,15,Apios americana,1
B2GL,15,Equisetum sp.,1
B2GL,15,Galium triflorum,1
B2GL,15,Glyceria borealis,1
B2GL,15,Onoclea sensibilis,1
B2GL,15,Parthenocissus quinquefolia,1
B2GL,15,Symphyotrichum dumosum,1
B2GL,15,Viola sp.,1
B2GL,16,Boehmeria cylindrica,1
B2GL,16,Elymus virginicus,1
B2GL,16,Galium aparine,1
B2GL,16,Lysimachia nummularia,1
B2GL,16,Onoclea sensibilis,1
B2GL,16,Parthenocissus quinquefolia,1
B2GL,16,Paspalum setaceum,1
B2GL,17,Glyceria borealis,1
B2GL,17,Lythrum salicaria,1
B2GL,17,Onoclea sensibilis,1
B2GL,17,Pilea pumila,1
B2GL,17,Polygonum persicaria,1
B2GL,18,Clematis virginiana,1
B2GL,18,Onoclea sensibilis,1
B2GL,18,Parthenocissus quinquefolia,1
B2GL,18,Paspalum setaceum,1
B2GL,18,Symphiotrichum lateriflorum,1
B2GL,18,Thalictrum sp.,1
B2GL,19,Glechoma hederacea,1
B2GL,19,Ludwigia palustris,1
B2GL,19,Lysimachia nummularia,1
B2GL,19,Onoclea sensibilis,1
B2GL,19,Paspalum setaceum,1
B2GL,19,Thalictrum sp.,1
B2GL,20,Ludwigia palustris,1
B2GL,20,Lysimachia nummularia,1
B2GL,20,Onoclea sensibilis,1
B2GL,20,Paspalum setaceum,1
B2GL,21,Ulmus rubra,1
B2GL,21,Ulmus rubra,1
B2GL,22,Ulmus rubra,1
B2GL,23,Ulmus rubra,1
B2GL,25,Carpinus caroliniana,1
B2GL,25,Carpinus caroliniana,1
B2GL,26,Carya ovata,1
B2GL,27,Carya ovata,1
B2GL,28,Carya ovata,1
B2GL,29,Cornus sericea,1
B2GL,30,Cornus obliqua,1
B2GL,32,Cornus rugosa,1
B2GL,35,Carya ovata,1
B2GL,36,Carya ovata,1
B2GL,37,Cornus sericea,1
B2GL,38,Cornus sericea,1
B2GL,38,Cornus sericea,1
B2GL,40,Tilia americana,1
B2GL,43,Cornus sericea,1
B2GL,43,Cornus sericea,1
B2GL,43,Cornus sericea,1
B2GL,49,Ribes rubrum,1
B2GL,67,Carya ovata,1
B2UH,2,Dryopteris carthusiana,1
B2UH,2,Maianthemum racemosum ssp. racemosum,1
B2UH,7,Eurybia divaricata,1
B2UH,11,Eurybia divaricata,1
B2UH,14,Eurybia divaricata,1
B2UH,15,Eurybia divaricata,1
B2UH,15,Maianthemum racemosum ssp. racemosum,1
B2UH,18,Agrostis scabra,1
B2UH,20,Ostrya virginiana,1
B2UH,21,Viburnum acerifolium,1
B2UH,21,Viburnum acerifolium,1
B2UH,21,Viburnum acerifolium,1
B2UH,21,Viburnum acerifolium,1
B2UH,21,Viburnum acerifolium,1
B2UH,21,Viburnum acerifolium,1
B2UH,23,Prunus virginiana,1
B2UH,24,Viburnum acerifolium,1
B2UH,24,Viburnum acerifolium,1
B2UH,24,Viburnum acerifolium,1
B2UH,24,Viburnum acerifolium,1
B2UH,24,Viburnum acerifolium,1
B2UH,24,Viburnum acerifolium,1
B2UH,24,Viburnum acerifolium,1
B2UH,24,Viburnum acerifolium,1
B2UH,24,Viburnum acerifolium,1
B2UH,24,Viburnum acerifolium,1
B2UH,24,Viburnum acerifolium,1
B2UH,24,Viburnum acerifolium,1
B2UH,27,Prunus virginiana,1
B2UH,27,Hamamelis virginiana,1
B2UH,28,Viburnum acerifolium,1
B2UH,28,Viburnum acerifolium,1
B2UH,28,Viburnum acerifolium,1
B2UH,28,Viburnum acerifolium,1
B2UH,28,Viburnum acerifolium,1
B2UH,28,Viburnum acerifolium,1
B2UH,28,Viburnum acerifolium,1
B2UH,28,Viburnum acerifolium,1
B2UH,29,Prunus virginiana,1
B2UH,30,Acer saccharum,1
B2UH,31,Carya ovata,1
B2UH,31,Carya ovata,1
B2UH,31,Acer saccharum,1
B2UH,31,Fraxinus americana,1
B2UH,31,Viburnum acerifolium,1
B2UH,31,Viburnum acerifolium,1
B2UH,32,Prunus virginiana,1
B2UH,34,Prunus virginiana,1
B2UH,34,Prunus virginiana,1
B2UH,34,Prunus virginiana,1
B2UH,34,Prunus virginiana,1
B2UH,34,Prunus virginiana,1
B2UH,34,Prunus virginiana,1
B2UH,34,Fraxinus americana,1
B2UH,35,Amelanchier arborea,1
B2UH,36,Prunus virginiana,1
B2UH,36,Prunus virginiana,1
B2UH,36,Carpinus caroliniana,1
B2UH,37,Prunus virginiana,1
B2UH,37,Prunus virginiana,1
B2UH,38,Acer saccharum,1
B2UH,38,Prunus virginiana,1
B2UH,38,Prunus virginiana,1
B2UH,38,Prunus virginiana,1
B2UH,39,Acer saccharum,1
B2UH,39,Quercus alba,1
B2UH,40,Prunus virginiana,1
B2UH,40,Prunus virginiana,1
B2UH,40,Prunus virginiana,1
B2UH,42,Fraxinus americana,1
B2UH,43,Acer saccharum,1
B2UH,43,Carpinus caroliniana,1
B2UH,43,Prunus virginiana,1
B2UH,44,Acer saccharum,1
B2UH,45,Acer saccharum,1
B2UH,45,Fraxinus nigra,1
B2UH,45,Prunus virginiana,1
B2UH,45,Acer saccharum,1
B2UH,46,Quercus alba,1
B2UH,47,Prunus virginiana,1
B2UH,48,Acer saccharum,1
B2UL,11,Symphyotrichum dumosum,1
B2UL,12,Amphicarpaea bracteata,1
B2UL,12,Fragaria vesca,1
B2UL,12,Lysimachia nummularia,1
B2UL,13,Hylotelephium telephium,1
B2UL,13,Lysimachia nummularia,1
B2UL,13,Thalictrum sp.,1
B2UL,13,Viola sp.,1
B2UL,16,Hylotelephium telephium,1
B2UL,16,Lysimachia nummularia,1
B2UL,16,Parthenocissus quinquefolia,1
B2UL,17,Amphicarpaea bracteata,1
B2UL,17,Clematis virginiana,1
B2UL,17,Lysimachia nummularia,1
B2UL,17,Parthenocissus quinquefolia,1
B2UL,17,Solidago altissima,1
B2UL,17,Symphyotrichum dumosum,1
B2UL,18,Clematis virginiana,1
B2UL,18,Glyceria borealis,1
B2UL,18,Parthenocissus quinquefolia,1
B2UL,18,Pilea pumila,1
B2UL,18,Symphyotrichum dumosum,1
B2UL,18,Thalictrum sp.,1
B2UL,19,Amphicarpaea bracteata,1
B2UL,19,Parthenocissus quinquefolia,1
B2UL,19,Pilea pumila,1
B2UL,19,Smilax glauca,1
B2UL,19,Thalictrum sp.,1
B2UL,19,Viola sp.,1
B2UL,20,Epilobium hirsutum,1
B2UL,20,Parthenocissus quinquefolia,1
B2UL,21,Quercus rubra,1
B2UL,21,Ulmus rubra,1
B2UL,22,Quercus rubra,1
B2UL,22,Ulmus rubra,1
B2UL,23,Betula alleghaniensis,1
B2UL,24,Acer saccharum,1
B2UL,24,Carpinus caroliniana,1
B2UL,25,Quercus rubra,1
