,Dispersal unit dry mass,Dispersal unit length,Dispersal unit thickness,Dispersal unit width,Germination efficiency,Germination requirement,Leaf area,Leaf carbon (C) content per area,Leaf carbon (C) content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf density,Leaf dry mass,Leaf dry mass per plant,"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",Leaf dry matter content (LDMC),Leaf fresh mass,Leaf lamina thickness,Leaf lifespan,Leaf nitrogen (N) content,Leaf nitrogen (N) content per area,Leaf nitrogen (N) content per dry mass,Leaf nitrogen/phosphorus (N/P) ratio,Leaf phosphorus (P) content per area,Leaf phosphorus (P) content per dry mass,Leaf physical strength,Leaf porosity,Leaf potassium (K) content per area,Leaf potassium (K) content per dry mass,Leaf respiration per dry mass,Leaf specific area (SLA),Leaf texture (sclerophylly),Leaf thickness,Phenology: reproductive,Photosynthesis leaf intercellular CO2 concentration,Photosynthesis net assimilytion rate (NAR),Photosynthesis per leaf area,Photosynthesis per leaf dry mass,Plant height generative,Plant height vegetative,Plant lifespan,Plant relative growth rate (RGR),Plant tolerance to drought,Plant tolerance to frost,Plant tolerance to human impact,Plant tolerance to planting density,Plant tolerance to precipitation,Plant tolerance to shade,Plant tolerance to soil pH,Plant tolerance to waterlogging,Reproductive dry mass per plant,Root nitrogen (N) content per dry mass,Rooting depth,Seed length,Seed mass,Seed number per reproducton unit,Seed protein content per mass,Seed thickness,Seed width,Species distribution: number of floristic zones,Stem dry mass per plant,Stem nitrogen (N) content per dry mass,Stem specific density (SSD),Stomata conductance per leaf area,Wood dry mass per plant dry mass,Woodiness
carpinus_caroliniana,NA,NA,NA,NA,NA,NA,14.95,NA,NA,NA,0.42,65.86,NA,NA,NA,NA,NA,7.7,1.51,1.05,1.92,12.24,0.1,1179.81,NA,NA,0.24,0.45,NA,109.6,0.33,94,NA,NA,NA,NA,NA,NA,23.33,NA,NA,2.02,23.5,NA,950,45,4.58,5.7,2.3,NA,NA,20,NA,3023.38,NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA,NA
carya_cordiformis,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2.22,9.98,0.14,1649.89,NA,NA,0.38,0.86,NA,63.89,0.37,86.17,NA,NA,NA,NA,NA,NA,44,200,NA,4,53.5,NA,435,37.5,2.07,6.95,2.5,NA,NA,50,NA,2420.21,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA
carya_ovata,NA,NA,NA,NA,NA,NA,80.84,22.4,NA,25.2,NA,721.75,NA,NA,NA,NA,NA,5.6,25.46,1.69,6.76,9.17,0.12,1753.81,NA,NA,0.48,0.93,NA,68.64,0.25,NA,NA,120.23,NA,8.31,30.39,NA,42.33,300,NA,3,48.5,NA,500,55,3.4,5.35,1.38,NA,16.7,48,NA,3683.6,NA,NA,NA,NA,NA,NA,NA,0.73,316,NA,NA
cephalanthus_occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.33,NA,NA,3,58.5,NA,2223,46.5,2.75,6.9,4.92,NA,NA,14,NA,2.62,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
cornus_amomum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,2,36,NA,3000,48,3,6,3,NA,NA,16,NA,1772.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cornus_canadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84,5.94,NA,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,36,NA,3750,41,NA,6.2,NA,NA,NA,10,NA,9928.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cornus_rugosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,8.47,NA,2225.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,31,NA,2200,31.5,NA,7.1,NA,NA,NA,18,NA,3205.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cornus_sericea,NA,NA,NA,NA,NA,NA,21.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,2.21,NA,NA,NA,NA,NA,NA,NA,NA,250.42,NA,NA,6.5,NA,NA,NA,NA,2,10.83,NA,NA,2.48,29.25,2,2465.5,39,2.86,6.15,2.12,NA,NA,18,NA,4121.18,NA,NA,NA,NA,4,NA,NA,0.48,NA,NA,NA
corylus_cornuta,NA,NA,NA,NA,NA,NA,33.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,1.97,7.64,NA,2575,NA,NA,NA,NA,NA,302.32,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,2.88,39.75,NA,1200,33.5,3,6.13,1.27,NA,NA,17,NA,665.4,NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA
fagus_grandifolia,NA,NA,NA,NA,NA,NA,NA,29.3,NA,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,2.19,13.83,0.09,1170.24,NA,NA,0.36,0.55,NA,107.9,0.3,111.77,NA,NA,NA,6.47,104.39,NA,62.5,300,NA,1.5,29,NA,550,40,4.75,5.3,1.5,NA,7.17,32,NA,375.22,NA,NA,NA,NA,NA,NA,0.39,0.67,NA,NA,NA
fraxinus_americana,NA,NA,NA,NA,NA,NA,39.33,28.27,NA,23.5,0.48,100.52,NA,NA,0.65,NA,NA,5.7,12.91,1.48,6.72,10.77,0.23,1841.53,NA,NA,0.64,0.97,10.31,197.1,0.29,131.98,NA,153.23,NA,10.31,45.32,NA,42.45,NA,NA,2.38,28,NA,550,45,2.46,6.25,2.59,NA,NA,40,NA,804.43,NA,25.2,NA,NA,NA,NA,NA,0.64,365.8,NA,NA
fraxinus_nigra,NA,NA,NA,NA,NA,NA,NA,52.6,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,1.51,2.02,14.72,0.09,1199.92,NA,NA,0.76,1.06,NA,54.35,0.31,124.77,NA,NA,NA,NA,NA,NA,41.67,250,NA,2,26,NA,550,32.5,2.96,5.1,3.5,NA,NA,40,NA,997.19,NA,NA,NA,NA,NA,NA,NA,0.53,NA,NA,NA
fraxinus_pennsylvanica,NA,37.5,NA,5.75,NA,NA,NA,NA,NA,NA,0.39,NA,NA,0.65,NA,NA,NA,NA,NA,1.58,1.7,8.94,0.18,1857.2,NA,NA,1.04,1.19,13.56,87.73,0.48,150.17,4.5,287.6,0,6.9,131.15,20,41.67,NA,0.09,3.85,38.5,1,550,40,3.11,6.5,2.98,NA,NA,40,NA,1052,NA,NA,NA,NA,3,NA,NA,0.58,176.38,NA,NA
hamamelis_virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.07,NA,134,NA,NA,NA,NA,NA,NA,12.75,NA,NA,2,46,NA,1950,45,3,5.35,1.5,NA,NA,20,NA,1942.62,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA
juglans_cinerea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,2.35,7.5,0.24,2766.64,NA,NA,0.62,1.02,NA,164,0.45,NA,NA,NA,NA,NA,NA,NA,44.33,75,NA,2.38,36,NA,450,52.5,1.88,6.5,1.27,NA,NA,40,NA,12026.79,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA
juglans_nigra,NA,NA,NA,NA,NA,NA,42,45.9,NA,16.9,0.52,137.7,NA,NA,NA,NA,NA,5,4.08,0.98,12.55,10.75,NA,2055.08,NA,NA,NA,NA,NA,76.41,NA,108.6,NA,130.31,NA,7.17,58.45,22.5,46.49,200,NA,2.38,71,NA,450,45,1.93,6.75,1.83,NA,NA,40,NA,10554.64,NA,NA,NA,NA,NA,NA,NA,513.31,162,NA,NA
lindera_benzoin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,8.04,NA,0.23,NA,NA,NA,NA,NA,32.79,0.08,126.92,NA,NA,NA,6.63,NA,NA,12,NA,NA,2,48.5,NA,1950,41,3,5.25,3,NA,NA,18,NA,839.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
myrica_gale,1.56,2.19,1.37,1.99,NA,NA,57.23,NA,NA,NA,NA,13.1,NA,NA,345,NA,NA,NA,NA,NA,2.55,28.5,NA,500.04,NA,NA,NA,NA,NA,29.7,NA,NA,4.5,NA,NA,NA,NA,1.5,2.92,NA,NA,0.53,31,2,5250,40,1.2,6.4,4.27,NA,NA,14,NA,1.3,15156.5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
oenothera_biennis,NA,NA,NA,NA,NA,NA,2224.56,NA,41.89,22.08,NA,3.44,2.58,10.18,21.52,1.97,NA,NA,NA,NA,9.63,NA,NA,NA,NA,NA,NA,NA,NA,149.67,NA,126.23,NA,314.07,0,7.38,92.38,0.98,64.57,NA,0.21,NA,46,NA,NA,37.5,NA,6,NA,1.47,NA,10,1.7,62545.86,126922.25,16.65,1.16,1.25,NA,5.29,NA,NA,0.64,56.45,NA
ostrya_virginiana,NA,NA,NA,NA,NA,NA,28.16,NA,NA,NA,0.44,0.06,NA,NA,0.64,NA,NA,NA,NA,0.52,13.39,9.41,0.09,1588.97,NA,NA,0.24,0.64,6.91,402.25,0.18,55,NA,NA,NA,NA,NA,NA,25.33,NA,NA,3.25,31,NA,700,39,4.58,5.9,1.07,NA,NA,16,NA,6013.29,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA
pinus_strobus,NA,NA,NA,NA,NA,NA,2.7,13.67,NA,26.1,NA,32.92,NA,0.63,NA,NA,NA,20.28,0.51,2.78,12.23,10.95,NA,1181.28,NA,NA,NA,4.84,5.52,59.45,NA,NA,4.5,170.91,0,8.52,21.91,28,55.64,383.33,0.03,2.29,28.5,2,815,50,3.21,5.25,1.03,NA,9.37,40,7,1947.06,NA,NA,NA,NA,2,NA,6.23,175.19,199.11,NA,NA
platanus_occidentalis,NA,NA,NA,NA,NA,NA,169.35,NA,NA,NA,NA,727.53,NA,NA,NA,NA,NA,NA,14.59,1.24,4.06,12.68,NA,900.03,NA,NA,NA,NA,6.06,113.87,NA,NA,NA,NA,NA,NA,NA,25,64.5,250,NA,2.25,33,NA,550,55,2.86,5.7,2.71,NA,NA,30,NA,21335.99,NA,11.6,NA,NA,NA,NA,NA,190.26,NA,NA,NA
populus_deltoides,NA,NA,NA,NA,NA,NA,84,21.8,NA,21.2,0.35,763.64,NA,NA,NA,NA,NA,5,18.02,2.14,3.94,11.08,0.17,1893.8,NA,NA,0.84,1.19,10.1,83.55,0.37,231.36,NA,117.44,NA,14.78,81.08,NA,72.5,NA,NA,1.57,26,NA,485,31.25,1.76,5.78,3.03,NA,NA,24,NA,50000.92,NA,NA,NA,NA,NA,NA,0.07,0.43,595,NA,NA
prunus_americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,31,NA,950,28,NA,6,NA,NA,NA,24,NA,782.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
prunus_serotina,NA,7.58,7.43,7.43,NA,NA,1291.27,34.13,46.9,23.73,0.31,163.29,NA,NA,307.08,NA,NA,5.5,13.38,1.59,6.72,13.27,0.08,1681.38,NA,NA,0.28,0.47,17.06,44.75,0.35,147.8,6,297.54,NA,10.5,113.35,9,25.59,150,NA,3.02,51,2,550,28.75,2.46,7,1.06,NA,NA,24,NA,700.64,1,NA,NA,NA,4,NA,NA,180.41,210.22,NA,NA
prunus_virginiana,NA,7.25,6.13,6.63,NA,NA,11.76,NA,44.97,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,1.11,11.71,15.1,0.1,2057.09,NA,NA,0.52,0.62,5.71,48.33,0.29,89,5.5,NA,NA,NA,NA,NA,15.83,NA,NA,2.88,32.25,NA,1702.5,31,2.59,6.78,1.11,NA,NA,22,NA,617.89,NA,35.6,NA,NA,4,NA,NA,NA,NA,NA,NA
quercus_alba,NA,NA,NA,NA,NA,NA,NA,20.4,NA,27.2,0.24,NA,NA,NA,NA,NA,NA,NA,NA,1.88,13.08,12.89,0.13,1542.87,NA,NA,0.6,0.89,10.97,57.22,0.32,138,NA,NA,NA,23,114.12,NA,62.5,600,NA,3.56,23.5,NA,550,43,2.85,5.65,1.43,NA,7.23,48,NA,1863.99,NA,NA,NA,NA,NA,NA,0.32,0.69,NA,NA,NA
quercus_velutina,NA,NA,NA,NA,NA,NA,NA,25,NA,34,0.45,NA,NA,NA,NA,NA,NA,NA,NA,1.45,3.43,12.29,0.13,1091.63,NA,NA,0.88,0.84,8.81,66.6,NA,138.74,NA,503.56,NA,4.54,79.18,NA,57.5,200,NA,3,56,NA,750,47.5,2.72,5.25,1.07,NA,NA,40,NA,1584.4,NA,NA,NA,NA,NA,NA,NA,0.67,126,NA,NA
rhamnus_alnifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.25,NA,NA,NA,71,NA,1699,40.25,NA,6.25,NA,NA,NA,12,NA,13109.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rhus_typhina,NA,NA,NA,NA,NA,NA,12.01,NA,NA,NA,0.68,0.07,NA,NA,0.63,NA,NA,NA,NA,2.04,2.58,8.24,0.26,2233.33,NA,NA,0.83,1.26,NA,163.38,0.42,NA,NA,NA,NA,NA,NA,4.5,10.07,NA,NA,4,NA,NA,NA,NA,1.56,NA,1,NA,NA,NA,NA,10.81,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA
robinia_pseudoacacia,NA,NA,NA,NA,NA,NA,25.59,NA,NA,NA,NA,100.73,NA,NA,NA,NA,NA,4.6,2.68,1.83,15.71,17.71,0.08,1140.95,NA,NA,0.56,1.14,16.09,102.8,0.05,NA,5.5,126.57,NA,9.34,162.15,NA,34.16,150,NA,4.11,28.5,3,750,40.5,1.72,6.4,1.07,NA,NA,36,5.5,1863.99,NA,43.2,1.63,3.25,2,NA,NA,0.68,297,NA,NA
rosa_palustris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,31,NA,3150,42.5,NA,5.5,NA,NA,NA,18,NA,4.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rubus_allegheniensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,8.38,NA,2600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42,NA,NA,4,46,NA,3000,39,2.5,6.05,2,NA,NA,12,NA,37430.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rubus_hispidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02,NA,1.4,1.97,15.78,0.09,615.2,NA,NA,0.8,1.15,NA,144.47,NA,NA,NA,NA,NA,10.51,151.75,NA,2,NA,NA,NA,51,NA,2598,50,NA,5.75,NA,NA,NA,12,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rubus_idaeus,1.45,7.47,1.07,6.69,NA,NA,55.54,NA,246.13,24.65,0.35,31.93,2.49,59.91,151.34,3.02,NA,NA,NA,NA,7.06,12.76,NA,1912.58,NA,NA,NA,NA,NA,132.24,0.03,0.12,128.67,NA,NA,17.74,295.22,9.38,56.3,NA,NA,3.04,34.33,3,2000,36,2.66,6.25,2.5,NA,NA,12,NA,18711.61,2581.49,7.4,NA,NA,3,1.64,NA,NA,NA,40.09,NA
rubus_occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,6.54,NA,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,50.5,NA,3000,34.5,NA,6.35,NA,NA,NA,12,NA,67001.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rubus_odoratus,0.99,1.66,0.64,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,20,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1.5,3.83,NA,NA,NA,26,2,950,45,NA,5.5,NA,NA,NA,16,NA,98600.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
salix_nigra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2.48,15.34,0.07,1333.42,NA,NA,0.58,1.03,NA,179,0.41,NA,NA,NA,NA,NA,NA,NA,64.33,55,NA,1.77,43.5,NA,750,42.5,1.34,6.4,4.68,NA,NA,32,NA,625000.05,NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA
spiraea_alba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02,NA,1.69,1.89,16.48,0.09,687.82,NA,NA,0.58,0.72,NA,67.71,NA,NA,NA,NA,NA,11.96,147.25,NA,3,NA,NA,NA,38.5,NA,2200,36.5,NA,5.55,NA,NA,NA,12,2.12,1000000,NA,NA,0.29,0.42,NA,NA,NA,NA,NA,NA,NA
thuja_occidentalis,NA,NA,NA,NA,NA,NA,0.1,9,NA,48.6,NA,2.23,NA,0.64,NA,NA,NA,36.04,0.02,2.14,11.92,9.53,NA,771.8,NA,NA,NA,0.58,7.09,76.65,NA,NA,NA,139.47,0,12.41,12.16,17.5,24.21,500,0.04,2.71,33.5,NA,750,45,3.45,6.1,1.46,NA,17.6,30,NA,49372.56,NA,NA,NA,NA,NA,NA,5.2,175.16,163,NA,NA
tilia_americana,NA,NA,NA,NA,NA,NA,NA,66.7,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,1.32,18.86,8.5,0.2,2299.86,NA,NA,0.73,1.33,9.69,64.24,0.21,112.93,NA,NA,NA,NA,NA,NA,82.5,200,NA,2.88,49.75,NA,550,41.5,3.98,6.23,1.26,NA,NA,35,NA,886.91,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA
tsuga_canadensis,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,5.88,NA,0.66,NA,NA,NA,60,0.06,1.21,2.29,9.37,NA,1525,NA,NA,NA,NA,2.18,83.95,NA,NA,NA,132.94,0,5.46,29.28,20,39.5,1000,0.21,1,23.5,NA,750,43.5,4.83,4.95,1.25,NA,NA,28,NA,31202.21,NA,NA,NA,NA,NA,NA,NA,0.43,141,NA,NA
ulmus_americana,NA,NA,NA,NA,NA,NA,120,16.8,NA,25.9,NA,1428.57,NA,NA,NA,NA,NA,5.89,27.57,1.84,6.21,10,0.12,1878.16,451.7,NA,0.54,0.81,NA,80.5,0.21,126.48,NA,123.15,NA,11.12,67.04,NA,63,300,NA,2.92,18.5,NA,550,37.5,3.14,6.75,2.46,NA,NA,42,NA,6186.73,NA,NA,NA,NA,NA,NA,NA,225.28,454,NA,NA
ulmus_rubra,NA,NA,NA,NA,NA,NA,NA,22.2,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2.18,10.49,0.11,1983.18,NA,NA,0.77,1.28,NA,68.94,0.33,151.84,NA,NA,NA,NA,NA,NA,53.33,200,NA,3,33.5,NA,550,45,3.31,6.25,1.73,NA,NA,40,NA,8208.86,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA
viburnum_acerifolium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,43.5,NA,3750,41,NA,6.15,NA,NA,NA,14,NA,2642.08,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
viburnum_dentatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,2,155.5,NA,1920,42.5,4,6.5,2.5,NA,NA,NA,NA,115387.77,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
